selection_coefficient	position_0based	mean_tmrca_generations	q25_tmrca	q75_tmrca	mean_fraction_recent	q25_fraction_recent	q75_fraction_recent
0.0	0.0	19700.50790492782	12871.95788173538	23564.895592850953	0.00893	0.0075	0.0105
0.0	50000.0	20128.890910225662	14010.445913145128	24642.597961024836	0.00888	0.0075	0.01
0.0	100000.0	20808.357755032834	13479.536387945198	24976.609245316395	0.00903	0.008	0.0105
0.0	150000.0	19548.565158978636	13358.423787927404	24013.791671324558	0.00901	0.007875	0.010125
0.0	200000.0	18961.622655161096	13965.266599135033	22430.601808605243	0.008960000000000001	0.008	0.01
0.0	250000.0	20657.594189226274	13639.306907509523	25751.066280513867	0.009174999999999999	0.008	0.0105
0.0	300000.0	19935.907635093638	14912.488537394855	22910.762299122245	0.00895	0.008	0.01
0.0	350000.0	21096.16152406555	15147.077804962846	24736.778953377263	0.00898	0.0075	0.010125
0.0	400000.0	19324.4888874018	13722.060155646162	23449.192493182894	0.009025	0.0075	0.0105
0.0	450000.0	22174.924796633244	14805.80075825069	27287.050236766456	0.009025	0.008	0.0105
0.0	500000.0	20325.615083039324	14379.275946477697	23202.6968235929	0.00904	0.0075	0.010125
0.0	550000.0	21328.75151875003	12765.698303389394	28502.146609986594	0.009105	0.0075	0.0105
0.0	600000.0	19856.685273132982	12998.962232176993	23245.354687687162	0.00902	0.0075	0.0105
0.0	650000.0	21041.189935164082	12195.609780024686	24599.354252591133	0.008964999999999999	0.0075	0.0105
0.0	700000.0	19429.188126006753	13159.943070189049	22982.875761293828	0.008844999999999999	0.0075	0.010125
0.0	750000.0	20652.9821881639	13256.53997752492	23893.867913345068	0.00881	0.0075	0.01
0.0	800000.0	21223.85931726918	13089.572443948437	27189.37272215446	0.00868	0.007	0.01
0.0	850000.0	20353.781861284293	13556.120608655989	24716.750956231088	0.008695000000000001	0.0075	0.01
0.0	900000.0	20459.95621843822	13877.275683522743	24866.031033444782	0.008825	0.0075	0.01
0.0	950000.0	20370.79842348086	12847.83848142909	24894.721200601463	0.00883	0.007375	0.010125
0.0	1000000.0	19263.932897545757	13953.997004800414	23011.16732937563	0.00877	0.007	0.010125
0.0	1050000.0	19937.112153300597	13974.629862657035	23736.22588848469	0.00883	0.0075	0.01
0.0	1100000.0	21093.500139169308	13332.196440653617	24488.85565359377	0.008754999999999999	0.007375	0.010125
0.0	1150000.0	18208.98039490396	12296.75457166907	22315.069338531353	0.008844999999999999	0.007	0.0105
0.0	1200000.0	19464.964020400606	13488.188925278027	23249.602525714734	0.00873	0.007	0.01
0.0	1250000.0	19953.73077102084	13129.975372214001	23131.75244422887	0.008795	0.007	0.01
0.0	1300000.0	18723.69608670011	13403.20127956611	21787.617749854915	0.00879	0.007	0.01
