replicate	focal_carrier_copies	n_pairs	mean_tmrca_generations	median_tmrca_generations	fraction_tmrca_lt_threshold	pair_class
0	0	604	31491.87367976529	18899.77529547493	0.006622516556291391	noncarrier_noncarrier
0	1	1030	69144.08527519934	86503.63414195573	0.0	carrier_noncarrier
0	2	366	118.20491803278688	119.0	1.0	carrier_carrier
2	0	34	19701.518394275587	30400.61792151915	0.0	noncarrier_noncarrier
2	1	396	18235.767559711767	30400.61792151915	0.0	carrier_noncarrier
2	2	1570	157.74585987261148	158.0	1.0	carrier_carrier
14	0	385	13492.79264766219	16015.457799423966	0.0025974025974025974	noncarrier_noncarrier
14	1	976	11370.856235031457	15712.018532448928	0.0	carrier_noncarrier
14	2	639	150.56494522691705	162.0	1.0	carrier_carrier
17	0	291	18613.420417281355	20283.608607748683	0.013745704467353952	noncarrier_noncarrier
17	1	944	18420.753050758132	20283.608607748683	0.0	carrier_noncarrier
17	2	765	128.5281045751634	147.0	1.0	carrier_carrier
32	0	122	16423.009564793225	16131.207114311188	0.01639344262295082	noncarrier_noncarrier
32	1	801	21399.41715357721	27058.803854911097	0.0	carrier_noncarrier
32	2	1077	141.91643454039	160.0	1.0	carrier_carrier
34	0	103	12959.625105945885	12620.488164398736	0.0	noncarrier_noncarrier
34	1	699	22662.54861350621	24510.197242286533	0.0	carrier_noncarrier
34	2	1198	158.25876460767947	162.0	1.0	carrier_carrier
35	0	544	20019.31539527998	14377.348054786216	0.011029411764705883	noncarrier_noncarrier
35	1	1007	20786.698684055515	33505.0613946929	0.0	carrier_noncarrier
35	2	449	128.71714922048997	136.0	1.0	carrier_carrier
41	0	1624	14022.831390320483	15900.232983563044	0.012315270935960592	noncarrier_noncarrier
41	1	357	13508.033667260737	15900.232983563044	0.0	carrier_noncarrier
41	2	19	64.0	68.0	1.0	carrier_carrier
44	0	17	11680.268245421636	16184.186865466998	0.0	noncarrier_noncarrier
44	1	280	12995.379028905747	16184.186865466998	0.0	carrier_noncarrier
44	2	1703	168.904873752202	177.0	1.0	carrier_carrier
62	0	500	26223.866301051436	26019.564105870195	0.012	noncarrier_noncarrier
62	1	1003	30299.480320586765	26019.564105870195	0.0	carrier_noncarrier
62	2	497	113.85110663983903	115.0	1.0	carrier_carrier
