replicate	realized_population_allele_frequency	center_fraction_recent	n_pairs_tmrca_lt_threshold	neutral_exceedances	neutral_replicates	mc_p_upper
0	0.4353	0.185	370	0	100	0.009900990099009901
2	0.8833	0.785	1570	0	100	0.009900990099009901
14	0.55955	0.32	640	0	100	0.009900990099009901
17	0.6192	0.3845	769	0	100	0.009900990099009901
32	0.73725	0.5395	1079	0	100	0.009900990099009901
34	0.77355	0.599	1198	0	100	0.009900990099009901
35	0.4749	0.2275	455	0	100	0.009900990099009901
41	0.09965	0.0195	39	0	100	0.009900990099009901
44	0.9215	0.8515	1703	0	100	0.009900990099009901
62	0.5048	0.2515	503	0	100	0.009900990099009901
