replicate	center_fraction_recent	center_n_pairs_recent	center_mean_tmrca_generations	focal_allele_outcome	focal_population_allele_frequency	ancestry_seconds	slim_seconds
0	0.006	12	20770.263665230512	lost	0.0	31.483398500015028	6.48752309998963
1	0.0045	9	16798.363972626616	lost	0.0	30.067402599961497	6.653392700012773
2	0.005	10	20959.32958811827	lost	0.0	26.43580010003643	5.394393900001887
3	0.005	10	21382.985555131017	lost	0.0	26.482120700005908	4.889763799961656
4	0.0065	13	15208.2520364064	lost	0.0	32.09062840003753	7.175003600015771
5	0.005	10	12972.540533117075	lost	0.0	30.874322499963455	6.900010099983774
6	0.007	14	12853.458288753614	lost	0.0	31.030757000029553	6.571288899984211
7	0.0055	11	22918.859945532902	lost	0.0	31.900984999956563	6.7121845000074245
8	0.009	18	9905.844575304953	lost	0.0	31.27871700003743	6.496469100005925
9	0.003	6	20363.31438867797	lost	0.0	32.363747900002636	8.270801000006031
10	0.005	10	15737.33517068671	lost	0.0	31.962883200030774	7.88962030003313
11	0.0055	11	14047.28465362463	lost	0.0	31.49112329998752	6.995251599990297
12	0.006	12	7447.917453578869	lost	0.0	29.876851800014265	6.714867300004698
13	0.0075	15	27311.78719672325	lost	0.0	31.70958220004104	8.049152199993841
14	0.0055	11	20272.64329015573	lost	0.0	31.406436200020835	7.568257500010077
15	0.0075	15	14541.577385209946	lost	0.0	29.716969000000972	6.75563680002233
16	0.007	14	20495.67782560627	lost	0.0	32.319116200029384	7.145717600011267
17	0.008	16	12990.427064652282	lost	0.0	32.308098200010136	6.837210999976378
18	0.0095	19	13333.885655114436	lost	0.0	32.04758740001125	7.580618300009519
19	0.0065	13	13427.987308870503	lost	0.0	31.981465300021227	7.382165799965151
20	0.0075	15	14027.903046207082	lost	0.0	9.913961800048128	3.6911128999781795
21	0.0045	9	49575.44912585505	lost	0.0	10.168505100009497	3.16182649997063
22	0.009	18	19884.19370583695	lost	0.0	27.037444299960043	4.162255500035826
23	0.008	16	26557.80033000435	lost	0.0	33.71507589996327	4.59657920000609
24	0.0045	9	14264.240551502353	lost	0.0	23.566161900002044	4.62488839996513
25	0.0055	11	22866.125060324273	lost	0.0	19.67957799998112	4.791106100019533
26	0.007	14	19597.936626319028	lost	0.0	25.77497680002125	4.3942353000165895
27	0.01	20	10883.162495869383	lost	0.0	25.07780080003431	3.987947199959308
28	0.007	14	24408.5646456713	lost	0.0	28.11718539998401	4.384995700034779
29	0.0055	11	17458.734776826244	lost	0.0	28.996133799955714	4.664588500047103
30	0.006	12	13001.480778726718	lost	0.0	32.45572249998804	5.085725699958857
31	0.0055	11	16102.855930741645	lost	0.0	30.476294599997345	5.219185399997514
32	0.008	16	8557.306712602205	lost	0.0	30.073065900010988	5.338411300035659
33	0.0085	17	18285.35210851312	lost	0.0	31.016659400018398	4.8069663000060245
34	0.0085	17	15617.817034999622	lost	0.0	31.581665300007444	4.919787899998482
35	0.0065	13	16708.690066975534	lost	0.0	32.0642891000025	4.602712299965788
36	0.0075	15	22512.56294048376	lost	0.0	31.001025500008836	4.974857900000643
