position_0based	focal_carrier_copies	pair_class	n_pairs	mean_tmrca_generations	standard_error_generations	ci95_lower_generations	ci95_upper_generations	selected_attempt	population_focal_allele_frequency	sample_focal_allele_frequency
0.0	0	hom_ref	1610	19321.5702125208	285.59189903932355	18769.441331770453	19889.940722181153	8	0.102125	0.10275
0.0	2	hom_alt	21	15485.87599471936	2685.393597389504	10785.504954065944	22234.68964551542	8	0.102125	0.10275
50000.0	0	hom_ref	1610	20049.93233708683	454.028778986486	19178.870386304287	20960.555998586337	8	0.102125	0.10275
50000.0	2	hom_alt	21	15252.895561892237	3489.751738425205	9464.198204197673	24582.20104887532	8	0.102125	0.10275
100000.0	0	hom_ref	1610	13869.405344654999	181.07457453521423	13518.747504132294	14229.158770481186	8	0.102125	0.10275
100000.0	2	hom_alt	21	10904.257932521781	1642.7385701164053	7963.7551292556955	14930.499384914794	8	0.102125	0.10275
150000.0	0	hom_ref	1610	13352.853426726644	190.12310632203852	12985.097660793239	13731.024540076774	8	0.102125	0.10275
150000.0	2	hom_alt	21	16479.132827640748	1547.1048318138348	13548.273271643395	20044.0169242384	8	0.102125	0.10275
200000.0	0	hom_ref	1610	12520.174841340604	247.25754035077384	12044.467119709689	13014.671093353983	8	0.102125	0.10275
200000.0	2	hom_alt	21	11796.551625654905	2114.445898734905	8116.617549510271	17144.904192897167	8	0.102125	0.10275
250000.0	0	hom_ref	1610	15350.908616142397	265.7917073645908	14838.327460248365	15881.196581788507	8	0.102125	0.10275
250000.0	2	hom_alt	21	17149.65969371612	2394.3169873652687	12816.719472494935	22947.43426673588	8	0.102125	0.10275
300000.0	0	hom_ref	1610	13772.431205712539	174.62348124157447	13434.141799086872	14119.239185712424	8	0.102125	0.10275
300000.0	2	hom_alt	21	12541.037119421166	1619.7721841604687	9579.140630414087	16418.760105821806	8	0.102125	0.10275
350000.0	0	hom_ref	1610	23662.247164483244	335.4976025133619	23013.25514600093	24329.541271800084	8	0.102125	0.10275
350000.0	2	hom_alt	21	27979.887766987616	2674.888999944403	22921.30845265002	34154.86166814846	8	0.102125	0.10275
400000.0	0	hom_ref	1610	19928.51731536158	332.8134473896573	19286.299792686215	20592.12014008372	8	0.102125	0.10275
400000.0	2	hom_alt	21	21504.251632315456	2755.1445848447515	16461.019017304483	28092.60093678368	8	0.102125	0.10275
450000.0	0	hom_ref	1610	17367.690389170333	254.01173865988633	16876.54026204009	17873.13423074883	8	0.102125	0.10275
450000.0	2	hom_alt	21	15747.446164452318	2018.9296217361332	12052.155374369999	20575.743756978136	8	0.102125	0.10275
500000.0	0	hom_ref	1610	19381.393599349252	423.34497561696503	18568.56458654905	20229.80376873106	8	0.102125	0.10275
500000.0	2	hom_alt	21	18802.85713932792	3574.114444287511	12648.029458217878	27952.768276663246	8	0.102125	0.10275
550000.0	0	hom_ref	1610	48164.69497938209	1057.0194123594847	46135.40477335972	50283.2445895538	8	0.102125	0.10275
550000.0	2	hom_alt	21	51865.77336177001	9741.965077950481	35052.67419491115	76743.31582966718	8	0.102125	0.10275
600000.0	0	hom_ref	1610	17248.50158948849	253.2016101707325	16758.943753265925	17752.360259852838	8	0.102125	0.10275
600000.0	2	hom_alt	21	12848.435652141707	2118.364017805773	9109.359326253309	18122.273235117256	8	0.102125	0.10275
650000.0	0	hom_ref	1610	9775.17230687972	185.11502485735087	9418.741067830204	10145.091890842368	8	0.102125	0.10275
650000.0	2	hom_alt	21	9045.807120501717	1840.6304162517029	5917.132216150119	13828.764251368824	8	0.102125	0.10275
700000.0	0	hom_ref	1610	11381.689523378122	160.13837233337904	11071.882355387628	11700.165540825057	8	0.102125	0.10275
700000.0	2	hom_alt	21	9955.526820500538	1556.2020817031498	7185.46087462578	13793.480474398568	8	0.102125	0.10275
750000.0	0	hom_ref	1610	20086.75015646114	525.438033494425	19082.128316541053	21144.26258722636	8	0.102125	0.10275
750000.0	2	hom_alt	21	16395.42851937365	4192.553378468721	9617.562608598315	27949.916966859008	8	0.102125	0.10275
800000.0	0	hom_ref	1610	21271.978228746702	340.2626373384167	20614.934875037907	21949.96300047451	8	0.102125	0.10275
800000.0	2	hom_alt	21	17287.40782887966	3072.995923473014	11931.466513428239	25047.58900388856	8	0.102125	0.10275
850000.0	0	hom_ref	1610	9915.838970310399	150.76410652911804	9624.49026376632	10216.00726796825	8	0.102125	0.10275
850000.0	2	hom_alt	21	10635.9508114034	1475.461665626014	7963.484460995308	14205.270345746869	8	0.102125	0.10275
900000.0	0	hom_ref	1610	22355.756189773423	413.8121053179867	21558.646634577894	23182.338079376295	8	0.102125	0.10275
