replicate	center_fraction_recent	center_n_pairs_recent	center_mean_tmrca_generations	focal_allele_outcome	focal_population_allele_frequency	ancestry_seconds	slim_seconds
0	0.006	12	20770.263665230512	lost	0.0	29.880806799978018	8.243577799992636
1	0.0045	9	16798.363972626616	lost	0.0	30.541334000008646	8.27709450002294
2	0.005	10	20959.32958811827	lost	0.0	28.944689799973276	7.880719700013287
3	0.005	10	21382.985555131017	lost	0.0	28.714216899999883	7.770136100007221
4	0.0065	13	15208.2520364064	lost	0.0	27.87005389999831	8.725027000007685
5	0.005	10	12972.540533117075	lost	0.0	29.96897240000544	7.423569799982943
6	0.007	14	12853.458288753614	lost	0.0	29.864287799980957	8.716068700014148
7	0.0055	11	22918.859945532902	lost	0.0	27.821469200018328	7.86110139999073
8	0.009	18	9905.844575304953	lost	0.0	27.79252070002258	8.261610899993684
9	0.003	6	20363.31438867797	lost	0.0	30.549924999999348	8.479823799978476
10	0.005	10	15737.33517068671	lost	0.0	30.58332070003962	8.180467700003646
11	0.0055	11	14047.28465362463	lost	0.0	30.427532900008373	8.195162299962249
12	0.006	12	7447.917453578869	lost	0.0	27.584837000002153	9.1918007999775
13	0.0075	15	27311.78719672325	lost	0.0	30.275198300019838	8.460387099999934
14	0.0055	11	20272.64329015573	lost	0.0	30.493040000030305	8.411311300005764
15	0.0075	15	14541.577385209946	lost	0.0	30.498579200007953	8.41162849997636
16	0.007	14	20495.67782560627	lost	0.0	29.590357700013556	8.604434999986552
17	0.008	16	12990.427064652282	lost	0.0	30.35118679999141	8.420907699968666
18	0.0095	19	13333.885655114436	lost	0.0	30.379086199973244	8.44156100001419
19	0.0065	13	13427.987308870503	lost	0.0	30.23298520001117	8.446994500001892
20	0.0075	15	14027.903046207082	lost	0.0	27.147685700037982	7.1954412999912165
21	0.0045	9	49575.44912585505	lost	0.0	30.9480166999856	7.414525300031528
22	0.009	18	19884.19370583695	lost	0.0	32.300405899994075	8.342446999973617
23	0.008	16	26557.80033000435	lost	0.0	30.64542529999744	8.059465099999215
24	0.0045	9	14264.240551502353	lost	0.0	35.32432889996562	8.041677700006403
25	0.0055	11	22866.125060324273	lost	0.0	35.12357039999915	8.081942500022706
26	0.007	14	19597.936626319028	lost	0.0	32.06827060005162	8.509932100016158
27	0.01	20	10883.162495869383	lost	0.0	35.31707980000647	8.237373300013132
28	0.007	14	24408.5646456713	lost	0.0	36.64539570000488	7.370333599974401
29	0.0055	11	17458.734776826244	lost	0.0	35.8750916000572	7.812000000034459
30	0.006	12	13001.480778726718	lost	0.0	36.68737369996961	7.902407899964601
31	0.0055	11	16102.855930741645	lost	0.0	32.167684100044426	7.975729300000239
32	0.008	16	8557.306712602205	lost	0.0	35.52413680002792	7.75894430000335
33	0.0085	17	18285.35210851312	lost	0.0	36.67095999995945	7.718684199964628
34	0.0085	17	15617.817034999622	lost	0.0	35.44297329999972	7.832649799995124
35	0.0065	13	16708.690066975534	lost	0.0	35.19844090001425	8.094422499998473
36	0.0075	15	22512.56294048376	lost	0.0	36.25088170001982	8.156042799993884
37	0.0085	17	13208.415504854389	lost	0.0	35.29847109998809	8.029730900016148
38	0.006	12	18088.128804024796	lost	0.0	36.23930720001226	7.828236500034109
39	0.0045	9	24220.31105278421	lost	0.0	34.91941070003668	7.7412323000025935
40	0.0085	17	10516.139830437067	lost	0.0	5.278833999997005	3.8632952999905683
41	0.0095	19	29227.221298046068	lost	0.0	13.601676799997222	5.02165770001011
42	0.0045	9	9767.538319200385	lost	0.0	20.008582400041632	8.945954300055746
43	0.009	18	11824.494808443565	lost	0.0	25.190420200000517	4.9323806000174955
44	0.005	10	29360.818274408568	lost	0.0	28.939210999989882	5.906572399951983
45	0.006	12	17610.87774939107	lost	0.0	30.1719864999759	7.809986500011291
46	0.008	16	16337.178174716179	lost	0.0	26.729958500014618	7.856920699996408
47	0.008	16	41823.842751600045	lost	0.0	28.48123360000318	6.035576599999331
48	0.006	12	14424.944244089174	lost	0.0	28.964392099995166	7.064465400006156
49	0.0065	13	22548.779838712508	lost	0.0	29.11163719999604	7.976207399973646
50	0.008	16	32402.888147039404	lost	0.0	29.698546300001908	7.654674499994144
51	0.007	14	14616.617343018406	lost	0.0	29.01048489997629	6.873319600010291
52	0.0065	13	14961.59540010075	lost	0.0	29.90209039999172	7.622421999985818
53	0.0065	13	16547.933943487136	lost	0.0	29.60529120004503	7.626095600018743
54	0.0065	13	19246.093298435302	lost	0.0	30.074167699960526	8.524399799993262
55	0.005	10	22881.47652752492	lost	0.0	30.04523660003906	7.506030699994881
56	0.0065	13	18650.179057918616	lost	0.0	29.881672399991658	7.3826251000282355
57	0.0065	13	29651.863949578365	lost	0.0	27.778621000004932	7.780589899979532
58	0.0075	15	16160.726127604441	lost	0.0	29.9926218999899	7.2525647999718785
59	0.006	12	14677.183136088926	lost	0.0	31.84543590003159	7.521479000046384
60	0.0075	15	20637.52493249347	lost	0.0	30.282508499978576	7.554494299984071
61	0.0045	9	19281.749892081276	lost	0.0	11.933881299977656	7.245193700015079
62	0.0085	17	17065.901910801545	lost	0.0	9.93626009998843	7.743004599993583
63	0.006	12	14155.645801466637	lost	0.0	40.55992030003108	4.888050000008661
64	0.0075	15	24665.427972907542	lost	0.0	39.374330000020564	4.577709599980153
65	0.0075	15	12305.5149441323	lost	0.0	42.669341299973894	8.799833800003398
66	0.005	10	21976.000468226746	lost	0.0	37.00195160001749	5.946964199945796
67	0.004	8	29088.182791917745	lost	0.0	29.807710299966857	4.739972199953627
68	0.008	16	21366.35622349558	lost	0.0	29.700428500014823	6.105560700001661
69	0.0045	9	15327.021473925695	lost	0.0	36.66814920003526	7.735168499988504
70	0.0115	23	9999.42607229279	lost	0.0	37.10545319999801	8.715964899980463
71	0.006	12	9189.793463218526	lost	0.0	32.37790079996921	4.651836700038984
72	0.0055	11	21528.898568306646	lost	0.0	35.05813680001302	5.886448599980213
73	0.007	14	17764.753443892947	lost	0.0	34.926400500000454	7.121983900025953
74	0.004	8	15730.868238692132	lost	0.0	40.13180979999015	8.130475199955981
75	0.0115	23	22646.777286020166	lost	0.0	35.96953660005238	7.6755600000033155
76	0.007	14	22785.62999799256	lost	0.0	39.058175900019705	8.013418700022157
77	0.0065	13	13030.912003319658	lost	0.0	35.19112610002048	7.934565100003965
78	0.0055	11	14834.849012031003	lost	0.0	40.0630586000043	6.728866899968125
79	0.0045	9	13159.855787315415	lost	0.0	39.70109909999883	6.927368599979673
80	0.005	10	10103.06630759827	lost	0.0	39.13955820002593	7.111190900031943
81	0.0075	15	23142.706926394516	lost	0.0	39.39101640001172	7.838423200009856
82	0.005	10	8999.118727781699	lost	0.0	24.538134199974593	6.495438499958254
83	0.005	10	23548.706408602913	lost	0.0	13.919025000010151	5.051139099989086
84	0.0045	9	24987.34878334888	lost	0.0	13.549091199995019	4.2052408999879844
85	0.0045	9	21656.776530944077	lost	0.0	17.212562900036573	5.900835099979304
86	0.0055	11	8783.173804055832	lost	0.0	17.982603200012818	5.76138689997606
87	0.0075	15	60767.537067232624	lost	0.0	16.622044100018684	5.872854199958965
88	0.0075	15	20142.46870167328	lost	0.0	19.580811999971047	5.481590899988078
89	0.006	12	24347.283316958226	lost	0.0	21.22091560001718	5.3996178999659605
90	0.006	12	12105.70045621262	lost	0.0	25.24914460000582	6.30099960003281
91	0.006	12	34451.21141102582	lost	0.0	24.510655399993993	6.39681390003534
92	0.004	8	13743.489911964205	lost	0.0	24.351825499965344	6.08738749998156
93	0.006	12	22049.25591155754	lost	0.0	24.138303000014275	5.999264899990521
94	0.006	12	24327.399753582955	lost	0.0	23.41924449999351	6.402004199975636
