tick	generations_ago	population_allele_frequency	selected_attempt
1	180	5e-05	8
2	179	5e-05	8
3	178	5e-05	8
4	177	5e-05	8
5	176	0.0001	8
6	175	0.0002	8
7	174	0.00015	8
8	173	0.0001	8
9	172	0.0001	8
10	171	0.00015	8
11	170	0.0002	8
12	169	0.00025	8
13	168	0.0001	8
14	167	0.00015	8
15	166	0.00015	8
16	165	0.00015	8
17	164	0.00015	8
18	163	0.00025	8
19	162	0.0004	8
20	161	0.00055	8
21	160	0.0009	8
22	159	0.00125	8
23	158	0.00135	8
24	157	0.00115	8
25	156	0.0012	8
26	155	0.001	8
27	154	0.0011	8
28	153	0.00095	8
29	152	0.00115	8
30	151	0.00095	8
31	150	0.00105	8
32	149	0.00085	8
33	148	0.00095	8
34	147	0.00105	8
35	146	0.0011	8
36	145	0.001	8
37	144	0.00115	8
38	143	0.00135	8
39	142	0.0013	8
40	141	0.00175	8
41	140	0.0016	8
42	139	0.00145	8
43	138	0.00155	8
44	137	0.00175	8
45	136	0.00175	8
46	135	0.0023	8
47	134	0.00225	8
48	133	0.0031	8
49	132	0.0031	8
50	131	0.00345	8
51	130	0.0042	8
52	129	0.0035	8
53	128	0.0041	8
54	127	0.0038	8
55	126	0.00415	8
56	125	0.0044	8
57	124	0.00445	8
58	123	0.00475	8
59	122	0.00585	8
60	121	0.00505	8
61	120	0.0047	8
62	119	0.00485	8
63	118	0.0042	8
64	117	0.0045	8
65	116	0.0051	8
66	115	0.00505	8
67	114	0.00535	8
68	113	0.00565	8
69	112	0.00595	8
70	111	0.00635	8
71	110	0.0067	8
72	109	0.0065	8
73	108	0.0063	8
74	107	0.0047	8
75	106	0.00435	8
76	105	0.0042	8
77	104	0.00405	8
78	103	0.00435	8
79	102	0.00465	8
80	101	0.0059	8
81	100	0.006975	8
82	99	0.007725	8
83	98	0.008125	8
84	97	0.00815	8
85	96	0.008125	8
86	95	0.008575	8
87	94	0.0085	8
88	93	0.009275	8
89	92	0.00895	8
90	91	0.009325	8
91	90	0.00975	8
92	89	0.011	8
93	88	0.0116	8
94	87	0.0105	8
95	86	0.011625	8
96	85	0.01195	8
97	84	0.0126	8
98	83	0.012575	8
99	82	0.01275	8
100	81	0.01345	8
101	80	0.013925	8
102	79	0.014	8
103	78	0.013225	8
104	77	0.015275	8
105	76	0.015625	8
106	75	0.01585	8
107	74	0.016175	8
108	73	0.0165	8
109	72	0.0174	8
110	71	0.0175	8
111	70	0.0179	8
112	69	0.0186	8
113	68	0.018875	8
114	67	0.0198	8
115	66	0.021125	8
116	65	0.0215	8
117	64	0.0215	8
118	63	0.021825	8
119	62	0.0218	8
120	61	0.0217	8
121	60	0.0224	8
122	59	0.0236	8
123	58	0.022775	8
124	57	0.023175	8
125	56	0.02445	8
126	55	0.022625	8
127	54	0.023175	8
128	53	0.023625	8
129	52	0.0243	8
130	51	0.025525	8
131	50	0.02695	8
132	49	0.02845	8
133	48	0.030825	8
134	47	0.0324	8
135	46	0.032075	8
136	45	0.033375	8
137	44	0.034225	8
138	43	0.034625	8
139	42	0.035775	8
140	41	0.037625	8
141	40	0.03965	8
142	39	0.0407	8
143	38	0.042775	8
144	37	0.043075	8
145	36	0.045575	8
146	35	0.04505	8
147	34	0.046625	8
148	33	0.048125	8
149	32	0.048825	8
150	31	0.0504	8
151	30	0.05185	8
152	29	0.0541	8
153	28	0.05505	8
154	27	0.0558	8
155	26	0.057025	8
156	25	0.0583	8
157	24	0.05925	8
158	23	0.0606	8
159	22	0.06405	8
160	21	0.064175	8
161	20	0.0656	8
162	19	0.066725	8
163	18	0.06845	8
164	17	0.0679	8
165	16	0.07045	8
166	15	0.07205	8
167	14	0.0756	8
168	13	0.077375	8
169	12	0.0822	8
170	11	0.08215	8
171	10	0.08085	8
172	9	0.0808	8
173	8	0.083375	8
174	7	0.085725	8
175	6	0.08765	8
176	5	0.090525	8
177	4	0.09125	8
178	3	0.096325	8
179	2	0.100525	8
180	1	0.0988	8
181	0	0.102125	8
