replicate	center_fraction_recent	center_n_pairs_recent	center_mean_tmrca_generations	focal_allele_outcome	focal_population_allele_frequency	ancestry_seconds	slim_seconds
0	0.0085	17	23666.36763942309	lost	0.0	23.72119653599998	6.96557579200001
1	0.005	10	18745.876570059987	lost	0.0	22.968714468	7.3576238950000175
2	0.0075	15	19177.019971989583	lost	0.0	26.502757857000006	7.530187890000008
3	0.007	14	18311.31513842248	lost	0.0	27.288230935	7.45258869700001
4	0.01	20	18375.87803392271	lost	0.0	22.57926700600001	4.718321529000008
5	0.006	12	20605.56625480156	lost	0.0	22.81588526599998	5.140676756000005
6	0.006	12	8615.017981689469	lost	0.0	24.101814214	7.046600877000003
7	0.0045	9	9091.061455354706	lost	0.0	24.59424719399999	6.381714662000007
8	0.0045	9	10935.462559093445	lost	0.0	21.026426958000002	4.138104897999995
9	0.0055	11	18878.424932876675	lost	0.0	28.005016339999997	6.782855193000017
10	0.005	10	14343.922379153508	lost	0.0	25.202236554999985	6.99108881799998
11	0.0075	15	16743.492075607133	lost	0.0	27.99205699999999	6.703698305999978
12	0.009	18	9203.652279554854	lost	0.0	23.645154209999987	6.6124749969999925
13	0.0095	19	15738.89372788295	lost	0.0	26.149160685999988	7.095869333999985
14	0.006	12	25834.18370764747	lost	0.0	27.780834091999992	6.819145759999998
15	0.012	24	41188.551229385484	lost	0.0	27.211461326999995	7.062052227999999
16	0.0095	19	18081.778887926204	lost	0.0	28.281008174999982	7.3004095820000146
17	0.0025	5	11877.878683068368	lost	0.0	25.203128579999998	7.451294643000011
18	0.0075	15	30606.789958766374	segregating	0.00355	27.510472574000005	7.249751419000006
19	0.0045	9	18358.74020517766	lost	0.0	24.994460078999992	6.987818919000006
20	0.005	10	15636.33414754894	lost	0.0	11.870517594999995	5.122997375000011
21	0.005	10	16584.6726807743	lost	0.0	18.983946863	3.577082912999998
22	0.0085	17	19484.546966263708	lost	0.0	16.71211408100001	4.828508969000012
23	0.004	8	7761.216359750712	lost	0.0	25.773872682000018	5.117610726999999
24	0.006	12	22979.477527661278	lost	0.0	22.92012299199999	4.512290596000014
25	0.005	10	16160.776797283484	lost	0.0	24.185902356999975	4.852500727000006
26	0.0045	9	27034.044753993254	lost	0.0	21.913070777	3.7972804549999637
27	0.0045	9	16999.97272684172	lost	0.0	24.113682482999963	4.80777005799996
28	0.006	12	33685.041899480326	lost	0.0	23.99683775700001	5.024698475999969
29	0.008	16	26455.834992053587	lost	0.0	23.41959904500004	4.626608992000001
30	0.009	18	19706.27789865778	lost	0.0	24.681853778000004	4.8583161069999505
