tick	generations_ago	population_allele_frequency	selected_attempt
1	180	5e-05	39
2	179	5e-05	39
3	178	0.0001	39
4	177	0.00015	39
5	176	0.0002	39
6	175	0.00045	39
7	174	0.0004	39
8	173	0.0006	39
9	172	0.0008	39
10	171	0.00065	39
11	170	0.0009	39
12	169	0.00095	39
13	168	0.00135	39
14	167	0.00165	39
15	166	0.00115	39
16	165	0.00095	39
17	164	0.0008	39
18	163	0.00075	39
19	162	0.0007	39
20	161	0.00085	39
21	160	0.00105	39
22	159	0.00145	39
23	158	0.0016	39
24	157	0.0021	39
25	156	0.0031	39
26	155	0.0032	39
27	154	0.0036	39
28	153	0.00325	39
29	152	0.00355	39
30	151	0.00435	39
31	150	0.0041	39
32	149	0.0035	39
33	148	0.00335	39
34	147	0.0034	39
35	146	0.0037	39
36	145	0.0039	39
37	144	0.0041	39
38	143	0.00445	39
39	142	0.00405	39
40	141	0.0045	39
41	140	0.004	39
42	139	0.0043	39
43	138	0.00545	39
44	137	0.0058	39
45	136	0.00565	39
46	135	0.00585	39
47	134	0.0055	39
48	133	0.00565	39
49	132	0.00535	39
50	131	0.00435	39
51	130	0.00495	39
52	129	0.0048	39
53	128	0.00485	39
54	127	0.00475	39
55	126	0.0046	39
56	125	0.0053	39
57	124	0.0055	39
58	123	0.005	39
59	122	0.0045	39
60	121	0.00495	39
61	120	0.00535	39
62	119	0.0062	39
63	118	0.0061	39
64	117	0.007	39
65	116	0.00655	39
66	115	0.00645	39
67	114	0.0067	39
68	113	0.0063	39
69	112	0.0066	39
70	111	0.00715	39
71	110	0.0072	39
72	109	0.00665	39
73	108	0.0074	39
74	107	0.00905	39
75	106	0.0091	39
76	105	0.0091	39
77	104	0.0082	39
78	103	0.0077	39
79	102	0.0084	39
80	101	0.00865	39
81	100	0.007925	39
82	99	0.008525	39
83	98	0.00855	39
84	97	0.008975	39
85	96	0.009075	39
86	95	0.009475	39
87	94	0.00955	39
88	93	0.009325	39
89	92	0.0101	39
90	91	0.010025	39
91	90	0.01055	39
92	89	0.0111	39
93	88	0.011825	39
94	87	0.0119	39
95	86	0.0106	39
96	85	0.01045	39
97	84	0.011	39
98	83	0.010925	39
99	82	0.01115	39
100	81	0.010675	39
101	80	0.011475	39
102	79	0.012	39
103	78	0.01315	39
104	77	0.01375	39
105	76	0.0152	39
106	75	0.015575	39
107	74	0.0152	39
108	73	0.0145	39
109	72	0.016125	39
110	71	0.018	39
111	70	0.019125	39
112	69	0.019875	39
113	68	0.02085	39
114	67	0.020775	39
115	66	0.0222	39
116	65	0.0227	39
117	64	0.023875	39
118	63	0.025575	39
119	62	0.0265	39
120	61	0.027325	39
121	60	0.029025	39
122	59	0.030975	39
123	58	0.0326	39
124	57	0.031525	39
125	56	0.031	39
126	55	0.031575	39
127	54	0.0344	39
128	53	0.0347	39
129	52	0.034175	39
130	51	0.035925	39
131	50	0.036875	39
132	49	0.037575	39
133	48	0.036675	39
134	47	0.037325	39
135	46	0.0384	39
136	45	0.038725	39
137	44	0.04045	39
138	43	0.04125	39
139	42	0.042175	39
140	41	0.043325	39
141	40	0.045125	39
142	39	0.0465	39
143	38	0.0483	39
144	37	0.0493	39
145	36	0.0511	39
146	35	0.0529	39
147	34	0.053875	39
148	33	0.05425	39
149	32	0.054775	39
150	31	0.056025	39
151	30	0.0585	39
152	29	0.05765	39
153	28	0.0592	39
154	27	0.061	39
155	26	0.0645	39
156	25	0.066025	39
157	24	0.06745	39
158	23	0.069475	39
159	22	0.069075	39
160	21	0.072425	39
161	20	0.07305	39
162	19	0.07435	39
163	18	0.076875	39
164	17	0.0765	39
165	16	0.079775	39
166	15	0.0814	39
167	14	0.0826	39
168	13	0.085	39
169	12	0.085375	39
170	11	0.087325	39
171	10	0.089325	39
172	9	0.087725	39
173	8	0.087525	39
174	7	0.089375	39
175	6	0.091625	39
176	5	0.092075	39
177	4	0.095325	39
178	3	0.098975	39
179	2	0.1042	39
180	1	0.1054	39
181	0	0.107825	39
