af_bin	threshold_years	n_loci	mean_frequency	mean_carrier_pairs	overall_mean	cc_mean	cc_q95	cc_q99	inflation_vs_overall
[0.1, 0.15)	10000.0	3383	0.120833579663021	142.58616612474137	0.007439934968962459	0.06488443055203702	0.1294059116183787	0.18580298013245	8.721101840636857
[0.1, 0.15)	30000.0	3383	0.120833579663021	142.58616612474137	0.0972444871415903	0.651572322692245	1.0	1.0	6.700352295997408
[0.1, 0.15)	50000.0	3383	0.120833579663021	142.58616612474137	0.18651324268400826	0.9393696929792541	1.0	1.0	5.036477193047033
[0.15, 0.25)	10000.0	4292	0.19110088536812675	365.76304753028893	0.007437837837837838	0.04140052833458986	0.07555555555555556	0.10310042141650337	5.566204754287154
[0.15, 0.25)	30000.0	4292	0.19110088536812675	365.76304753028893	0.09739007455731594	0.5303490036728293	1.0	1.0	5.445616569075617
[0.15, 0.25)	50000.0	4292	0.19110088536812675	365.76304753028893	0.1834908201304753	0.9015663241629046	1.0	1.0	4.913413780165272
[0.25, 0.35)	10000.0	2042	0.2910504407443683	844.9040156709109	0.007465034280117532	0.026864197179930736	0.04521693717056399	0.05714776735395329	3.598670303695883
[0.25, 0.35)	30000.0	2042	0.2910504407443683	844.9040156709109	0.1001281096963761	0.4107321332230314	0.8585749044422315	1.0	4.102066187692115
[0.25, 0.35)	50000.0	2042	0.2910504407443683	844.9040156709109	0.1938447110675808	0.8445031206116665	1.0	1.0	4.356596143173823
[0.35, 0.45)	10000.0	982	0.38986252545824845	1514.1354378818737	0.007419450101832994	0.019843985514764212	0.03049466062425627	0.03815858371774091	2.6745897933678004
[0.35, 0.45)	30000.0	982	0.38986252545824845	1514.1354378818737	0.10512067209775967	0.3440545671953945	0.6638345477878907	1.0	3.2729487010455194
[0.35, 0.45)	50000.0	982	0.38986252545824845	1514.1354378818737	0.20887586558044804	0.7732183908270601	1.0	1.0	3.7018081944429184
[0.45, 0.6)	10000.0	477	0.5052830188679246	2556.3312368972747	0.007367085953878407	0.015410381039860439	0.02310006945073527	0.027324249666345946	2.091787870582348
[0.45, 0.6)	30000.0	477	0.5052830188679246	2556.3312368972747	0.10830272536687631	0.2694593483918387	0.5133851635892451	0.7223420116126621	2.4880200150000205
[0.45, 0.6)	50000.0	477	0.5052830188679246	2556.3312368972747	0.2566870020964361	0.7458574502666564	1.0	1.0	2.905707901744247
[0.6, 0.71)	10000.0	103	0.6443689320388349	4151.368932038835	0.0074776699029126216	0.012192406094232677	0.016959704449060222	0.02042776982335796	1.6305087350116407
[0.6, 0.71)	30000.0	103	0.6443689320388349	4151.368932038835	0.12050970873786407	0.22899288359135236	0.4068696591131249	0.46996007611820145	1.9002027802545254
[0.6, 0.71)	50000.0	103	0.6443689320388349	4151.368932038835	0.34293300970873786	0.7355403650295506	1.0	1.0	2.1448514555488973
