arm_id	mode	unit_id	replicate_index	genotype_class	n_pairs	threshold_years	threshold_generations	p_tmrca_lt_threshold	mean_tmrca_generations	median_tmrca_generations	seed
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	het	0	1000.0	40.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	het	0	4500.0	180.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	het	0	10000.0	400.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	het	0	20000.0	800.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	het	0	30000.0	1200.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	het	0	40000.0	1600.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	het	0	50000.0	2000.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_carrier	0	1000.0	40.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_carrier	0	4500.0	180.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_carrier	0	10000.0	400.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_carrier	0	20000.0	800.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_carrier	0	30000.0	1200.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_carrier	0	40000.0	1600.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_carrier	0	50000.0	2000.0				31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_noncarrier	100	1000.0	40.0	0.01	14461.35	3050.0	31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_noncarrier	100	4500.0	180.0	0.02	14461.35	3050.0	31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_noncarrier	100	10000.0	400.0	0.03	14461.35	3050.0	31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_noncarrier	100	20000.0	800.0	0.06	14461.35	3050.0	31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_noncarrier	100	30000.0	1200.0	0.06	14461.35	3050.0	31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_noncarrier	100	40000.0	1600.0	0.06	14461.35	3050.0	31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	hom_noncarrier	100	50000.0	2000.0	0.13	14461.35	3050.0	31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	overall	100	1000.0	40.0	0.01	14461.35	3050.0	31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	overall	100	4500.0	180.0	0.02	14461.35	3050.0	31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	overall	100	10000.0	400.0	0.03	14461.35	3050.0	31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	overall	100	20000.0	800.0	0.06	14461.35	3050.0	31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	overall	100	30000.0	1200.0	0.06	14461.35	3050.0	31260819
chb_ancient_eurasia	neutral	chb_ancient_eurasia__neutral__rep000	0	overall	100	40000.0	1600.0	0.06	14461.35	3050.0	31260819
