arm_id	threshold_years	n_selected	n_significant	power	median_p_value	median_observed	significance_level	p_value_floor	arm_label
chb_ancient_eurasia	1000.0	100	3	0.03	1.0	0.0	0.05	0.0099009900990099	CHB (Han, AncientEurasia_9K19)
chb_ancient_eurasia	4500.0	100	4	0.04	0.7722772277227723	0.01	0.05	0.0099009900990099	CHB (Han, AncientEurasia_9K19)
chb_ancient_eurasia	10000.0	100	6	0.06	0.504950495049505	0.03	0.05	0.0099009900990099	CHB (Han, AncientEurasia_9K19)
chb_ancient_eurasia	20000.0	100	8	0.08	0.4257425742574257	0.06	0.05	0.0099009900990099	CHB (Han, AncientEurasia_9K19)
chb_ancient_eurasia	30000.0	100	6	0.06	0.4455445544554455	0.09	0.05	0.0099009900990099	CHB (Han, AncientEurasia_9K19)
chb_ancient_eurasia	40000.0	100	18	0.18	0.2673267326732673	0.14	0.05	0.0099009900990099	CHB (Han, AncientEurasia_9K19)
chb_ancient_eurasia	50000.0	100	67	0.67	0.0346534653465346	0.235	0.05	0.0099009900990099	CHB (Han, AncientEurasia_9K19)
eas_phlash	1000.0	100	4	0.04	1.0	0.0	0.05	0.0099009900990099	EAS (PHLASH median, custom demography)
eas_phlash	4500.0	100	2	0.02	1.0	0.0	0.05	0.0099009900990099	EAS (PHLASH median, custom demography)
eas_phlash	10000.0	100	1	0.01	0.4554455445544554	0.01	0.05	0.0099009900990099	EAS (PHLASH median, custom demography)
eas_phlash	20000.0	100	4	0.04	0.594059405940594	0.04	0.05	0.0099009900990099	EAS (PHLASH median, custom demography)
eas_phlash	30000.0	100	5	0.05	0.5148514851485149	0.1	0.05	0.0099009900990099	EAS (PHLASH median, custom demography)
eas_phlash	40000.0	100	20	0.2	0.297029702970297	0.18	0.05	0.0099009900990099	EAS (PHLASH median, custom demography)
eas_phlash	50000.0	100	59	0.59	0.0198019801980198	0.365	0.05	0.0099009900990099	EAS (PHLASH median, custom demography)
