arm_id	estimator	genotype_class	threshold_years	n_null	mean	sd	q500	q900	q950	q975	q990
eas_phlash	gamma_smc_frac	overall	1000.0	100	0.0007999999999999999	0.002726599243442907	0.0	0.0	0.01	0.01	0.01
eas_phlash	gamma_smc_frac	overall	4500.0	100	0.0104	0.009311663154725406	0.01	0.02	0.03	0.03	0.03010000000000005
eas_phlash	gamma_smc_frac	overall	10000.0	100	0.051300000000000005	0.027067256300489038	0.05	0.09	0.11	0.11	0.13
eas_phlash	gamma_smc_frac	overall	20000.0	100	0.1398	0.06452593245816723	0.13	0.22200000000000017	0.26	0.2757499999999997	0.33110000000000056
eas_phlash	gamma_smc_frac	overall	30000.0	100	0.2125	0.0934887774823883	0.195	0.3110000000000001	0.37049999999999994	0.49574999999999975	0.5108000000000004
eas_phlash	gamma_smc_frac	overall	40000.0	100	0.277	0.11645001528813151	0.255	0.4310000000000001	0.4634999999999998	0.5752499999999998	0.5811000000000005
eas_phlash	gamma_smc_frac	overall	50000.0	100	0.3246	0.13572417067365158	0.3	0.5410000000000001	0.6014999999999999	0.6352499999999999	0.6505000000000003
eas_phlash	gamma_smc_frac	overall	75000.0	100	0.4121999999999999	0.1643203326346795	0.37	0.6720000000000002	0.7304999999999999	0.7604999999999998	0.7804000000000002
eas_phlash	gamma_smc_frac	overall	100000.0	100	0.47690000000000005	0.18268311693235698	0.445	0.7610000000000001	0.8304999999999999	0.8552499999999998	0.8606000000000003
eas_phlash	gamma_smc_frac	overall	150000.0	100	0.5632	0.19372937492045625	0.525	0.8810000000000001	0.8909999999999999	0.9252499999999999	0.9604000000000001
eas_phlash	gamma_smc_frac	overall	200000.0	100	0.6241999999999999	0.2040507958149815	0.615	0.9310000000000002	0.9709999999999999	1.0	1.0
eas_phlash	gamma_smc_meanp	overall	1000.0	100	0.01220708872461	0.004689253673138866	0.010926009255	0.01889245239	0.0216710294	0.02210818931674999	0.0239920551548
eas_phlash	gamma_smc_meanp	overall	4500.0	100	0.05300640948239999	0.01912760460528286	0.04784825224	0.08016233594800003	0.09332537802	0.09627397346574999	0.09721938386300008
eas_phlash	gamma_smc_meanp	overall	10000.0	100	0.1088805158938	0.03859857437126429	0.09856843441499999	0.16883826484000003	0.18595239572	0.19405502811249997	0.20259801686800014
eas_phlash	gamma_smc_meanp	overall	20000.0	100	0.1897543806141	0.06587540508757263	0.16831519425000002	0.28931713611000004	0.31328865623999996	0.32981949673499994	0.3490297714590002
eas_phlash	gamma_smc_meanp	overall	30000.0	100	0.25210688100399997	0.08587241508731966	0.22437233425	0.39031860915	0.408588354925	0.4256118227775	0.4521796703960002
eas_phlash	gamma_smc_meanp	overall	40000.0	100	0.30208549999199996	0.10113675706110896	0.2787296841	0.4623159788500001	0.48579547858	0.49850161241499996	0.5270903909140002
eas_phlash	gamma_smc_meanp	overall	50000.0	100	0.34338825474400003	0.11310823244936706	0.3216483402	0.52997120743	0.545498420855	0.5632913773925	0.5833179860040002
eas_phlash	gamma_smc_meanp	overall	75000.0	100	0.422223868229	0.13360382902096912	0.39855898945	0.6375580688000001	0.6695141490450001	0.678299198985	0.6872558341
eas_phlash	gamma_smc_meanp	overall	100000.0	100	0.47974285293800006	0.14582004728919584	0.4513781914	0.72146579554	0.7348264692049999	0.7533602211024998	0.7665954829710001
eas_phlash	gamma_smc_meanp	overall	150000.0	100	0.5612104848959999	0.15772266829290504	0.5500225371	0.80210326316	0.82529012398	0.8476915002674998	0.8752672537190002
eas_phlash	gamma_smc_meanp	overall	200000.0	100	0.618381021347	0.16143387988304234	0.61765397015	0.8540717938300001	0.881645670905	0.9032113621024999	0.930555632591
eas_phlash	tree_truth	overall	1000.0	100	0.0005	0.002190429135575903	0.0	0.0	0.0004999999999999716	0.01	0.01
eas_phlash	tree_truth	overall	4500.0	100	0.0026	0.004631905164675272	0.0	0.01	0.01	0.01	0.010100000000000052
eas_phlash	tree_truth	overall	10000.0	100	0.0072	0.007795362516758074	0.01	0.02	0.02	0.025249999999999915	0.03
eas_phlash	tree_truth	overall	20000.0	100	0.04539999999999999	0.020715484863534167	0.05	0.07	0.08049999999999997	0.09	0.10010000000000005
eas_phlash	tree_truth	overall	30000.0	100	0.10039999999999999	0.04037500977264791	0.09	0.16	0.16049999999999998	0.18524999999999991	0.21030000000000015
eas_phlash	tree_truth	overall	40000.0	100	0.14959999999999998	0.05175544669526352	0.14500000000000002	0.22	0.23149999999999993	0.26	0.26030000000000014
eas_phlash	tree_truth	overall	50000.0	100	0.20389999999999994	0.07248678040396973	0.2	0.29	0.34049999999999997	0.3604999999999998	0.41050000000000025
eas_phlash	tree_truth	overall	75000.0	100	0.2889	0.10566666666666666	0.28	0.4110000000000001	0.4724999999999998	0.5614999999999994	0.6014000000000007
eas_phlash	tree_truth	overall	100000.0	100	0.34949999999999987	0.14236370409069948	0.32	0.5320000000000003	0.6509999999999999	0.6904999999999998	0.7505000000000003
eas_phlash	tree_truth	overall	150000.0	100	0.4370999999999999	0.1864896075854463	0.4	0.6710000000000002	0.8149999999999997	0.9152499999999999	1.0
eas_phlash	tree_truth	overall	200000.0	100	0.5014	0.20788021026105832	0.445	0.820000000000001	0.9309999999999999	1.0	1.0
eas_phlash	tree_truth	any_carrier	1000.0	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eas_phlash	tree_truth	any_carrier	4500.0	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eas_phlash	tree_truth	any_carrier	10000.0	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eas_phlash	tree_truth	any_carrier	20000.0	17	0.015151515151515152	0.036846735716560074	0.0	0.061363636363636384	0.0977272727272727	0.11136363636363636	0.11954545454545454
