arm_id	mode	replicate_index	unit_id	seed	allele_present	estimator	genotype_class	n_pairs	threshold_years	value
eas_phlash	neutral	0	eas_phlash__neutral__rep000	41260820	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	1	eas_phlash__neutral__rep001	41260821	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	2	eas_phlash__neutral__rep002	41260822	True	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	3	eas_phlash__neutral__rep003	41260823	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	4	eas_phlash__neutral__rep004	41260824	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	5	eas_phlash__neutral__rep005	41260825	True	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	6	eas_phlash__neutral__rep006	41260826	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	7	eas_phlash__neutral__rep007	41260827	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_phlash	neutral	8	eas_phlash__neutral__rep008	41260828	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	9	eas_phlash__neutral__rep009	41260829	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	10	eas_phlash__neutral__rep010	41260830	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	11	eas_phlash__neutral__rep011	41260831	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	12	eas_phlash__neutral__rep012	41260832	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	13	eas_phlash__neutral__rep013	41260833	True	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	14	eas_phlash__neutral__rep014	41260834	True	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	15	eas_phlash__neutral__rep015	41260835	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	16	eas_phlash__neutral__rep016	41260836	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_phlash	neutral	17	eas_phlash__neutral__rep017	41260837	True	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	18	eas_phlash__neutral__rep018	41260838	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_phlash	neutral	19	eas_phlash__neutral__rep019	41260839	False	gamma_smc_frac	overall	100	1000.0	0.0
