arm_id	estimator	threshold_years	n_selected	n_null	auc	power_at_alpha	median_p_value	auc_af_lt_0p4	n_af_lt_0p4	auc_af_0p4_0p7	n_af_0p4_0p7	auc_af_ge_0p7	n_af_ge_0p7
chb_nea_selection	gamma_smc_frac	1000.0	100	100	0.5	0.0	1.0	0.4749999999999998	14	0.475	40	0.5293478260869567	46
chb_nea_selection	gamma_smc_frac	4500.0	100	100	0.6883	0.17	0.38613861386138615	0.5267857142857142	14	0.724125	40	0.706304347826087	46
chb_nea_selection	gamma_smc_frac	10000.0	100	100	0.8218000000000001	0.51	0.04950495049504951	0.6896428571428572	14	0.759125	40	0.9165217391304347	46
chb_nea_selection	gamma_smc_frac	20000.0	100	100	0.7469499999999998	0.28	0.13366336633663367	0.4071428571428572	14	0.634	40	0.9485869565217392	46
chb_nea_selection	gamma_smc_frac	30000.0	100	100	0.6732	0.21	0.2524752475247525	0.3303571428571429	14	0.4885	40	0.9381521739130435	46
chb_nea_selection	gamma_smc_frac	40000.0	100	100	0.6351	0.24	0.3564356435643564	0.29214285714285715	14	0.41224999999999995	40	0.9332608695652174	46
chb_nea_selection	gamma_smc_frac	50000.0	100	100	0.60335	0.18	0.32673267326732675	0.24714285714285714	14	0.363	40	0.9207608695652175	46
chb_nea_selection	gamma_smc_meanp	1000.0	100	100	0.7341999999999999	0.3	0.1782178217821782	0.4471428571428571	14	0.60625	40	0.9328260869565217	46
chb_nea_selection	gamma_smc_meanp	4500.0	100	100	0.7155	0.33	0.16831683168316833	0.3807142857142858	14	0.56975	40	0.9441304347826085	46
chb_nea_selection	gamma_smc_meanp	10000.0	100	100	0.687	0.34	0.1782178217821782	0.32571428571428573	14	0.5155000000000001	40	0.9460869565217392	46
chb_nea_selection	gamma_smc_meanp	20000.0	100	100	0.6441	0.29	0.25742574257425743	0.2607142857142857	14	0.4345	40	0.9430434782608694	46
chb_nea_selection	gamma_smc_meanp	30000.0	100	100	0.6043	0.26	0.31683168316831684	0.21357142857142855	14	0.36275	40	0.9332608695652173	46
chb_nea_selection	gamma_smc_meanp	40000.0	100	100	0.5715	0.21	0.3712871287128713	0.18642857142857142	14	0.3045	40	0.9208695652173913	46
chb_nea_selection	gamma_smc_meanp	50000.0	100	100	0.5429999999999999	0.18	0.4653465346534653	0.165	14	0.25525000000000003	40	0.9082608695652172	46
chb_nea_selection	tree_truth	1000.0	100	100	0.5100000000000002	0.04	1.0	0.4900000000000001	14	0.49000000000000005	40	0.5334782608695651	46
chb_nea_selection	tree_truth	4500.0	100	100	0.52065	0.01	1.0	0.5064285714285713	14	0.45999999999999996	40	0.5777173913043477	46
chb_nea_selection	tree_truth	10000.0	100	100	0.6050999999999999	0.02	0.32673267326732675	0.672142857142857	14	0.5987500000000001	40	0.5902173913043477	46
chb_nea_selection	tree_truth	20000.0	100	100	0.8623999999999999	0.58	0.0297029702970297	0.8371428571428572	14	0.9418749999999999	40	0.8009782608695651	46
chb_nea_selection	tree_truth	30000.0	100	100	0.9382	0.82	0.009900990099009901	0.7867857142857143	14	0.9717500000000001	40	0.9551086956521739	46
chb_nea_selection	tree_truth	40000.0	100	100	0.8302500000000002	0.55	0.01485148514851485	0.5478571428571428	14	0.733875	40	1.0	46
chb_nea_selection	tree_truth	50000.0	100	100	0.7469500000000001	0.5	0.054455445544554455	0.3735714285714286	14	0.592625	40	0.9947826086956522	46
