arm_id	estimator	threshold_years	replicate_index	observed	percentile	p_value	census_af	n_null
chb_nea_selection	gamma_smc_frac	1000.0	0	0.0	0.475	1.0	0.5221895778568115	100
chb_nea_selection	gamma_smc_frac	1000.0	1	0.0	0.475	1.0	0.4084969846915107	100
chb_nea_selection	gamma_smc_frac	1000.0	2	0.0	0.475	1.0	0.6835858976341426	100
chb_nea_selection	gamma_smc_frac	1000.0	3	0.0	0.475	1.0	0.988286686253286	100
chb_nea_selection	gamma_smc_frac	1000.0	4	0.0	0.475	1.0	0.2609014999226844	100
chb_nea_selection	gamma_smc_frac	1000.0	5	0.0	0.475	1.0	0.9552342662749342	100
chb_nea_selection	gamma_smc_frac	1000.0	6	0.0	0.475	1.0	0.8610638626874904	100
chb_nea_selection	gamma_smc_frac	1000.0	7	0.0	0.475	1.0	0.5095484768826349	100
chb_nea_selection	gamma_smc_frac	1000.0	8	0.0	0.475	1.0	0.5911937528993351	100
chb_nea_selection	gamma_smc_frac	1000.0	9	0.0	0.475	1.0	0.5829982990567496	100
chb_nea_selection	gamma_smc_frac	1000.0	10	0.0	0.475	1.0	0.5366475954847688	100
chb_nea_selection	gamma_smc_frac	1000.0	11	0.0	0.475	1.0	0.3570821091696304	100
chb_nea_selection	gamma_smc_frac	1000.0	12	0.0	0.475	1.0	0.785526519251585	100
chb_nea_selection	gamma_smc_frac	1000.0	13	0.0	0.475	1.0	0.584042059687645	100
chb_nea_selection	gamma_smc_frac	1000.0	14	0.0	0.475	1.0	0.1836632132364311	100
chb_nea_selection	gamma_smc_frac	1000.0	15	0.0	0.475	1.0	0.5114813669398485	100
chb_nea_selection	gamma_smc_frac	1000.0	16	0.0	0.475	1.0	0.4723596721818463	100
chb_nea_selection	gamma_smc_frac	1000.0	17	0.0	0.475	1.0	0.3258852636462038	100
chb_nea_selection	gamma_smc_frac	1000.0	18	0.0	0.475	1.0	0.5679604144116283	100
chb_nea_selection	gamma_smc_frac	1000.0	19	0.0	0.475	1.0	0.9870882944178136	100
chb_nea_selection	gamma_smc_frac	1000.0	20	0.0	0.475	1.0	0.7696381629812896	100
chb_nea_selection	gamma_smc_frac	1000.0	21	0.0	0.475	1.0	0.8194680686562549	100
chb_nea_selection	gamma_smc_frac	1000.0	22	0.01	0.975	0.0594059405940594	0.8853409618060925	100
chb_nea_selection	gamma_smc_frac	1000.0	23	0.0	0.475	1.0	0.9183160661821556	100
chb_nea_selection	gamma_smc_frac	1000.0	24	0.0	0.475	1.0	0.982024122467914	100
chb_nea_selection	gamma_smc_frac	1000.0	25	0.0	0.475	1.0	0.8854955930106696	100
chb_nea_selection	gamma_smc_frac	1000.0	26	0.0	0.475	1.0	0.7403355497139322	100
chb_nea_selection	gamma_smc_frac	1000.0	27	0.0	0.475	1.0	0.8786531622081336	100
chb_nea_selection	gamma_smc_frac	1000.0	28	0.0	0.475	1.0	0.5848925313128189	100
chb_nea_selection	gamma_smc_frac	1000.0	29	0.0	0.475	1.0	0.3212463275088913	100
chb_nea_selection	gamma_smc_frac	1000.0	30	0.0	0.475	1.0	0.811504561620535	100
chb_nea_selection	gamma_smc_frac	1000.0	31	0.0	0.475	1.0	0.3004870882944178	100
chb_nea_selection	gamma_smc_frac	1000.0	32	0.0	0.475	1.0	0.5781274161125716	100
chb_nea_selection	gamma_smc_frac	1000.0	33	0.0	0.475	1.0	0.5117519715478583	100
chb_nea_selection	gamma_smc_frac	1000.0	34	0.0	0.475	1.0	0.751430338642338	100
chb_nea_selection	gamma_smc_frac	1000.0	35	0.0	0.475	1.0	0.8346992423070976	100
chb_nea_selection	gamma_smc_frac	1000.0	36	0.0	0.475	1.0	0.5864001855574454	100
chb_nea_selection	gamma_smc_frac	1000.0	37	0.0	0.475	1.0	0.5036724911087057	100
chb_nea_selection	gamma_smc_frac	1000.0	38	0.0	0.475	1.0	0.3478042368950054	100
chb_nea_selection	gamma_smc_frac	1000.0	39	0.0	0.475	1.0	0.7315602288541828	100
chb_nea_selection	gamma_smc_frac	1000.0	40	0.0	0.475	1.0	0.9698082573063244	100
chb_nea_selection	gamma_smc_frac	1000.0	41	0.01	0.975	0.0594059405940594	0.8773774547703727	100
chb_nea_selection	gamma_smc_frac	1000.0	42	0.0	0.475	1.0	0.9688418122777176	100
chb_nea_selection	gamma_smc_frac	1000.0	43	0.0	0.475	1.0	0.9569738673264264	100
chb_nea_selection	gamma_smc_frac	1000.0	44	0.0	0.475	1.0	0.804932735426009	100
chb_nea_selection	gamma_smc_frac	1000.0	45	0.0	0.475	1.0	0.5428328436678522	100
chb_nea_selection	gamma_smc_frac	1000.0	46	0.0	0.475	1.0	0.44035101283439	100
chb_nea_selection	gamma_smc_frac	1000.0	47	0.0	0.475	1.0	0.5680377300139168	100
chb_nea_selection	gamma_smc_frac	1000.0	48	0.0	0.475	1.0	0.4885959486624401	100
chb_nea_selection	gamma_smc_frac	1000.0	49	0.0	0.475	1.0	0.7110715942477192	100
chb_nea_selection	gamma_smc_frac	1000.0	50	0.0	0.475	1.0	0.8178057832070512	100
chb_nea_selection	gamma_smc_frac	1000.0	51	0.0	0.475	1.0	0.8663213236431112	100
chb_nea_selection	gamma_smc_frac	1000.0	52	0.0	0.475	1.0	0.6150456162053503	100
chb_nea_selection	gamma_smc_frac	1000.0	53	0.01	0.975	0.0594059405940594	0.9701175197154784	100
chb_nea_selection	gamma_smc_frac	1000.0	54	0.0	0.475	1.0	0.9340497912478738	100
chb_nea_selection	gamma_smc_frac	1000.0	55	0.0	0.475	1.0	0.9662130817999072	100
