arm_id	estimator	threshold_years	n_selected	n_null	auc	power_at_alpha	median_p_value
eas_sweep_structured	gamma_smc_frac	1000.0	100	100	0.5813999999999999	0.04	0.40594059405940597
eas_sweep_structured	gamma_smc_frac	4500.0	100	100	0.7123499999999998	0.2	0.18811881188118812
eas_sweep_structured	gamma_smc_frac	10000.0	100	100	0.86495	0.46	0.09900990099009901
eas_sweep_structured	gamma_smc_frac	20000.0	100	100	0.9203	0.7	0.0297029702970297
eas_sweep_structured	gamma_smc_frac	30000.0	100	100	0.92255	0.62	0.0297029702970297
eas_sweep_structured	gamma_smc_frac	40000.0	100	100	0.8937500000000002	0.46	0.0594059405940594
eas_sweep_structured	gamma_smc_frac	50000.0	100	100	0.88205	0.43	0.06930693069306931
eas_sweep_structured	gamma_smc_meanp	1000.0	100	100	0.8007	0.28	0.12871287128712872
eas_sweep_structured	gamma_smc_meanp	4500.0	100	100	0.8763000000000001	0.47	0.0594059405940594
eas_sweep_structured	gamma_smc_meanp	10000.0	100	100	0.9010000000000001	0.59	0.0297029702970297
eas_sweep_structured	gamma_smc_meanp	20000.0	100	100	0.9042999999999998	0.54	0.019801980198019802
eas_sweep_structured	gamma_smc_meanp	30000.0	100	100	0.8952	0.55	0.039603960396039604
eas_sweep_structured	gamma_smc_meanp	40000.0	100	100	0.8835999999999999	0.47	0.06930693069306931
eas_sweep_structured	gamma_smc_meanp	50000.0	100	100	0.8722	0.42	0.07920792079207921
eas_sweep_structured	tree_truth	1000.0	100	100	0.53375	0.07	1.0
eas_sweep_structured	tree_truth	4500.0	100	100	0.5742999999999999	0.04	0.45544554455445546
eas_sweep_structured	tree_truth	10000.0	100	100	0.6941000000000002	0.14	0.33663366336633666
eas_sweep_structured	tree_truth	20000.0	100	100	0.9636999999999999	0.72	0.009900990099009901
eas_sweep_structured	tree_truth	30000.0	100	100	0.97565	0.85	0.009900990099009901
eas_sweep_structured	tree_truth	40000.0	100	100	0.95655	0.77	0.009900990099009901
eas_sweep_structured	tree_truth	50000.0	100	100	0.90065	0.66	0.039603960396039604
