arm_id	estimator	threshold_years	n_null	false_positive_rate	median_p_value
eas_sweep_structured	gamma_smc_frac	1000.0	100	0.0	1.0
eas_sweep_structured	gamma_smc_frac	4500.0	100	0.04	0.71
eas_sweep_structured	gamma_smc_frac	10000.0	100	0.02	0.53
eas_sweep_structured	gamma_smc_frac	20000.0	100	0.03	0.6
eas_sweep_structured	gamma_smc_frac	30000.0	100	0.05	0.51
eas_sweep_structured	gamma_smc_frac	40000.0	100	0.05	0.53
eas_sweep_structured	gamma_smc_frac	50000.0	100	0.05	0.51
eas_sweep_structured	gamma_smc_meanp	1000.0	100	0.05	0.505
eas_sweep_structured	gamma_smc_meanp	4500.0	100	0.05	0.505
eas_sweep_structured	gamma_smc_meanp	10000.0	100	0.05	0.505
eas_sweep_structured	gamma_smc_meanp	20000.0	100	0.05	0.505
eas_sweep_structured	gamma_smc_meanp	30000.0	100	0.05	0.505
eas_sweep_structured	gamma_smc_meanp	40000.0	100	0.05	0.505
eas_sweep_structured	gamma_smc_meanp	50000.0	100	0.05	0.505
eas_sweep_structured	tree_truth	1000.0	100	0.01	1.0
eas_sweep_structured	tree_truth	4500.0	100	0.02	0.85
eas_sweep_structured	tree_truth	10000.0	100	0.03	0.68
eas_sweep_structured	tree_truth	20000.0	100	0.05	0.61
eas_sweep_structured	tree_truth	30000.0	100	0.04	0.6
eas_sweep_structured	tree_truth	40000.0	100	0.05	0.525
eas_sweep_structured	tree_truth	50000.0	100	0.04	0.52
