arm_id	mode	replicate_index	unit_id	seed	allele_present	estimator	genotype_class	n_pairs	threshold_years	value
eas_sweep_structured	neutral	0	eas_sweep_structured__neutral__rep000	51260822	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	1	eas_sweep_structured__neutral__rep001	51260823	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	2	eas_sweep_structured__neutral__rep002	51260824	False	gamma_smc_frac	overall	100	1000.0	0.02
eas_sweep_structured	neutral	3	eas_sweep_structured__neutral__rep003	51260825	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	4	eas_sweep_structured__neutral__rep004	51260826	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	5	eas_sweep_structured__neutral__rep005	51260827	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	6	eas_sweep_structured__neutral__rep006	51260828	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	7	eas_sweep_structured__neutral__rep007	51260829	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	8	eas_sweep_structured__neutral__rep008	51260830	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	9	eas_sweep_structured__neutral__rep009	51260831	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	10	eas_sweep_structured__neutral__rep010	51260832	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	11	eas_sweep_structured__neutral__rep011	51260833	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	12	eas_sweep_structured__neutral__rep012	51260834	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	13	eas_sweep_structured__neutral__rep013	51260835	False	gamma_smc_frac	overall	100	1000.0	0.02
eas_sweep_structured	neutral	14	eas_sweep_structured__neutral__rep014	51260836	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	15	eas_sweep_structured__neutral__rep015	51260837	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	16	eas_sweep_structured__neutral__rep016	51260838	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	17	eas_sweep_structured__neutral__rep017	51260839	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	18	eas_sweep_structured__neutral__rep018	51260840	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	19	eas_sweep_structured__neutral__rep019	51260841	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	20	eas_sweep_structured__neutral__rep020	51260842	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	21	eas_sweep_structured__neutral__rep021	51260843	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	22	eas_sweep_structured__neutral__rep022	51260844	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	23	eas_sweep_structured__neutral__rep023	51260845	False	gamma_smc_frac	overall	100	1000.0	0.0
