band_low	band_high	threshold_years	n	mean_hom	mean_unconditional	q95_hom	q95_unconditional	mean_n_hom	inflation	ratio
0.25	0.35	10000.0	101	0.015349831686465351	0.005544554455445545	0.09090909090909091	0.02	11.475247524752476	0.009805277231019805	2.7684517863089293
0.25	0.35	20000.0	101	0.0777918354214219	0.025643564356435642	0.21428571428571427	0.05	11.475247524752476	0.05214827106498626	3.0335812268585376
0.25	0.35	30000.0	101	0.2756175488266344	0.08366336633663365	0.6363636363636364	0.15	11.475247524752476	0.19195418249000076	3.294363601359773
0.25	0.35	50000.0	101	0.8127830914959627	0.319009900990099	1.0	0.52	11.475247524752476	0.4937731905058637	2.547830299226947
0.25	0.35	100000.0	101	0.8801076810977801	0.4054455445544555	1.0	0.68	11.475247524752476	0.4746621365433247	2.1707173575305445
0.45	0.55	10000.0	248	0.011127794184665115	0.005201612903225806	0.05453216374268999	0.02	24.471774193548388	0.0059261812814393085	2.1392968665092624
0.45	0.55	20000.0	248	0.048903928742095724	0.02278225806451613	0.13428853754940698	0.05	24.471774193548388	0.026121670677579593	2.146579527086679
0.45	0.55	30000.0	248	0.17058559051432495	0.07560483870967742	0.3333333333333333	0.13	24.471774193548388	0.09498075180464753	2.2562787438694714
0.45	0.55	50000.0	248	0.6930844064144983	0.2839112903225806	1.0	0.41649999999999976	24.471774193548388	0.4091731160919177	2.4412005793324187
0.45	0.55	100000.0	248	0.8400396233870917	0.3521370967741935	1.0	0.5329999999999996	24.471774193548388	0.4879025266128982	2.3855470811862904
0.65	0.75	10000.0	250	0.00679116066601396	0.0047599999999999995	0.025723684210526294	0.02	48.312	0.0020311606660139607	1.4267144256331852
0.65	0.75	20000.0	250	0.03245529073754674	0.022600000000000002	0.07709951905290413	0.05	48.312	0.009855290737546735	1.4360748113958732
0.65	0.75	30000.0	250	0.11515423136473715	0.07592	0.2149177538287009	0.13	48.312	0.03923423136473715	1.5167838693985398
0.65	0.75	50000.0	250	0.5410671445352487	0.31360000000000005	1.0	0.5454999999999999	48.312	0.2274671445352487	1.725341659870053
0.65	0.75	100000.0	250	0.7027747169744322	0.40592	1.0	0.6	48.312	0.29685471697443216	1.7313133547852586
0.85	0.95	10000.0	248	0.005513181531585226	0.005161290322580645	0.024088952654232405	0.02	80.49596774193549	0.000351891209004581	1.0681789217446376
0.85	0.95	20000.0	248	0.02579404374998897	0.022661290322580647	0.0530877192982456	0.05	80.49596774193549	0.0031327534274083225	1.138242499999513
0.85	0.95	30000.0	248	0.08935878989502656	0.07584677419354838	0.16238175675675676	0.1364999999999998	80.49596774193549	0.013512015701478183	1.1781488513538856
0.85	0.95	50000.0	248	0.39640280793460386	0.32637096774193547	0.7212499999999997	0.59	80.49596774193549	0.0700318401926684	1.2145774199132908
0.85	0.95	100000.0	248	0.5276161595735958	0.4335483870967742	1.0	0.8159999999999991	80.49596774193549	0.09406777247682158	1.216971796635526
