position_0based	threshold_years	genotype_class	n_replicates	mean_statistic	median_statistic	auc_vs_neutral
0.0	1000.0	hom_carrier	99	0.0002105290859090251	0.0	0.4821407070707071
10000.0	1000.0	hom_carrier	99	0.0002105290859090251	0.0	0.4821407070707071
20000.0	1000.0	hom_carrier	99	0.0002105290859090251	0.0	0.4821407070707071
30000.0	1000.0	hom_carrier	99	0.0002105290859090251	0.0	0.4821407070707071
40000.0	1000.0	hom_carrier	99	0.0002105290859090251	0.0	0.4821407070707071
50000.0	1000.0	hom_carrier	99	0.0002105290859090251	0.0	0.4821407070707071
60000.0	1000.0	hom_carrier	99	0.0002105290859090251	0.0	0.4821407070707071
70000.0	1000.0	hom_carrier	99	0.0002105290859090251	0.0	0.4821407070707071
80000.0	1000.0	hom_carrier	99	0.0002105290859090251	0.0	0.4821407070707071
90000.0	1000.0	hom_carrier	99	0.0002105290859090251	0.0	0.4821407070707071
100000.0	1000.0	hom_carrier	99	0.0002105290859090251	0.0	0.4821407070707071
110000.0	1000.0	hom_carrier	99	0.0002105290859090251	0.0	0.4821407070707071
120000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
130000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
140000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
150000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
160000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
170000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
180000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
190000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
200000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
210000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
220000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
230000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
240000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
250000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
260000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
270000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
280000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
290000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
300000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
310000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
320000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
330000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
340000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
350000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
360000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
370000.0	1000.0	hom_carrier	99	0.0003417110352727927	0.0	0.48718707070707074
