seed	position	introgression_frequency	n_hom_introgressed	threshold_years	p_hom_introgressed	p_unconditional
20260825	425000.0	0.165	5	10000.0	0.0	0.01
20260825	425000.0	0.165	5	20000.0	0.0	0.01
20260825	425000.0	0.165	5	30000.0	0.6	0.1
20260825	425000.0	0.165	5	50000.0	1.0	0.18
20260825	425000.0	0.165	5	100000.0	1.0	0.47
20260828	5375000.0	0.34	10	10000.0	0.0	0.0
20260828	5375000.0	0.34	10	20000.0	0.0	0.01
20260828	5375000.0	0.34	10	30000.0	0.2	0.03
20260828	5375000.0	0.34	10	50000.0	0.9	0.29
20260828	5375000.0	0.34	10	100000.0	0.9	0.48
20260828	5425000.0	0.29	7	10000.0	0.0	0.0
20260828	5425000.0	0.29	7	20000.0	0.0	0.01
20260828	5425000.0	0.29	7	30000.0	0.14285714285714285	0.04
20260828	5425000.0	0.29	7	50000.0	1.0	0.26
20260828	5425000.0	0.29	7	100000.0	1.0	0.49
20260828	5475000.0	0.33	10	10000.0	0.0	0.0
20260828	5475000.0	0.33	10	20000.0	0.1	0.02
20260828	5475000.0	0.33	10	30000.0	0.1	0.05
20260828	5475000.0	0.33	10	50000.0	0.8	0.26
20260828	5475000.0	0.33	10	100000.0	0.8	0.26
20260828	5525000.0	0.475	23	10000.0	0.0	0.0
20260828	5525000.0	0.475	23	20000.0	0.08695652173913043	0.02
20260828	5525000.0	0.475	23	30000.0	0.17391304347826086	0.04
20260828	5525000.0	0.475	23	50000.0	0.9130434782608695	0.24
20260828	5525000.0	0.475	23	100000.0	0.9130434782608695	0.29
20260828	5575000.0	0.58	30	10000.0	0.0	0.0
20260828	5575000.0	0.58	30	20000.0	0.1	0.03
20260828	5575000.0	0.58	30	30000.0	0.13333333333333333	0.04
20260828	5575000.0	0.58	30	50000.0	0.9666666666666667	0.31
20260828	5575000.0	0.58	30	100000.0	1.0	0.32
20260828	5625000.0	0.55	26	10000.0	0.0	0.0
20260828	5625000.0	0.55	26	20000.0	0.07692307692307693	0.02
20260828	5625000.0	0.55	26	30000.0	0.11538461538461539	0.04
20260828	5625000.0	0.55	26	50000.0	1.0	0.29
20260828	5625000.0	0.55	26	100000.0	1.0	0.33
20260828	5675000.0	0.53	23	10000.0	0.043478260869565216	0.01
20260828	5675000.0	0.53	23	20000.0	0.08695652173913043	0.02
20260828	5675000.0	0.53	23	30000.0	0.13043478260869565	0.03
20260828	5675000.0	0.53	23	50000.0	0.9565217391304348	0.27
20260828	5675000.0	0.53	23	100000.0	0.9565217391304348	0.28
20260828	5725000.0	0.515	27	10000.0	0.0	0.01
20260828	5725000.0	0.515	27	20000.0	0.0	0.02
20260828	5725000.0	0.515	27	30000.0	0.07407407407407407	0.04
20260828	5725000.0	0.515	27	50000.0	0.9259259259259259	0.33
20260828	5725000.0	0.515	27	100000.0	0.9259259259259259	0.38
20260828	5775000.0	0.28	7	10000.0	0.14285714285714285	0.01
20260828	5775000.0	0.28	7	20000.0	0.14285714285714285	0.01
20260828	5775000.0	0.28	7	30000.0	0.14285714285714285	0.06
20260828	5775000.0	0.28	7	50000.0	0.8571428571428571	0.25
20260828	5775000.0	0.28	7	100000.0	0.8571428571428571	0.36
20260831	1525000.0	0.22	6	10000.0	0.0	0.0
20260831	1525000.0	0.22	6	20000.0	0.16666666666666666	0.02
20260831	1525000.0	0.22	6	30000.0	1.0	0.11
20260831	1525000.0	0.22	6	50000.0	1.0	0.29
20260831	1525000.0	0.22	6	100000.0	1.0	0.35
20260831	1575000.0	0.2	7	10000.0	0.0	0.0
20260831	1575000.0	0.2	7	20000.0	0.14285714285714285	0.01
20260831	1575000.0	0.2	7	30000.0	1.0	0.11
20260831	1575000.0	0.2	7	50000.0	1.0	0.29
20260831	1575000.0	0.2	7	100000.0	1.0	0.4
20260831	1625000.0	0.18	5	10000.0	0.0	0.0
20260831	1625000.0	0.18	5	20000.0	0.4	0.03
20260831	1625000.0	0.18	5	30000.0	1.0	0.09
20260831	1625000.0	0.18	5	50000.0	1.0	0.2
20260831	1625000.0	0.18	5	100000.0	1.0	0.31
20260831	4375000.0	0.48	21	10000.0	0.0	0.0
20260831	4375000.0	0.48	21	20000.0	0.0	0.0
20260831	4375000.0	0.48	21	30000.0	0.047619047619047616	0.02
20260831	4375000.0	0.48	21	50000.0	1.0	0.25
20260831	4375000.0	0.48	21	100000.0	1.0	0.25
20260831	4425000.0	0.295	6	10000.0	0.0	0.0
20260831	4425000.0	0.295	6	20000.0	0.16666666666666666	0.01
20260831	4425000.0	0.295	6	30000.0	0.5	0.07
20260831	4425000.0	0.295	6	50000.0	1.0	0.15
20260831	4425000.0	0.295	6	100000.0	1.0	0.15
