threshold_years	null	n_replicates	median_null_size	mean_null	mean_observed	power	median_p
10000.0	chb_unconditional	92	100000.0	0.005083883707220461	0.009899812796896284	0.043478260869565216	1.0
10000.0	eas_unconditional	92	100000.0	0.007719459302986892	0.009899812796896284	0.021739130434782608	1.0
10000.0	introgressed_hom_matched	92	125.0	0.004602138585581721	0.009899812796896284	0.15217391304347827	1.0
10000.0	snp_hom_matched	92	367.0	0.010503860165294756	0.009899812796896284	0.05434782608695652	1.0
20000.0	chb_unconditional	92	100000.0	0.02240545694809457	0.15550422618158163	0.6739130434782609	0.004099959000409996
20000.0	eas_unconditional	92	100000.0	0.045862054369784175	0.15550422618158163	0.43478260869565216	0.1032839671603284
20000.0	introgressed_hom_matched	92	125.0	0.031228888849114546	0.15550422618158163	0.5760869565217391	0.015873015873015872
20000.0	snp_hom_matched	92	367.0	0.06571042761918026	0.15550422618158163	0.3804347826086957	0.14945652173913043
30000.0	chb_unconditional	92	100000.0	0.07674783440773396	0.6547353960693402	0.9347826086956522	9.99990000099999e-06
30000.0	eas_unconditional	92	100000.0	0.0999987739541627	0.6547353960693402	0.8804347826086957	9.99990000099999e-06
30000.0	introgressed_hom_matched	92	125.0	0.12850551885033043	0.6547353960693402	0.8152173913043478	0.007936507936507936
30000.0	snp_hom_matched	92	367.0	0.15154089168466883	0.6547353960693402	0.7934782608695652	0.004048582995951417
50000.0	chb_unconditional	92	100000.0	0.31249390192271476	0.9222007205330693	0.9130434782608695	0.0004199958000419996
50000.0	eas_unconditional	92	100000.0	0.20444843880487887	0.9222007205330693	0.9891304347826086	9.99990000099999e-06
50000.0	introgressed_hom_matched	92	125.0	0.847368528450969	0.9222007205330693	0.0	0.5324675324675324
50000.0	snp_hom_matched	92	367.0	0.32588251453381983	0.9222007205330693	0.8369565217391305	0.005434782608695652
