replicate_index	sample_frequency	n_hom_pairs	threshold_years	observed	frequency_bin
0	0.63	42	10000.0	0.0	[0.5, 0.7)
0	0.63	42	20000.0	0.14285714285714285	[0.5, 0.7)
0	0.63	42	30000.0	0.5476190476190477	[0.5, 0.7)
0	0.63	42	50000.0	1.0	[0.5, 0.7)
1	0.77	57	10000.0	0.017543859649122806	[0.7, 1.01)
1	0.77	57	20000.0	0.14035087719298245	[0.7, 1.01)
1	0.77	57	30000.0	1.0	[0.7, 1.01)
1	0.77	57	50000.0	1.0	[0.7, 1.01)
2	0.53	29	10000.0	0.0	[0.5, 0.7)
2	0.53	29	20000.0	0.27586206896551724	[0.5, 0.7)
2	0.53	29	30000.0	1.0	[0.5, 0.7)
2	0.53	29	50000.0	1.0	[0.5, 0.7)
3	0.51	27	10000.0	0.037037037037037035	[0.5, 0.7)
3	0.51	27	20000.0	0.2222222222222222	[0.5, 0.7)
3	0.51	27	30000.0	0.6666666666666666	[0.5, 0.7)
3	0.51	27	50000.0	0.6666666666666666	[0.5, 0.7)
4	0.495	23	10000.0	0.0	[0.35, 0.5)
4	0.495	23	20000.0	0.2608695652173913	[0.35, 0.5)
4	0.495	23	30000.0	1.0	[0.35, 0.5)
4	0.495	23	50000.0	1.0	[0.35, 0.5)
5	1.0	100	10000.0	0.01	[0.7, 1.01)
5	1.0	100	20000.0	0.03	[0.7, 1.01)
5	1.0	100	30000.0	0.08	[0.7, 1.01)
5	1.0	100	50000.0	0.85	[0.7, 1.01)
6	0.65	45	10000.0	0.044444444444444446	[0.5, 0.7)
6	0.65	45	20000.0	0.2222222222222222	[0.5, 0.7)
6	0.65	45	30000.0	1.0	[0.5, 0.7)
6	0.65	45	50000.0	1.0	[0.5, 0.7)
7	0.7	51	10000.0	0.0196078431372549	[0.7, 1.01)
7	0.7	51	20000.0	0.09803921568627451	[0.7, 1.01)
7	0.7	51	30000.0	1.0	[0.7, 1.01)
7	0.7	51	50000.0	1.0	[0.7, 1.01)
8	0.525	35	10000.0	0.02857142857142857	[0.5, 0.7)
8	0.525	35	20000.0	0.08571428571428572	[0.5, 0.7)
8	0.525	35	30000.0	1.0	[0.5, 0.7)
8	0.525	35	50000.0	1.0	[0.5, 0.7)
9	0.89	79	10000.0	0.0	[0.7, 1.01)
9	0.89	79	20000.0	0.02531645569620253	[0.7, 1.01)
9	0.89	79	30000.0	0.3037974683544304	[0.7, 1.01)
9	0.89	79	50000.0	1.0	[0.7, 1.01)
10	0.935	87	10000.0	0.011494252873563218	[0.7, 1.01)
10	0.935	87	20000.0	0.011494252873563218	[0.7, 1.01)
10	0.935	87	30000.0	0.3563218390804598	[0.7, 1.01)
10	0.935	87	50000.0	0.6436781609195402	[0.7, 1.01)
11	0.705	50	10000.0	0.04	[0.7, 1.01)
11	0.705	50	20000.0	0.12	[0.7, 1.01)
11	0.705	50	30000.0	0.92	[0.7, 1.01)
11	0.705	50	50000.0	0.92	[0.7, 1.01)
13	0.5	22	10000.0	0.045454545454545456	[0.5, 0.7)
13	0.5	22	20000.0	0.09090909090909091	[0.5, 0.7)
13	0.5	22	30000.0	0.9090909090909091	[0.5, 0.7)
13	0.5	22	50000.0	1.0	[0.5, 0.7)
14	0.84	73	10000.0	0.0	[0.7, 1.01)
14	0.84	73	20000.0	0.0410958904109589	[0.7, 1.01)
14	0.84	73	30000.0	0.3972602739726027	[0.7, 1.01)
14	0.84	73	50000.0	0.4520547945205479	[0.7, 1.01)
15	0.935	88	10000.0	0.0	[0.7, 1.01)
15	0.935	88	20000.0	0.022727272727272728	[0.7, 1.01)
15	0.935	88	30000.0	0.26136363636363635	[0.7, 1.01)
15	0.935	88	50000.0	1.0	[0.7, 1.01)
16	0.915	84	10000.0	0.011904761904761904	[0.7, 1.01)
16	0.915	84	20000.0	0.08333333333333333	[0.7, 1.01)
16	0.915	84	30000.0	0.5476190476190477	[0.7, 1.01)
16	0.915	84	50000.0	1.0	[0.7, 1.01)
18	0.855	75	10000.0	0.0	[0.7, 1.01)
18	0.855	75	20000.0	0.06666666666666667	[0.7, 1.01)
18	0.855	75	30000.0	0.44	[0.7, 1.01)
18	0.855	75	50000.0	1.0	[0.7, 1.01)
19	0.71	51	10000.0	0.0196078431372549	[0.7, 1.01)
19	0.71	51	20000.0	0.11764705882352941	[0.7, 1.01)
19	0.71	51	30000.0	1.0	[0.7, 1.01)
19	0.71	51	50000.0	1.0	[0.7, 1.01)
20	0.655	41	10000.0	0.0	[0.5, 0.7)
20	0.655	41	20000.0	0.2926829268292683	[0.5, 0.7)
20	0.655	41	30000.0	1.0	[0.5, 0.7)
20	0.655	41	50000.0	1.0	[0.5, 0.7)
21	0.96	92	10000.0	0.0	[0.7, 1.01)
21	0.96	92	20000.0	0.03260869565217391	[0.7, 1.01)
21	0.96	92	30000.0	0.14130434782608695	[0.7, 1.01)
21	0.96	92	50000.0	1.0	[0.7, 1.01)
22	0.455	19	10000.0	0.0	[0.35, 0.5)
22	0.455	19	20000.0	0.42105263157894735	[0.35, 0.5)
22	0.455	19	30000.0	0.47368421052631576	[0.35, 0.5)
22	0.455	19	50000.0	0.47368421052631576	[0.35, 0.5)
23	0.9	80	10000.0	0.0	[0.7, 1.01)
23	0.9	80	20000.0	0.075	[0.7, 1.01)
23	0.9	80	30000.0	0.8625	[0.7, 1.01)
23	0.9	80	50000.0	0.8625	[0.7, 1.01)
24	0.68	48	10000.0	0.0	[0.5, 0.7)
24	0.68	48	20000.0	0.10416666666666667	[0.5, 0.7)
24	0.68	48	30000.0	1.0	[0.5, 0.7)
24	0.68	48	50000.0	1.0	[0.5, 0.7)
25	0.935	87	10000.0	0.0	[0.7, 1.01)
25	0.935	87	20000.0	0.022988505747126436	[0.7, 1.01)
25	0.935	87	30000.0	0.42528735632183906	[0.7, 1.01)
25	0.935	87	50000.0	0.9885057471264368	[0.7, 1.01)
26	0.555	30	10000.0	0.0	[0.5, 0.7)
26	0.555	30	20000.0	0.3	[0.5, 0.7)
26	0.555	30	30000.0	1.0	[0.5, 0.7)
26	0.555	30	50000.0	1.0	[0.5, 0.7)
27	0.485	20	10000.0	0.0	[0.35, 0.5)
27	0.485	20	20000.0	0.45	[0.35, 0.5)
27	0.485	20	30000.0	0.7	[0.35, 0.5)
27	0.485	20	50000.0	0.7	[0.35, 0.5)
28	0.735	54	10000.0	0.0	[0.7, 1.01)
28	0.735	54	20000.0	0.16666666666666666	[0.7, 1.01)
28	0.735	54	30000.0	1.0	[0.7, 1.01)
28	0.735	54	50000.0	1.0	[0.7, 1.01)
29	0.49	25	10000.0	0.04	[0.35, 0.5)
29	0.49	25	20000.0	0.36	[0.35, 0.5)
29	0.49	25	30000.0	0.76	[0.35, 0.5)
29	0.49	25	50000.0	0.76	[0.35, 0.5)
30	0.62	39	10000.0	0.0	[0.5, 0.7)
30	0.62	39	20000.0	0.28205128205128205	[0.5, 0.7)
30	0.62	39	30000.0	0.8461538461538461	[0.5, 0.7)
30	0.62	39	50000.0	1.0	[0.5, 0.7)
31	0.74	56	10000.0	0.0	[0.7, 1.01)
31	0.74	56	20000.0	0.30357142857142855	[0.7, 1.01)
31	0.74	56	30000.0	1.0	[0.7, 1.01)
31	0.74	56	50000.0	1.0	[0.7, 1.01)
32	0.41	16	10000.0	0.0	[0.35, 0.5)
32	0.41	16	20000.0	0.4375	[0.35, 0.5)
32	0.41	16	30000.0	1.0	[0.35, 0.5)
32	0.41	16	50000.0	1.0	[0.35, 0.5)
33	0.56	30	10000.0	0.03333333333333333	[0.5, 0.7)
33	0.56	30	20000.0	0.26666666666666666	[0.5, 0.7)
33	0.56	30	30000.0	1.0	[0.5, 0.7)
33	0.56	30	50000.0	1.0	[0.5, 0.7)
34	0.57	37	10000.0	0.02702702702702703	[0.5, 0.7)
34	0.57	37	20000.0	0.35135135135135137	[0.5, 0.7)
34	0.57	37	30000.0	1.0	[0.5, 0.7)
