arm	statistic	null	threshold_years	n	null_mean	observed_mean	power
chb_from_introgression	hom_carrier	eas_simulated	10000.0	92	0.007719971076548953	0.009899812796896284	0.021739130434782608
chb_from_introgression	hom_carrier	eas_simulated	20000.0	92	0.045867474718983926	0.15550422618158163	0.43478260869565216
chb_from_introgression	hom_carrier	eas_simulated	30000.0	92	0.09998862255231082	0.6547353960693402	0.8804347826086957
chb_from_introgression	hom_carrier	eas_simulated	50000.0	92	0.20443795081981553	0.9222007205330693	0.9891304347826086
chb_from_introgression	hom_carrier	own_demography	10000.0	92	0.0050805456958693245	0.009899812796896284	0.043478260869565216
chb_from_introgression	hom_carrier	own_demography	20000.0	92	0.022403694639849682	0.15550422618158163	0.6739130434782609
chb_from_introgression	hom_carrier	own_demography	30000.0	92	0.07673061801110853	0.6547353960693402	0.9347826086956522
chb_from_introgression	hom_carrier	own_demography	50000.0	92	0.3125272206586241	0.9222007205330693	0.9130434782608695
chb_from_introgression	unconditional	eas_simulated	10000.0	100	0.007723199999999999	0.0062	0.0
chb_from_introgression	unconditional	eas_simulated	20000.0	100	0.04587220000000001	0.0626	0.16
chb_from_introgression	unconditional	eas_simulated	30000.0	100	0.09999740000000001	0.3248	0.73
chb_from_introgression	unconditional	eas_simulated	50000.0	100	0.20444449999999997	0.5725	0.76
chb_from_introgression	unconditional	own_demography	10000.0	100	0.005082099999999999	0.0062	0.0
chb_from_introgression	unconditional	own_demography	20000.0	100	0.0223988	0.0626	0.48
chb_from_introgression	unconditional	own_demography	30000.0	100	0.0767372	0.3248	0.82
chb_from_introgression	unconditional	own_demography	50000.0	100	0.3125234	0.5725	0.52
eas_standing	hom_carrier	eas_simulated	10000.0	99	0.00772272408811767	0.010209871831938661	0.06060606060606061
eas_standing	hom_carrier	eas_simulated	20000.0	99	0.04587271864014231	0.13037335891991425	0.41414141414141414
eas_standing	hom_carrier	eas_simulated	30000.0	99	0.10000275504911961	0.47589235732128354	0.9090909090909091
eas_standing	hom_carrier	eas_simulated	50000.0	99	0.20442730667448905	0.8073746132122905	0.9797979797979798
eas_standing	hom_carrier	own_demography	10000.0	99	0.007724356272807809	0.010209871831938661	0.06060606060606061
eas_standing	hom_carrier	own_demography	20000.0	99	0.0458674064286721	0.13037335891991425	0.40404040404040403
eas_standing	hom_carrier	own_demography	30000.0	99	0.09999288295689607	0.47589235732128354	0.9090909090909091
eas_standing	hom_carrier	own_demography	50000.0	99	0.20445366326590567	0.8073746132122905	0.9797979797979798
eas_standing	unconditional	eas_simulated	10000.0	100	0.007723199999999999	0.0085	0.06
eas_standing	unconditional	eas_simulated	20000.0	100	0.04587220000000001	0.095	0.33
eas_standing	unconditional	eas_simulated	30000.0	100	0.09999740000000001	0.3822	0.85
eas_standing	unconditional	eas_simulated	50000.0	100	0.20444449999999997	0.6957	0.96
eas_standing	unconditional	own_demography	10000.0	100	0.007723199999999999	0.0085	0.06
eas_standing	unconditional	own_demography	20000.0	100	0.04587220000000001	0.095	0.33
eas_standing	unconditional	own_demography	30000.0	100	0.09999740000000001	0.3822	0.85
eas_standing	unconditional	own_demography	50000.0	100	0.20444449999999997	0.6957	0.96
