arm	arm_id	replicate_index	sample_af	threshold_years	statistic	null_mean	percentile	p_value
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	500.0	0.0	4.3560606060606055e-05	0.49928125	1.0
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	1000.0	0.0	0.0003609848484848484	0.49404375	1.0
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	2000.0	0.0	0.0010037878787878787	0.48365625	1.0
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	3000.0	0.06060606060606061	0.0014981060606060605	0.99941875	0.0011624854689316383
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	5000.0	1.0	0.0026837121212121206	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	7500.0	1.0	0.0040174242424242425	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	10000.0	1.0	0.007387499999999998	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	15000.0	1.0	0.02346931818181818	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	20000.0	1.0	0.045890151515151516	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	30000.0	1.0	0.10045189393939395	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	0	0.56	50000.0	1.0	0.2031655303030303	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	500.0	0.0	4.274193548387096e-05	0.4993375	1.0
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	1000.0	0.0	0.0003516129032258064	0.49455	1.0
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	2000.0	0.0	0.0010076612903225804	0.48460625	1.0
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	3000.0	0.0	0.0014879032258064515	0.47735	1.0
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	5000.0	1.0	0.0026604838709677415	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	7500.0	1.0	0.004054435483870966	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	10000.0	1.0	0.007337096774193547	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	15000.0	1.0	0.023423387096774193	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	20000.0	1.0	0.04565483870967742	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	30000.0	1.0	0.10040806451612902	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	1	0.585	50000.0	1.0	0.20307661290322582	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	2	0.325	500.0	0.0	4.017857142857142e-05	0.49971875	1.0
recent 5 kya, s=0.1	recent5k_s0p1	2	0.325	1000.0	0.07142857142857142	0.0003660714285714285	0.9974375	0.005137435782052725
recent 5 kya, s=0.1	recent5k_s0p1	2	0.325	2000.0	0.07142857142857142	0.0009910714285714284	0.9930625000000001	0.013837327033412082
recent 5 kya, s=0.1	recent5k_s0p1	2	0.325	3000.0	0.07142857142857142	0.0014839285714285707	0.9896125	0.020624742190722616
recent 5 kya, s=0.1	recent5k_s0p1	2	0.325	5000.0	1.0	0.002687499999999999	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	2	0.325	7500.0	1.0	0.003989285714285713	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	2	0.325	10000.0	1.0	0.00744910714285714	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	2	0.325	15000.0	1.0	0.023495535714285705	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	2	0.325	20000.0	1.0	0.045841964285714264	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	2	0.325	30000.0	1.0	0.10039017857142853	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	2	0.325	50000.0	1.0	0.20284374999999996	0.99999375	2.49996875039062e-05
recent 5 kya, s=0.1	recent5k_s0p1	4	0.805	500.0	0.0	4.057692307692308e-05	0.49868125	1.0
recent 5 kya, s=0.1	recent5k_s0p1	4	0.805	1000.0	0.0	0.00034423076923076925	0.4888125	1.0
recent 5 kya, s=0.1	recent5k_s0p1	4	0.805	2000.0	0.0	0.0009946153846153848	0.46859375	1.0
recent 5 kya, s=0.1	recent5k_s0p1	4	0.805	3000.0	0.0	0.0014813461538461538	0.45403125	1.0
recent 5 kya, s=0.1	recent5k_s0p1	4	0.805	5000.0	0.47692307692307695	0.0026996153846153854	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	4	0.805	7500.0	1.0	0.0040455769230769234	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	4	0.805	10000.0	1.0	0.007361923076923078	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	4	0.805	15000.0	1.0	0.023391538461538464	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	4	0.805	20000.0	1.0	0.045919615384615385	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	4	0.805	30000.0	1.0	0.10041057692307692	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	4	0.805	50000.0	1.0	0.20330653846153846	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	5	0.62	500.0	0.0	4.127906976744185e-05	0.4991125	1.0
recent 5 kya, s=0.1	recent5k_s0p1	5	0.62	1000.0	0.0	0.000352906976744186	0.4924125	1.0
recent 5 kya, s=0.1	recent5k_s0p1	5	0.62	2000.0	0.023255813953488372	0.0010148255813953488	0.97818125	0.042861964225447184
recent 5 kya, s=0.1	recent5k_s0p1	5	0.62	3000.0	0.09302325581395349	0.0014749999999999997	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	5	0.62	5000.0	1.0	0.002668895348837209	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	5	0.62	7500.0	1.0	0.004020930232558139	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	5	0.62	10000.0	1.0	0.00726656976744186	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	5	0.62	15000.0	1.0	0.02337325581395349	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	5	0.62	20000.0	1.0	0.04588255813953489	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	5	0.62	30000.0	1.0	0.1004950581395349	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	5	0.62	50000.0	1.0	0.2031119186046512	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	9	0.615	500.0	0.0	4.2499999999999996e-05	0.49915	1.0
recent 5 kya, s=0.1	recent5k_s0p1	9	0.615	1000.0	0.0	0.00035812499999999994	0.4928375	1.0
recent 5 kya, s=0.1	recent5k_s0p1	9	0.615	2000.0	0.0	0.000985625	0.48058125	1.0
recent 5 kya, s=0.1	recent5k_s0p1	9	0.615	3000.0	0.075	0.0014734374999999997	0.99999375	2.49996875039062e-05
recent 5 kya, s=0.1	recent5k_s0p1	9	0.615	5000.0	0.675	0.0026968749999999996	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	9	0.615	7500.0	1.0	0.0040090625	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	9	0.615	10000.0	1.0	0.007290937499999998	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	9	0.615	15000.0	1.0	0.023525624999999998	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	9	0.615	20000.0	1.0	0.0460559375	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	9	0.615	30000.0	1.0	0.10037124999999998	1.0	1.24998437519531e-05
recent 5 kya, s=0.1	recent5k_s0p1	9	0.615	50000.0	1.0	0.2031603125	1.0	1.24998437519531e-05
