arm	threshold_years	n	mean_af	observed	null	auc	power
de novo 55 kya, s=0.05	500.0	20	1.0	0.0	4.1874999999999995e-05	0.49790624999999994	0.0
de novo 55 kya, s=0.05	1000.0	20	1.0	0.0	0.00034862500000000003	0.48256875	0.0
de novo 55 kya, s=0.05	2000.0	20	1.0	0.0005	0.000993375	0.47746875	0.0
de novo 55 kya, s=0.05	3000.0	20	1.0	0.0015	0.001476625	0.506055	0.0
de novo 55 kya, s=0.05	5000.0	20	1.0	0.004	0.002681	0.560694375	0.05
de novo 55 kya, s=0.05	7500.0	20	1.0	0.0045	0.004046	0.51677625	0.0
de novo 55 kya, s=0.05	10000.0	20	1.0	0.007000000000000001	0.007332625000000001	0.49038343749999996	0.05
de novo 55 kya, s=0.05	15000.0	20	1.0	0.020499999999999997	0.02339975	0.4472534375	0.0
de novo 55 kya, s=0.05	20000.0	20	1.0	0.0445	0.045883375000000004	0.47414093749999997	0.05
de novo 55 kya, s=0.05	30000.0	20	1.0	0.094	0.10039962499999999	0.45302718749999993	0.05
de novo 55 kya, s=0.05	50000.0	20	1.0	0.22000000000000003	0.203113625	0.5456496875	0.15
introgressed 55 kya, s=0.003	500.0	59	0.6471186440677966	0.00023218017181332712	4.2707562475283604e-05	0.5075305084745763	0.01694915254237288
introgressed 55 kya, s=0.003	1000.0	59	0.6471186440677966	0.0014428339248399615	0.00034689163475555454	0.509130190677966	0.03389830508474576
introgressed 55 kya, s=0.003	2000.0	59	0.6471186440677966	0.003625315194253981	0.0009887769308990645	0.5206915254237289	0.05084745762711865
introgressed 55 kya, s=0.003	3000.0	59	0.6471186440677966	0.004866463544076309	0.0014759781359413816	0.5443736228813559	0.06779661016949153
introgressed 55 kya, s=0.003	5000.0	59	0.6471186440677966	0.006772342814326326	0.0026931146263871842	0.5544670550847458	0.05084745762711865
introgressed 55 kya, s=0.003	7500.0	59	0.6471186440677966	0.009060199078898048	0.004038648205002337	0.568280720338983	0.06779661016949153
introgressed 55 kya, s=0.003	10000.0	59	0.6471186440677966	0.016455741606097748	0.0073373899147698715	0.6038907838983051	0.06779661016949153
introgressed 55 kya, s=0.003	15000.0	59	0.6471186440677966	0.05250714041755987	0.02341354970942872	0.6789076271186442	0.15254237288135594
introgressed 55 kya, s=0.003	20000.0	59	0.6471186440677966	0.11670009824213405	0.04588890451240893	0.7723559322033898	0.3389830508474576
introgressed 55 kya, s=0.003	30000.0	59	0.6471186440677966	0.3367269233526936	0.10037827517908736	0.9322972457627119	0.7457627118644068
introgressed 55 kya, s=0.003	50000.0	59	0.6471186440677966	0.8125644667416302	0.20307837468876683	0.9944147245762711	0.9322033898305084
recent 5 kya, s=0.1	500.0	12	0.5766666666666667	0.0024509803921568627	4.0745140081734336e-05	0.54094375	0.08333333333333333
recent 5 kya, s=0.1	1000.0	12	0.5766666666666667	0.010854341736694676	0.0003505993108482172	0.6188161458333333	0.25
recent 5 kya, s=0.1	2000.0	12	0.5766666666666667	0.015570104010596485	0.001003697981614908	0.6907963541666667	0.4166666666666667
recent 5 kya, s=0.1	3000.0	12	0.5766666666666667	0.04771724228803572	0.0014801129582179449	0.8225656250000001	0.6666666666666666
recent 5 kya, s=0.1	5000.0	12	0.5766666666666667	0.8852092760180996	0.002697276894892029	1.0	1.0
recent 5 kya, s=0.1	7500.0	12	0.5766666666666667	1.0	0.004030842815752203	1.0	1.0
recent 5 kya, s=0.1	10000.0	12	0.5766666666666667	1.0	0.007306609568080932	1.0	1.0
recent 5 kya, s=0.1	15000.0	12	0.5766666666666667	1.0	0.023442686558311884	1.0	1.0
recent 5 kya, s=0.1	20000.0	12	0.5766666666666667	1.0	0.045881876035843185	1.0	1.0
recent 5 kya, s=0.1	30000.0	12	0.5766666666666667	1.0	0.10038501157663572	1.0	1.0
recent 5 kya, s=0.1	50000.0	12	0.5766666666666667	1.0	0.20302311051426156	0.9999994791666666	1.0
