arm	arm_id	replicate_index	sample_af	threshold_years	statistic	null_mean	percentile	p_value
recent 5 kya, s=0.05	recent5k_s0p05	0	0.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	0	0.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	0	0.0	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	0	0.0	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	0	0.0	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	0	0.0	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	0	0.0	10000.0	0.01	0.007332625000000001	0.65925	0.5144685691428857
recent 5 kya, s=0.05	recent5k_s0p05	0	0.0	15000.0	0.02	0.02339975	0.4556125	0.6759665504181198
recent 5 kya, s=0.05	recent5k_s0p05	0	0.0	20000.0	0.07	0.045883375000000004	0.8548250000000001	0.1878476519043512
recent 5 kya, s=0.05	recent5k_s0p05	0	0.0	30000.0	0.13	0.10039962499999999	0.802075	0.22988462644216948
recent 5 kya, s=0.05	recent5k_s0p05	0	0.0	50000.0	0.18	0.203113625	0.42836875	0.6027674654066825
recent 5 kya, s=0.05	recent5k_s0p05	1	0.035	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	1	0.035	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	1	0.035	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	1	0.035	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	1	0.035	5000.0	0.01	0.002681	0.8691	0.2277971525355933
recent 5 kya, s=0.05	recent5k_s0p05	1	0.035	7500.0	0.01	0.004046	0.804	0.3238084523943451
recent 5 kya, s=0.05	recent5k_s0p05	1	0.035	10000.0	0.01	0.007332625000000001	0.65925	0.5144685691428857
recent 5 kya, s=0.05	recent5k_s0p05	1	0.035	15000.0	0.01	0.02339975	0.209875	0.904288696391295
recent 5 kya, s=0.05	recent5k_s0p05	1	0.035	20000.0	0.07	0.045883375000000004	0.8548250000000001	0.1878476519043512
recent 5 kya, s=0.05	recent5k_s0p05	1	0.035	30000.0	0.09	0.10039962499999999	0.42465625	0.6320420994737566
recent 5 kya, s=0.05	recent5k_s0p05	1	0.035	50000.0	0.55	0.203113625	0.9979	0.002237472031599605
recent 5 kya, s=0.05	recent5k_s0p05	2	0.005	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	2	0.005	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	2	0.005	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	2	0.005	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	2	0.005	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	2	0.005	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	2	0.005	10000.0	0.0	0.007332625000000001	0.24276875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	2	0.005	15000.0	0.03	0.02339975	0.6895249999999999	0.4128198397520031
recent 5 kya, s=0.05	recent5k_s0p05	2	0.005	20000.0	0.09	0.045883375000000004	0.96375	0.04986187672654092
recent 5 kya, s=0.05	recent5k_s0p05	2	0.005	30000.0	0.19	0.10039962499999999	0.9781500000000001	0.026187172660341745
recent 5 kya, s=0.05	recent5k_s0p05	2	0.005	50000.0	0.22	0.203113625	0.6531687500000001	0.3714453569330383
recent 5 kya, s=0.05	recent5k_s0p05	3	0.015	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	3	0.015	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	3	0.015	2000.0	0.01	0.000993375	0.95033125	0.09484881438982012
recent 5 kya, s=0.05	recent5k_s0p05	3	0.015	3000.0	0.01	0.001476625	0.92623125	0.136198297521281
recent 5 kya, s=0.05	recent5k_s0p05	3	0.015	5000.0	0.02	0.002681	0.97990625	0.03402457469281634
recent 5 kya, s=0.05	recent5k_s0p05	3	0.015	7500.0	0.02	0.004046	0.9601124999999999	0.06821164735440807
recent 5 kya, s=0.05	recent5k_s0p05	3	0.015	10000.0	0.02	0.007332625000000001	0.8952187500000001	0.16704791190110124
recent 5 kya, s=0.05	recent5k_s0p05	3	0.015	15000.0	0.05	0.02339975	0.93789375	0.09099886251421857
recent 5 kya, s=0.05	recent5k_s0p05	3	0.015	20000.0	0.07	0.045883375000000004	0.8548250000000001	0.1878476519043512
recent 5 kya, s=0.05	recent5k_s0p05	3	0.015	30000.0	0.09	0.10039962499999999	0.42465625	0.6320420994737566
recent 5 kya, s=0.05	recent5k_s0p05	3	0.015	50000.0	0.14	0.203113625	0.1895	0.8363770452869339
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	7500.0	0.0	0.004046	0.3381	1.0
