arm	threshold_years	n	mean_af	observed	null	auc	power
de novo 55 kya, s=0.05	500.0	20	1.0	0.0	4.1874999999999995e-05	0.49790624999999994	0.0
de novo 55 kya, s=0.05	1000.0	20	1.0	0.0	0.00034862500000000003	0.48256875	0.0
de novo 55 kya, s=0.05	2000.0	20	1.0	0.0005	0.000993375	0.47746875	0.0
de novo 55 kya, s=0.05	3000.0	20	1.0	0.0015	0.001476625	0.506055	0.0
de novo 55 kya, s=0.05	5000.0	20	1.0	0.004	0.002681	0.560694375	0.05
de novo 55 kya, s=0.05	7500.0	20	1.0	0.0045	0.004046	0.51677625	0.0
de novo 55 kya, s=0.05	10000.0	20	1.0	0.007000000000000001	0.007332625000000001	0.49038343749999996	0.05
de novo 55 kya, s=0.05	15000.0	20	1.0	0.020499999999999997	0.02339975	0.4472534375	0.0
de novo 55 kya, s=0.05	20000.0	20	1.0	0.0445	0.045883375000000004	0.47414093749999997	0.05
de novo 55 kya, s=0.05	30000.0	20	1.0	0.094	0.10039962499999999	0.45302718749999993	0.05
de novo 55 kya, s=0.05	50000.0	20	1.0	0.22000000000000003	0.203113625	0.5456496875	0.15
introgressed 55 kya, s=0.003	500.0	80	0.516625	0.000125	4.1874999999999995e-05	0.50415625	0.0125
introgressed 55 kya, s=0.003	1000.0	80	0.516625	0.00025	0.00034862500000000003	0.49506875	0.025
introgressed 55 kya, s=0.003	2000.0	80	0.516625	0.001125	0.000993375	0.5029489843749999	0.0125
introgressed 55 kya, s=0.003	3000.0	80	0.516625	0.0017500000000000003	0.001476625	0.5130844531250001	0.0125
introgressed 55 kya, s=0.003	5000.0	80	0.516625	0.00275	0.002681	0.50962484375	0.025
introgressed 55 kya, s=0.003	7500.0	80	0.516625	0.00475	0.004046	0.52842375	0.0
introgressed 55 kya, s=0.003	10000.0	80	0.516625	0.007625	0.007332625000000001	0.52227828125	0.0125
introgressed 55 kya, s=0.003	15000.0	80	0.516625	0.022625	0.02339975	0.486923046875	0.0375
introgressed 55 kya, s=0.003	20000.0	80	0.516625	0.047375	0.045883375000000004	0.5145297656250001	0.0625
introgressed 55 kya, s=0.003	30000.0	80	0.516625	0.133	0.10039962499999999	0.67090796875	0.1875
introgressed 55 kya, s=0.003	50000.0	80	0.516625	0.331	0.203113625	0.73702265625	0.35
recent 5 kya, s=0.05	500.0	20	0.016	0.0	4.1874999999999995e-05	0.49790624999999994	0.0
recent 5 kya, s=0.05	1000.0	20	0.016	0.0	0.00034862500000000003	0.48256875	0.0
recent 5 kya, s=0.05	2000.0	20	0.016	0.0005	0.000993375	0.47746875	0.0
recent 5 kya, s=0.05	3000.0	20	0.016	0.001	0.001476625	0.48133875000000004	0.0
recent 5 kya, s=0.05	5000.0	20	0.016	0.002	0.002681	0.46409562499999996	0.05
recent 5 kya, s=0.05	7500.0	20	0.016	0.0035000000000000005	0.004046	0.47018625	0.0
recent 5 kya, s=0.05	10000.0	20	0.016	0.006	0.007332625000000001	0.47460625	0.0
recent 5 kya, s=0.05	15000.0	20	0.016	0.017	0.02339975	0.3575040625	0.05
recent 5 kya, s=0.05	20000.0	20	0.016	0.045	0.045883375000000004	0.49279968749999997	0.05
recent 5 kya, s=0.05	30000.0	20	0.016	0.0985	0.10039962499999999	0.4539140625	0.1
recent 5 kya, s=0.05	50000.0	20	0.016	0.20249999999999999	0.203113625	0.45245875	0.05
recent 5 kya, s=0.1	500.0	20	0.41574999999999995	0.001	4.1874999999999995e-05	0.5479062499999999	0.1
recent 5 kya, s=0.1	1000.0	20	0.41574999999999995	0.002	0.00034862500000000003	0.58256875	0.2
recent 5 kya, s=0.1	2000.0	20	0.41574999999999995	0.005	0.000993375	0.6541646875	0.05
recent 5 kya, s=0.1	3000.0	20	0.41574999999999995	0.013500000000000002	0.001476625	0.7602565625000001	0.45
recent 5 kya, s=0.1	5000.0	20	0.41574999999999995	0.1965	0.002681	0.9317506249999999	0.85
recent 5 kya, s=0.1	7500.0	20	0.41574999999999995	0.2305	0.004046	0.946964375	0.85
recent 5 kya, s=0.1	10000.0	20	0.41574999999999995	0.23399999999999999	0.007332625000000001	0.9512103125	0.85
recent 5 kya, s=0.1	15000.0	20	0.41574999999999995	0.24050000000000002	0.02339975	0.894359375	0.8
recent 5 kya, s=0.1	20000.0	20	0.41574999999999995	0.2535	0.045883375000000004	0.8737834375	0.75
recent 5 kya, s=0.1	30000.0	20	0.41574999999999995	0.286	0.10039962499999999	0.8773440625	0.65
recent 5 kya, s=0.1	50000.0	20	0.41574999999999995	0.3705	0.203113625	0.820428125	0.55
