position_0based	origin	selection_coefficient	genotype_class	threshold_years	n_replicates	mean_statistic	auc_vs_neutral
0.0	introgressed	0.002	unconditional	20000.0	80	0.045624999999999985	0.49134781250000004
10000.0	introgressed	0.002	unconditional	20000.0	80	0.046999999999999986	0.5122911718749998
20000.0	introgressed	0.002	unconditional	20000.0	80	0.044874999999999984	0.4852550781250001
30000.0	introgressed	0.002	unconditional	20000.0	80	0.04399999999999996	0.4820986718750004
40000.0	introgressed	0.002	unconditional	20000.0	80	0.04437499999999997	0.48133250000000016
50000.0	introgressed	0.002	unconditional	20000.0	80	0.04299999999999998	0.46311718750000014
60000.0	introgressed	0.002	unconditional	20000.0	80	0.04237499999999998	0.463557890625
70000.0	introgressed	0.002	unconditional	20000.0	80	0.04124999999999998	0.4478582812500001
80000.0	introgressed	0.002	unconditional	20000.0	80	0.039749999999999994	0.4289267187500002
90000.0	introgressed	0.002	unconditional	20000.0	80	0.03937499999999998	0.4280775000000003
100000.0	introgressed	0.002	unconditional	20000.0	80	0.04024999999999998	0.43109210937500037
110000.0	introgressed	0.002	unconditional	20000.0	80	0.041499999999999974	0.44806351562500024
120000.0	introgressed	0.002	unconditional	20000.0	80	0.04137499999999998	0.44441460937500044
130000.0	introgressed	0.002	unconditional	20000.0	80	0.041249999999999995	0.44759640625000036
140000.0	introgressed	0.002	unconditional	20000.0	80	0.04137499999999998	0.4467628906250002
150000.0	introgressed	0.002	unconditional	20000.0	80	0.04324999999999997	0.46681757812500013
160000.0	introgressed	0.002	unconditional	20000.0	80	0.04399999999999997	0.47687468750000017
170000.0	introgressed	0.002	unconditional	20000.0	80	0.04412499999999996	0.47090593750000015
180000.0	introgressed	0.002	unconditional	20000.0	80	0.044624999999999984	0.48541171875000017
190000.0	introgressed	0.002	unconditional	20000.0	80	0.045374999999999985	0.495306796875
200000.0	introgressed	0.002	unconditional	20000.0	80	0.04549999999999999	0.49995773437499996
210000.0	introgressed	0.002	unconditional	20000.0	80	0.04325	0.4753361718750001
220000.0	introgressed	0.002	unconditional	20000.0	80	0.04337499999999998	0.48175476562500014
