origin	selection_coefficient	replicate_index	sample_af	n_pairs	post_pulse_fraction	median_tmrca_gen
introgressed	0.002	3	0.505	29	1.0	1935.0
introgressed	0.002	5	0.68	44	0.7954545454545454	1775.0
introgressed	0.002	6	0.32	13	0.8461538461538461	1500.0
introgressed	0.002	8	0.43	18	1.0	1995.0
introgressed	0.002	9	0.595	32	1.0	1670.0
introgressed	0.002	12	0.47	16	0.6875	1710.0
introgressed	0.002	13	0.475	23	1.0	1295.0
introgressed	0.002	16	0.48	21	1.0	1315.0
introgressed	0.002	17	0.405	17	0.5882352941176471	1285.0
introgressed	0.002	18	0.65	43	1.0	1500.0
introgressed	0.002	24	0.54	30	1.0	1300.0
introgressed	0.002	25	0.395	16	1.0	1610.0
introgressed	0.002	26	0.33	11	1.0	1940.0
introgressed	0.002	28	0.665	44	0.7954545454545454	1580.0
introgressed	0.002	29	0.885	77	0.44155844155844154	4955.0
introgressed	0.002	31	0.405	15	1.0	1695.0
introgressed	0.002	32	0.4	16	1.0	1275.0
introgressed	0.002	33	0.505	26	1.0	1330.0
introgressed	0.002	34	0.45	20	0.55	1460.0
introgressed	0.002	37	0.97	94	0.3191489361702128	10075.0
introgressed	0.002	40	0.625	42	1.0	1340.0
introgressed	0.002	42	0.51	25	1.0	1425.0
introgressed	0.002	44	0.685	48	1.0	1865.0
introgressed	0.002	48	0.43	15	1.0	1540.0
introgressed	0.002	49	0.445	20	1.0	1555.0
introgressed	0.002	53	0.335	12	1.0	1505.0
introgressed	0.002	55	0.39	14	1.0	1395.0
introgressed	0.002	59	0.515	24	1.0	1760.0
introgressed	0.002	61	0.755	57	1.0	1770.0
introgressed	0.002	63	0.845	71	1.0	1565.0
introgressed	0.002	69	0.46	17	0.8235294117647058	1285.0
introgressed	0.002	73	0.375	16	1.0	1022.5
introgressed	0.002	74	0.695	46	0.43478260869565216	12875.0
introgressed	0.002	76	0.385	16	1.0	985.0
introgressed	0.002	77	0.89	81	1.0	1930.0
introgressed	0.003	2	0.72	50	1.0	1295.0
introgressed	0.003	3	0.595	33	0.8181818181818182	1975.0
introgressed	0.003	4	0.58	32	1.0	1500.0
introgressed	0.003	5	0.755	55	1.0	1530.0
introgressed	0.003	6	0.425	16	1.0	1090.0
introgressed	0.003	8	0.785	60	1.0	2030.0
introgressed	0.003	13	0.795	63	1.0	1855.0
introgressed	0.003	14	0.865	74	1.0	1925.0
introgressed	0.003	15	0.935	88	0.5340909090909091	1785.0
introgressed	0.003	17	0.535	30	1.0	980.0
introgressed	0.003	19	0.785	61	0.8688524590163934	1775.0
introgressed	0.003	22	0.505	22	1.0	1087.5
introgressed	0.003	23	0.685	48	0.9166666666666666	1675.0
introgressed	0.003	24	0.54	28	1.0	1470.0
introgressed	0.003	26	0.625	34	1.0	1485.0
introgressed	0.003	28	0.58	34	1.0	1835.0
introgressed	0.003	29	0.86	73	1.0	1850.0
introgressed	0.003	30	0.375	14	1.0	780.0
introgressed	0.003	32	0.4	13	1.0	1180.0
introgressed	0.003	34	0.555	30	1.0	1627.5
introgressed	0.003	35	0.535	33	1.0	1020.0
introgressed	0.003	36	0.82	67	1.0	1600.0
introgressed	0.003	37	0.855	73	1.0	1705.0
introgressed	0.003	38	0.785	65	0.5384615384615384	1960.0
introgressed	0.003	39	0.68	45	1.0	1675.0
introgressed	0.003	41	0.705	51	1.0	1890.0
introgressed	0.003	42	0.71	47	0.723404255319149	1465.0
introgressed	0.003	43	0.535	25	1.0	1180.0
introgressed	0.003	44	0.925	85	0.9058823529411765	1995.0
introgressed	0.003	45	0.835	69	1.0	2175.0
introgressed	0.003	46	0.485	22	0.6363636363636364	1575.0
introgressed	0.003	47	0.47	24	1.0	1380.0
introgressed	0.003	49	0.49	27	1.0	2065.0
introgressed	0.003	50	0.77	62	1.0	1005.0
introgressed	0.003	52	0.585	34	1.0	1725.0
introgressed	0.003	53	0.355	13	1.0	950.0
introgressed	0.003	54	0.985	97	1.0	2145.0
introgressed	0.003	56	0.285	10	1.0	935.0
introgressed	0.003	57	0.42	16	1.0	1130.0
introgressed	0.003	58	0.825	68	1.0	1755.0
introgressed	0.003	59	0.395	18	1.0	1990.0
introgressed	0.003	60	0.725	52	0.3269230769230769	7705.0
introgressed	0.003	61	0.6	37	1.0	1360.0
introgressed	0.003	63	0.33	13	1.0	950.0
introgressed	0.003	64	0.935	87	1.0	2055.0
introgressed	0.003	65	0.84	72	0.9583333333333334	1790.0
introgressed	0.003	66	0.485	22	1.0	1605.0
introgressed	0.003	67	0.915	84	0.6190476190476191	2145.0
introgressed	0.003	68	0.345	12	1.0	1455.0
introgressed	0.003	69	0.62	38	1.0	1780.0
