origin	selection_coefficient	n	mean_af	mean_pairs	post_pulse_fraction	median_tmrca_gen	median_tmrca_ky
de_novo	0.001	7	0.46642857142857136	23.571428571428573	1.0	1660.0	41.5
de_novo	0.002	13	0.46961538461538466	23.923076923076923	1.0	1570.0	39.25
de_novo	0.003	15	0.6276666666666667	43.0	1.0	1565.0	39.125
de_novo	0.005	18	0.7991666666666667	65.61111111111111	0.9953703703703705	1532.5	38.3125
de_novo	0.01	20	0.99	98.05	1.0	1675.0	41.875
de_novo	0.02	20	1.0	100.0	0.9865	2060.0	51.5
de_novo	0.05	20	1.0	100.0	0.9685	2120.0	53.0
introgressed	0.002	35	0.5398571428571428	31.685714285714287	0.8937662179819884	1555.0	38.875
introgressed	0.003	59	0.6471186440677966	44.86440677966102	0.932780666572024	1605.0	40.125
introgressed	0.005	78	0.8704487179487179	77.71794871794872	0.8338619790639171	1865.0	46.625
introgressed	0.01	80	0.9984999999999999	99.7	0.8034633838383838	2020.0	50.5
neutral	0.0	80	0.0	100.0	0.22549999999999998	11590.0	289.75
