arm	method	genotype_class	threshold_years	n_replicates	n_null	mean_statistic	null_mean	auc	power_rule	power_p_corrected	median_exceedance	median_p_corrected	median_p_raw
introgressed_pulse	decode	overall	1000.0	100	100	0.0006010000000000001	0.000578	0.52225	0.01	0.01	53.0	0.5346534653465347	0.53
introgressed_pulse_weak	decode	overall	1000.0	100	100	0.000621	0.000578	0.5458999999999999	0.0	0.0	53.0	0.5346534653465347	0.53
postintro_denovo	decode	overall	1000.0	100	100	0.0005870000000000001	0.000578	0.53055	0.0	0.0	53.0	0.5346534653465347	0.53
recent_denovo	decode	overall	1000.0	100	100	0.0031799999999999997	0.000578	0.97505	0.85	0.85	0.0	0.009900990099009901	0.0
introgressed_pulse	decode_meanp	overall	1000.0	100	100	0.00964984969794	0.00935635572648	0.5479	0.01	0.0	41.0	0.4158415841584159	0.41000000000000003
introgressed_pulse_weak	decode_meanp	overall	1000.0	100	100	0.00898678885739	0.00935635572648	0.5209	0.0	0.0	47.0	0.4752475247524752	0.47
postintro_denovo	decode_meanp	overall	1000.0	100	100	0.009553562401099999	0.00935635572648	0.5476000000000001	0.01	0.01	45.5	0.4603960396039604	0.455
recent_denovo	decode_meanp	overall	1000.0	100	100	0.058954592418620014	0.00935635572648	0.9422999999999999	0.77	0.75	0.0	0.009900990099009901	0.0
introgressed_pulse	truth	carrier_carrier	1000.0	89	100	0.0014864612853150545	0.0004700000000000001	0.5969662921348315	0.3258426966292135	0.24719101123595505	20.0	0.2079207920792079	0.2
introgressed_pulse	truth	carrier_noncarrier	1000.0	98	100	0.0	0.0004700000000000001	0.004999999999999999	0.0	0.0	100.0	1.0	1.0
introgressed_pulse	truth	noncarrier_noncarrier	1000.0	99	100	0.0008434265643838721	0.0004700000000000001	0.6113636363636364	0.23232323232323232	0.18181818181818182	31.0	0.31683168316831684	0.31
introgressed_pulse	truth	overall	1000.0	100	100	0.000425	0.0004700000000000001	0.43825000000000003	0.0	0.0	69.0	0.693069306930693	0.69
introgressed_pulse_weak	truth	carrier_carrier	1000.0	78	100	0.002464810823890826	0.0004700000000000001	0.6868589743589744	0.5769230769230769	0.5128205128205128	0.0	0.009900990099009901	0.0
introgressed_pulse_weak	truth	carrier_noncarrier	1000.0	100	100	0.0	0.0004700000000000001	0.004999999999999999	0.0	0.0	100.0	1.0	1.0
introgressed_pulse_weak	truth	noncarrier_noncarrier	1000.0	100	100	0.0006174626699664918	0.0004700000000000001	0.5795999999999999	0.09	0.05	48.0	0.48514851485148514	0.48
introgressed_pulse_weak	truth	overall	1000.0	100	100	0.00046200000000000006	0.0004700000000000001	0.49579999999999996	0.01	0.0	58.5	0.5891089108910891	0.585
postintro_denovo	truth	carrier_carrier	1000.0	87	100	0.0015966256702454255	0.0004700000000000001	0.5963793103448276	0.39080459770114945	0.367816091954023	10.0	0.10891089108910891	0.1
postintro_denovo	truth	carrier_noncarrier	1000.0	99	100	0.0	0.0004700000000000001	0.004999999999999999	0.0	0.0	100.0	1.0	1.0
postintro_denovo	truth	noncarrier_noncarrier	1000.0	100	100	0.0006517457927630664	0.0004700000000000001	0.61195	0.13	0.1	31.0	0.31683168316831684	0.31
postintro_denovo	truth	overall	1000.0	100	100	0.00043300000000000006	0.0004700000000000001	0.455	0.01	0.0	69.0	0.693069306930693	0.69
recent_denovo	truth	carrier_carrier	1000.0	94	100	0.0025569062377884676	0.0004700000000000001	0.9431382978723403	0.7659574468085106	0.7021276595744681	0.0	0.009900990099009901	0.0
recent_denovo	truth	carrier_noncarrier	1000.0	100	100	0.0	0.0004700000000000001	0.004999999999999999	0.0	0.0	100.0	1.0	1.0
recent_denovo	truth	noncarrier_noncarrier	1000.0	100	100	0.0006686490652424396	0.0004700000000000001	0.5398999999999999	0.2	0.11	48.0	0.48514851485148514	0.48
recent_denovo	truth	overall	1000.0	100	100	0.0006200000000000001	0.0004700000000000001	0.6808	0.01	0.0	31.0	0.31683168316831684	0.31
introgressed_pulse	decode	overall	5000.0	100	100	0.004998	0.004886000000000001	0.5178	0.03	0.02	51.0	0.5148514851485149	0.51
introgressed_pulse_weak	decode	overall	5000.0	100	100	0.005018999999999999	0.004886000000000001	0.5163	0.02	0.01	51.0	0.5148514851485149	0.51
postintro_denovo	decode	overall	5000.0	100	100	0.004878	0.004886000000000001	0.48635	0.02	0.01	53.0	0.5346534653465347	0.53
recent_denovo	decode	overall	5000.0	100	100	0.17254999999999998	0.004886000000000001	0.9735499999999999	0.94	0.94	0.0	0.009900990099009901	0.0
introgressed_pulse	decode_meanp	overall	5000.0	100	100	0.04621129562899999	0.045186023713699994	0.5343	0.0	0.0	44.5	0.4504950495049505	0.445
introgressed_pulse_weak	decode_meanp	overall	5000.0	100	100	0.04260614287050001	0.045186023713699994	0.5028	0.0	0.0	47.0	0.4752475247524752	0.47
postintro_denovo	decode_meanp	overall	5000.0	100	100	0.04569616804530001	0.045186023713699994	0.5434	0.01	0.01	45.0	0.45544554455445546	0.45
recent_denovo	decode_meanp	overall	5000.0	100	100	0.19354419683979998	0.045186023713699994	0.9184	0.69	0.68	0.0	0.009900990099009901	0.0
introgressed_pulse	truth	carrier_carrier	5000.0	89	100	0.009250471745050391	0.0026969999999999993	0.9048314606741572	0.7191011235955056	0.7191011235955056	0.0	0.009900990099009901	0.0
introgressed_pulse	truth	carrier_noncarrier	5000.0	98	100	0.0	0.0026969999999999993	0.0	0.0	0.0	100.0	1.0	1.0
introgressed_pulse	truth	noncarrier_noncarrier	5000.0	99	100	0.004490192729043579	0.0026969999999999993	0.7768686868686868	0.3939393939393939	0.3838383838383838	5.0	0.0594059405940594	0.05
introgressed_pulse	truth	overall	5000.0	100	100	0.00255	0.0026969999999999993	0.44145	0.0	0.0	60.0	0.6039603960396039	0.6
introgressed_pulse_weak	truth	carrier_carrier	5000.0	78	100	0.013192382904699188	0.0026969999999999993	0.9644871794871793	0.8974358974358975	0.8974358974358975	0.0	0.009900990099009901	0.0
introgressed_pulse_weak	truth	carrier_noncarrier	5000.0	100	100	0.0	0.0026969999999999993	0.0	0.0	0.0	100.0	1.0	1.0
introgressed_pulse_weak	truth	noncarrier_noncarrier	5000.0	100	100	0.003431082342651274	0.0026969999999999993	0.7012	0.21	0.19	24.0	0.24752475247524752	0.24
introgressed_pulse_weak	truth	overall	5000.0	100	100	0.0026080000000000005	0.0026969999999999993	0.45799999999999996	0.0	0.0	59.0	0.594059405940594	0.59
postintro_denovo	truth	carrier_carrier	5000.0	87	100	0.01032432081032063	0.0026969999999999993	0.9550574712643677	0.735632183908046	0.7241379310344828	0.0	0.009900990099009901	0.0
postintro_denovo	truth	carrier_noncarrier	5000.0	99	100	0.0	0.0026969999999999993	0.0	0.0	0.0	100.0	1.0	1.0
postintro_denovo	truth	noncarrier_noncarrier	5000.0	100	100	0.003926177682671877	0.0026969999999999993	0.7361000000000001	0.24	0.24	15.0	0.15841584158415842	0.15
postintro_denovo	truth	overall	5000.0	100	100	0.002523	0.0026969999999999993	0.41815	0.0	0.0	64.0	0.6435643564356436	0.64
recent_denovo	truth	carrier_carrier	5000.0	94	100	0.9288447194744041	0.0026969999999999993	1.0	1.0	1.0	0.0	0.009900990099009901	0.0
recent_denovo	truth	carrier_noncarrier	5000.0	100	100	0.0	0.0026969999999999993	0.0	0.0	0.0	100.0	1.0	1.0
recent_denovo	truth	noncarrier_noncarrier	5000.0	100	100	0.002948210388942076	0.0026969999999999993	0.5206999999999999	0.12	0.11	44.0	0.44554455445544555	0.44
recent_denovo	truth	overall	5000.0	100	100	0.23028999999999997	0.0026969999999999993	0.9839500000000001	0.94	0.94	0.0	0.009900990099009901	0.0
introgressed_pulse	decode	overall	10000.0	100	100	0.023660999999999998	0.022060999999999997	0.5307000000000001	0.02	0.02	46.0	0.4653465346534653	0.45999999999999996
introgressed_pulse_weak	decode	overall	10000.0	100	100	0.023060999999999998	0.022060999999999997	0.57045	0.0	0.0	37.0	0.37623762376237624	0.37
postintro_denovo	decode	overall	10000.0	100	100	0.023165999999999992	0.022060999999999997	0.54195	0.0	0.0	40.5	0.4108910891089109	0.405
recent_denovo	decode	overall	10000.0	100	100	0.23977100000000004	0.022060999999999997	0.9571999999999999	0.85	0.84	0.0	0.009900990099009901	0.0
introgressed_pulse	decode_meanp	overall	10000.0	100	100	0.08555183641599999	0.0845111276883	0.5213	0.0	0.0	45.5	0.4603960396039604	0.455
introgressed_pulse_weak	decode_meanp	overall	10000.0	100	100	0.0785433870822	0.0845111276883	0.48350000000000004	0.0	0.0	48.0	0.48514851485148514	0.48
postintro_denovo	decode_meanp	overall	10000.0	100	100	0.08480219545689999	0.0845111276883	0.5338	0.01	0.01	45.0	0.45544554455445546	0.45
recent_denovo	decode_meanp	overall	10000.0	100	100	0.2595286124325	0.0845111276883	0.8901	0.59	0.58	0.0	0.009900990099009901	0.0
introgressed_pulse	truth	carrier_carrier	10000.0	89	100	0.03207569163522932	0.007489000000000001	0.9760674157303372	0.898876404494382	0.8764044943820225	0.0	0.009900990099009901	0.0
introgressed_pulse	truth	carrier_noncarrier	10000.0	98	100	0.0	0.007489000000000001	0.0	0.0	0.0	100.0	1.0	1.0
introgressed_pulse	truth	noncarrier_noncarrier	10000.0	99	100	0.012454451662446724	0.007489000000000001	0.8478282828282828	0.5151515151515151	0.45454545454545453	1.0	0.019801980198019802	0.01
introgressed_pulse	truth	overall	10000.0	100	100	0.007619	0.007489000000000001	0.5311	0.01	0.0	43.0	0.43564356435643564	0.43
introgressed_pulse_weak	truth	carrier_carrier	10000.0	78	100	0.03831117180003791	0.007489000000000001	0.9924358974358974	0.9743589743589743	0.9743589743589743	0.0	0.009900990099009901	0.0
introgressed_pulse_weak	truth	carrier_noncarrier	10000.0	100	100	0.0	0.007489000000000001	0.0	0.0	0.0	100.0	1.0	1.0
introgressed_pulse_weak	truth	noncarrier_noncarrier	10000.0	100	100	0.009982627586345254	0.007489000000000001	0.7825	0.38	0.28	5.0	0.0594059405940594	0.05
introgressed_pulse_weak	truth	overall	10000.0	100	100	0.0076	0.007489000000000001	0.5017999999999999	0.07	0.04	55.0	0.5544554455445545	0.55
postintro_denovo	truth	carrier_carrier	10000.0	87	100	0.03330239142064207	0.007489000000000001	0.9937931034482758	0.9655172413793104	0.9540229885057471	0.0	0.009900990099009901	0.0
postintro_denovo	truth	carrier_noncarrier	10000.0	99	100	0.0	0.007489000000000001	0.0	0.0	0.0	100.0	1.0	1.0
postintro_denovo	truth	noncarrier_noncarrier	10000.0	100	100	0.011281507918941535	0.007489000000000001	0.8405	0.45	0.39	2.5	0.034653465346534656	0.025
postintro_denovo	truth	overall	10000.0	100	100	0.007573000000000001	0.007489000000000001	0.5224500000000001	0.01	0.0	52.0	0.5247524752475248	0.52
recent_denovo	truth	carrier_carrier	10000.0	94	100	1.0	0.007489000000000001	1.0	1.0	1.0	0.0	0.009900990099009901	0.0
recent_denovo	truth	carrier_noncarrier	10000.0	100	100	0.0047424519781324205	0.007489000000000001	0.29	0.21	0.19	100.0	1.0	1.0
recent_denovo	truth	noncarrier_noncarrier	10000.0	100	100	0.007894535362341937	0.007489000000000001	0.5571	0.13	0.09	39.0	0.39603960396039606	0.39
recent_denovo	truth	overall	10000.0	100	100	0.257313	0.007489000000000001	0.97855	0.94	0.94	0.0	0.009900990099009901	0.0
introgressed_pulse	decode	overall	20000.0	100	100	0.084118	0.07708699999999999	0.5669	0.01	0.01	38.0	0.38613861386138615	0.38
introgressed_pulse_weak	decode	overall	20000.0	100	100	0.077983	0.07708699999999999	0.5642499999999999	0.0	0.0	41.0	0.4158415841584158	0.41
postintro_denovo	decode	overall	20000.0	100	100	0.08430299999999999	0.07708699999999999	0.5805999999999999	0.01	0.01	37.0	0.37623762376237624	0.37
recent_denovo	decode	overall	20000.0	100	100	0.284239	0.07708699999999999	0.9041499999999999	0.61	0.61	0.0	0.009900990099009901	0.0
introgressed_pulse	decode_meanp	overall	20000.0	100	100	0.14648944702060002	0.1476347931752	0.5013	0.01	0.01	47.0	0.4752475247524752	0.47
introgressed_pulse_weak	decode_meanp	overall	20000.0	100	100	0.1341719099294	0.1476347931752	0.45910000000000006	0.0	0.0	49.0	0.49504950495049505	0.49
postintro_denovo	decode_meanp	overall	20000.0	100	100	0.14642965457129997	0.1476347931752	0.5206999999999999	0.01	0.0	47.5	0.4801980198019802	0.475
recent_denovo	decode_meanp	overall	20000.0	100	100	0.31868129977580006	0.1476347931752	0.8500999999999999	0.41	0.39	4.0	0.04950495049504951	0.04
introgressed_pulse	truth	carrier_carrier	20000.0	89	100	0.2273379287868445	0.045559	0.9828089887640449	0.9101123595505618	0.8876404494382022	0.0	0.009900990099009901	0.0
introgressed_pulse	truth	carrier_noncarrier	20000.0	98	100	0.0	0.045559	0.0	0.0	0.0	100.0	1.0	1.0
introgressed_pulse	truth	noncarrier_noncarrier	20000.0	99	100	0.06908693694478903	0.045559	0.7708080808080807	0.3333333333333333	0.32323232323232326	4.0	0.04950495049504951	0.04
introgressed_pulse	truth	overall	20000.0	100	100	0.047938999999999996	0.045559	0.546	0.05	0.04	45.0	0.45544554455445546	0.45
introgressed_pulse_weak	truth	carrier_carrier	20000.0	78	100	0.2534746666507123	0.045559	0.997948717948718	0.9871794871794872	0.9743589743589743	0.0	0.009900990099009901	0.0
introgressed_pulse_weak	truth	carrier_noncarrier	20000.0	100	100	0.0	0.045559	0.0	0.0	0.0	100.0	1.0	1.0
introgressed_pulse_weak	truth	noncarrier_noncarrier	20000.0	100	100	0.06369369604064906	0.045559	0.7853000000000001	0.25	0.22	11.0	0.1188118811881188	0.11
introgressed_pulse_weak	truth	overall	20000.0	100	100	0.04901900000000001	0.045559	0.59355	0.04	0.02	44.0	0.44554455445544555	0.44
postintro_denovo	truth	carrier_carrier	20000.0	87	100	0.2563072707440791	0.045559	0.9960919540229884	0.9540229885057471	0.9195402298850575	0.0	0.009900990099009901	0.0
postintro_denovo	truth	carrier_noncarrier	20000.0	99	100	0.0	0.045559	0.0	0.0	0.0	100.0	1.0	1.0
postintro_denovo	truth	noncarrier_noncarrier	20000.0	100	100	0.062396459143337746	0.045559	0.7671000000000001	0.21	0.16	9.0	0.09900990099009901	0.09
postintro_denovo	truth	overall	20000.0	100	100	0.047091999999999995	0.045559	0.55685	0.01	0.01	45.5	0.4603960396039604	0.455
recent_denovo	truth	carrier_carrier	20000.0	94	100	1.0	0.045559	1.0	1.0	1.0	0.0	0.009900990099009901	0.0
recent_denovo	truth	carrier_noncarrier	20000.0	100	100	0.041566821642703936	0.045559	0.4084	0.21	0.17	96.0	0.9603960396039604	0.96
recent_denovo	truth	noncarrier_noncarrier	20000.0	100	100	0.04653646142195525	0.045559	0.48760000000000003	0.06	0.04	50.0	0.504950495049505	0.5
