arm	replicate_index	sample_af	threshold_years	genotype_class	n_pairs	method	statistic
neutral	0	0.0	1000.0	overall	10000	truth	0.0004
neutral	0	0.0	1000.0	noncarrier_noncarrier	10000	truth	0.0004
neutral	0	0.0	1000.0	overall	10000	decode	0.0004
neutral	0	0.0	1000.0	overall	10000	decode_meanp	0.0050534093
neutral	0	0.0	5000.0	overall	10000	truth	0.0023
neutral	0	0.0	5000.0	noncarrier_noncarrier	10000	truth	0.0023
neutral	0	0.0	5000.0	overall	10000	decode	0.0044
neutral	0	0.0	5000.0	overall	10000	decode_meanp	0.0225535247
neutral	0	0.0	10000.0	overall	10000	truth	0.0073
neutral	0	0.0	10000.0	noncarrier_noncarrier	10000	truth	0.0073
neutral	0	0.0	10000.0	overall	10000	decode	0.0153
neutral	0	0.0	10000.0	overall	10000	decode_meanp	0.04004849896
neutral	0	0.0	20000.0	overall	10000	truth	0.0446
neutral	0	0.0	20000.0	noncarrier_noncarrier	10000	truth	0.0446
neutral	0	0.0	20000.0	overall	10000	decode	0.0401
neutral	0	0.0	20000.0	overall	10000	decode_meanp	0.06679381895
neutral	0	0.0	30000.0	overall	10000	truth	0.0645
neutral	0	0.0	30000.0	noncarrier_noncarrier	10000	truth	0.0645
neutral	0	0.0	30000.0	overall	10000	decode	0.0542
neutral	0	0.0	30000.0	overall	10000	decode_meanp	0.08758419474
neutral	0	0.0	40000.0	overall	10000	truth	0.0942
neutral	0	0.0	40000.0	noncarrier_noncarrier	10000	truth	0.0942
neutral	0	0.0	40000.0	overall	10000	decode	0.0687
neutral	0	0.0	40000.0	overall	10000	decode_meanp	0.10509801
neutral	0	0.0	50000.0	overall	10000	truth	0.1195
neutral	0	0.0	50000.0	noncarrier_noncarrier	10000	truth	0.1195
neutral	0	0.0	50000.0	overall	10000	decode	0.0828
neutral	0	0.0	50000.0	overall	10000	decode_meanp	0.1205517571
neutral	1	0.0	1000.0	overall	10000	truth	0.0002
neutral	1	0.0	1000.0	noncarrier_noncarrier	10000	truth	0.0002
neutral	1	0.0	1000.0	overall	10000	decode	0.0006
neutral	1	0.0	1000.0	overall	10000	decode_meanp	0.00711734811
neutral	1	0.0	5000.0	overall	10000	truth	0.003
neutral	1	0.0	5000.0	noncarrier_noncarrier	10000	truth	0.003
neutral	1	0.0	5000.0	overall	10000	decode	0.0047
neutral	1	0.0	5000.0	overall	10000	decode_meanp	0.03288329051
neutral	1	0.0	10000.0	overall	10000	truth	0.0088
neutral	1	0.0	10000.0	noncarrier_noncarrier	10000	truth	0.0088
neutral	1	0.0	10000.0	overall	10000	decode	0.0186
neutral	1	0.0	10000.0	overall	10000	decode_meanp	0.06053541823
neutral	1	0.0	20000.0	overall	10000	truth	0.0407
neutral	1	0.0	20000.0	noncarrier_noncarrier	10000	truth	0.0407
neutral	1	0.0	20000.0	overall	10000	decode	0.0577
neutral	1	0.0	20000.0	overall	10000	decode_meanp	0.1049654302
neutral	1	0.0	30000.0	overall	10000	truth	0.0904
neutral	1	0.0	30000.0	noncarrier_noncarrier	10000	truth	0.0904
neutral	1	0.0	30000.0	overall	10000	decode	0.0892
neutral	1	0.0	30000.0	overall	10000	decode_meanp	0.1401554834
neutral	1	0.0	40000.0	overall	10000	truth	0.1242
neutral	1	0.0	40000.0	noncarrier_noncarrier	10000	truth	0.1242
neutral	1	0.0	40000.0	overall	10000	decode	0.1134
neutral	1	0.0	40000.0	overall	10000	decode_meanp	0.1695131772
neutral	1	0.0	50000.0	overall	10000	truth	0.1348
neutral	1	0.0	50000.0	noncarrier_noncarrier	10000	truth	0.1348
neutral	1	0.0	50000.0	overall	10000	decode	0.1441
neutral	1	0.0	50000.0	overall	10000	decode_meanp	0.1948462109
neutral	2	0.0	1000.0	overall	10000	truth	0.0005
neutral	2	0.0	1000.0	noncarrier_noncarrier	10000	truth	0.0005
neutral	2	0.0	1000.0	overall	10000	decode	0.0004
neutral	2	0.0	1000.0	overall	10000	decode_meanp	0.01034678924
neutral	2	0.0	5000.0	overall	10000	truth	0.0027
neutral	2	0.0	5000.0	noncarrier_noncarrier	10000	truth	0.0027
neutral	2	0.0	5000.0	overall	10000	decode	0.0061
neutral	2	0.0	5000.0	overall	10000	decode_meanp	0.04684805877
neutral	2	0.0	10000.0	overall	10000	truth	0.0073
neutral	2	0.0	10000.0	noncarrier_noncarrier	10000	truth	0.0073
neutral	2	0.0	10000.0	overall	10000	decode	0.0235
neutral	2	0.0	10000.0	overall	10000	decode_meanp	0.08470264792
neutral	2	0.0	20000.0	overall	10000	truth	0.0484
neutral	2	0.0	20000.0	noncarrier_noncarrier	10000	truth	0.0484
neutral	2	0.0	20000.0	overall	10000	decode	0.08
