position_0based	arm	threshold_years	genotype_class	method	n_replicates	mean_statistic
0.0	neutral	1000.0	overall	truth	100	0.0004669999999999999
10000.0	neutral	1000.0	overall	truth	100	0.00046899999999999996
20000.0	neutral	1000.0	overall	truth	100	0.000469
30000.0	neutral	1000.0	overall	truth	100	0.00047200000000000014
40000.0	neutral	1000.0	overall	truth	100	0.0004700000000000001
50000.0	neutral	1000.0	overall	truth	100	0.000472
60000.0	neutral	1000.0	overall	truth	100	0.00046899999999999996
70000.0	neutral	1000.0	overall	truth	100	0.0004719999999999999
80000.0	neutral	1000.0	overall	truth	100	0.0004709999999999999
90000.0	neutral	1000.0	overall	truth	100	0.00046699999999999986
100000.0	neutral	1000.0	overall	truth	100	0.00046799999999999983
110000.0	neutral	1000.0	overall	truth	100	0.0004679999999999999
120000.0	neutral	1000.0	overall	truth	100	0.0004699999999999999
130000.0	neutral	1000.0	overall	truth	100	0.0004729999999999998
140000.0	neutral	1000.0	overall	truth	100	0.00047399999999999976
150000.0	neutral	1000.0	overall	truth	100	0.0004719999999999997
160000.0	neutral	1000.0	overall	truth	100	0.00047299999999999973
170000.0	neutral	1000.0	overall	truth	100	0.00047399999999999976
180000.0	neutral	1000.0	overall	truth	100	0.00047399999999999976
190000.0	neutral	1000.0	overall	truth	100	0.00047699999999999983
200000.0	neutral	1000.0	overall	truth	100	0.0004759999999999999
210000.0	neutral	1000.0	overall	truth	100	0.0004719999999999999
220000.0	neutral	1000.0	overall	truth	100	0.0004719999999999999
230000.0	neutral	1000.0	overall	truth	100	0.0004719999999999999
240000.0	neutral	1000.0	overall	truth	100	0.00047099999999999996
250000.0	neutral	1000.0	overall	truth	100	0.00047
260000.0	neutral	1000.0	overall	truth	100	0.00046899999999999996
270000.0	neutral	1000.0	overall	truth	100	0.00046400000000000006
280000.0	neutral	1000.0	overall	truth	100	0.00046100000000000004
290000.0	neutral	1000.0	overall	truth	100	0.00046
300000.0	neutral	1000.0	overall	truth	100	0.00045900000000000004
310000.0	neutral	1000.0	overall	truth	100	0.000459
320000.0	neutral	1000.0	overall	truth	100	0.00046099999999999993
330000.0	neutral	1000.0	overall	truth	100	0.0004609999999999999
340000.0	neutral	1000.0	overall	truth	100	0.0004609999999999999
350000.0	neutral	1000.0	overall	truth	100	0.00046399999999999995
360000.0	neutral	1000.0	overall	truth	100	0.00045999999999999985
370000.0	neutral	1000.0	overall	truth	100	0.00046299999999999987
380000.0	neutral	1000.0	overall	truth	100	0.0004649999999999999
390000.0	neutral	1000.0	overall	truth	100	0.00046499999999999986
400000.0	neutral	1000.0	overall	truth	100	0.0004669999999999999
410000.0	neutral	1000.0	overall	truth	100	0.0004679999999999999
420000.0	neutral	1000.0	overall	truth	100	0.0004709999999999999
430000.0	neutral	1000.0	overall	truth	100	0.0004689999999999999
440000.0	neutral	1000.0	overall	truth	100	0.00046999999999999993
450000.0	neutral	1000.0	overall	truth	100	0.00046799999999999994
460000.0	neutral	1000.0	overall	truth	100	0.00046599999999999994
470000.0	neutral	1000.0	overall	truth	100	0.0004649999999999999
480000.0	neutral	1000.0	overall	truth	100	0.00046399999999999995
490000.0	neutral	1000.0	overall	truth	100	0.00046299999999999987
500000.0	neutral	1000.0	overall	truth	100	0.0004639999999999999
510000.0	neutral	1000.0	overall	truth	100	0.0004589999999999998
520000.0	neutral	1000.0	overall	truth	100	0.0004599999999999998
530000.0	neutral	1000.0	overall	truth	100	0.0004599999999999999
540000.0	neutral	1000.0	overall	truth	100	0.0004599999999999999
550000.0	neutral	1000.0	overall	truth	100	0.0004609999999999999
560000.0	neutral	1000.0	overall	truth	100	0.00045999999999999985
570000.0	neutral	1000.0	overall	truth	100	0.0004589999999999998
580000.0	neutral	1000.0	overall	truth	100	0.0004589999999999998
590000.0	neutral	1000.0	overall	truth	100	0.000458
600000.0	neutral	1000.0	overall	truth	100	0.000459
610000.0	neutral	1000.0	overall	truth	100	0.00046
620000.0	neutral	1000.0	overall	truth	100	0.00046099999999999993
630000.0	neutral	1000.0	overall	truth	100	0.0004630000000000001
640000.0	neutral	1000.0	overall	truth	100	0.0004630000000000001
650000.0	neutral	1000.0	overall	truth	100	0.00046200000000000006
660000.0	neutral	1000.0	overall	truth	100	0.0004610000000000001
670000.0	neutral	1000.0	overall	truth	100	0.0004570000000000001
680000.0	neutral	1000.0	overall	truth	100	0.0004590000000000001
690000.0	neutral	1000.0	overall	truth	100	0.00046000000000000007
700000.0	neutral	1000.0	overall	truth	100	0.0004560000000000001
710000.0	neutral	1000.0	overall	truth	100	0.00046100000000000004
720000.0	neutral	1000.0	overall	truth	100	0.00046000000000000007
730000.0	neutral	1000.0	overall	truth	100	0.00045900000000000004
740000.0	neutral	1000.0	overall	truth	100	0.00045900000000000004
750000.0	neutral	1000.0	overall	truth	100	0.00045900000000000004
760000.0	neutral	1000.0	overall	truth	100	0.00045700000000000005
770000.0	neutral	1000.0	overall	truth	100	0.000455
780000.0	neutral	1000.0	overall	truth	100	0.00045299999999999995
790000.0	neutral	1000.0	overall	truth	100	0.00045299999999999995
800000.0	neutral	1000.0	overall	truth	100	0.00045299999999999995
810000.0	neutral	1000.0	overall	truth	100	0.00045599999999999986
820000.0	neutral	1000.0	overall	truth	100	0.00045299999999999984
830000.0	neutral	1000.0	overall	truth	100	0.00045099999999999985
840000.0	neutral	1000.0	overall	truth	100	0.00045500000000000006
850000.0	neutral	1000.0	overall	truth	100	0.00045400000000000003
860000.0	neutral	1000.0	overall	truth	100	0.000453
870000.0	neutral	1000.0	overall	truth	100	0.00045
880000.0	neutral	1000.0	overall	truth	100	0.000449
890000.0	neutral	1000.0	overall	truth	100	0.00045
900000.0	neutral	1000.0	overall	truth	100	0.00045299999999999995
910000.0	neutral	1000.0	overall	truth	100	0.0004489999999999999
920000.0	neutral	1000.0	overall	truth	100	0.00044999999999999993
930000.0	neutral	1000.0	overall	truth	100	0.00045
940000.0	neutral	1000.0	overall	truth	100	0.000451
950000.0	neutral	1000.0	overall	truth	100	0.00045200000000000004
960000.0	neutral	1000.0	overall	truth	100	0.00045200000000000004
970000.0	neutral	1000.0	overall	truth	100	0.0004500000000000001
980000.0	neutral	1000.0	overall	truth	100	0.00044700000000000013
990000.0	neutral	1000.0	overall	truth	100	0.00044800000000000005
1000000.0	neutral	1000.0	overall	truth	100	0.000447
1010000.0	neutral	1000.0	overall	truth	100	0.00044900000000000007
1020000.0	neutral	1000.0	overall	truth	100	0.00044500000000000014
1030000.0	neutral	1000.0	overall	truth	100	0.00044300000000000003
1040000.0	neutral	1000.0	overall	truth	100	0.00044400000000000017
1050000.0	neutral	1000.0	overall	truth	100	0.00044600000000000016
1060000.0	neutral	1000.0	overall	truth	100	0.00044700000000000013
1070000.0	neutral	1000.0	overall	truth	100	0.00044700000000000013
1080000.0	neutral	1000.0	overall	truth	100	0.00044700000000000013
1090000.0	neutral	1000.0	overall	truth	100	0.000447
1100000.0	neutral	1000.0	overall	truth	100	0.00045300000000000006
1110000.0	neutral	1000.0	overall	truth	100	0.00045200000000000004
1120000.0	neutral	1000.0	overall	truth	100	0.000453
1130000.0	neutral	1000.0	overall	truth	100	0.00045000000000000004
1140000.0	neutral	1000.0	overall	truth	100	0.000449
1150000.0	neutral	1000.0	overall	truth	100	0.000452
1160000.0	neutral	1000.0	overall	truth	100	0.00045200000000000004
1170000.0	neutral	1000.0	overall	truth	100	0.000451
1180000.0	neutral	1000.0	overall	truth	100	0.00044600000000000016
1190000.0	neutral	1000.0	overall	truth	100	0.00044700000000000013
1200000.0	neutral	1000.0	overall	truth	100	0.00044600000000000016
1210000.0	neutral	1000.0	overall	truth	100	0.00044400000000000017
1220000.0	neutral	1000.0	overall	truth	100	0.00044400000000000017
1230000.0	neutral	1000.0	overall	truth	100	0.00044500000000000014
1240000.0	neutral	1000.0	overall	truth	100	0.00044600000000000005
1250000.0	neutral	1000.0	overall	truth	100	0.00044900000000000007
1260000.0	neutral	1000.0	overall	truth	100	0.0004440000000000001
1270000.0	neutral	1000.0	overall	truth	100	0.00044300000000000003
1280000.0	neutral	1000.0	overall	truth	100	0.000443
1290000.0	neutral	1000.0	overall	truth	100	0.00044199999999999996
1300000.0	neutral	1000.0	overall	truth	100	0.000445
1310000.0	neutral	1000.0	overall	truth	100	0.00044500000000000003
1320000.0	neutral	1000.0	overall	truth	100	0.0004410000000000001
1330000.0	neutral	1000.0	overall	truth	100	0.0004400000000000001
1340000.0	neutral	1000.0	overall	truth	100	0.0004370000000000001
1350000.0	neutral	1000.0	overall	truth	100	0.0004370000000000001
1360000.0	neutral	1000.0	overall	truth	100	0.0004330000000000001
