genotype_class	method	threshold_years	af_bin	af_low	af_mid	n_replicates	mean_statistic	null_mean	auc	power_rule
carrier_carrier	truth	1000.0	[0.05, 0.15)	0.05	0.10985714285714286	35	0.004542465164984614	0.0004786666666666667	0.4295238095238095	0.42857142857142855
carrier_carrier	truth	1000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.002328644774766536	0.0004786666666666667	0.6391566265060241	0.6385542168674698
carrier_carrier	truth	1000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.0013775710064367643	0.0004786666666666667	0.8383333333333335	0.5913978494623656
carrier_carrier	truth	1000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.001054384921578014	0.0004786666666666667	0.7965290519877677	0.45871559633027525
carrier_carrier	truth	1000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.0008093989848850767	0.0004786666666666667	0.7465656565656564	0.30303030303030304
carrier_carrier	truth	1000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.0005137124253533943	0.0004786666666666667	0.5279038854805727	0.049079754601226995
carrier_carrier	truth	1000.0	[0.9, 1.01)	0.9	0.9443037974683546	158	0.0005269346501875782	0.0004786666666666667	0.5650316455696202	0.0379746835443038
carrier_carrier	truth	5000.0	[0.05, 0.15)	0.05	0.10985714285714286	35	0.042390275025687006	0.0026056666666666667	0.9428571428571428	0.9428571428571428
carrier_carrier	truth	5000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.02179791284326493	0.0026056666666666667	0.9985943775100402	0.9879518072289156
carrier_carrier	truth	5000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.01170281712397722	0.0026056666666666667	0.997383512544803	0.8924731182795699
carrier_carrier	truth	5000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.010174417692405107	0.0026056666666666667	0.9764373088685016	0.8165137614678899
carrier_carrier	truth	5000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.0067624198727221745	0.0026056666666666667	0.9116919191919192	0.49242424242424243
carrier_carrier	truth	5000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.004641832984008121	0.0026056666666666667	0.7891002044989776	0.26993865030674846
carrier_carrier	truth	5000.0	[0.9, 1.01)	0.9	0.9443037974683546	158	0.0037821312112837004	0.0026056666666666667	0.7165928270042194	0.24050632911392406
carrier_carrier	truth	10000.0	[0.05, 0.15)	0.05	0.10985714285714286	35	0.17411028811816467	0.007359	1.0	1.0
carrier_carrier	truth	10000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.09319838701697089	0.007359	1.0	1.0
carrier_carrier	truth	10000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.058779086900229205	0.007359	0.9999641577060933	1.0
carrier_carrier	truth	10000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.11851356905290203	0.007359	0.9948929663608562	0.963302752293578
carrier_carrier	truth	10000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.11079375731037718	0.007359	0.9866161616161617	0.7651515151515151
carrier_carrier	truth	10000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.17212105173309297	0.007359	0.9011656441717792	0.37423312883435583
carrier_carrier	truth	10000.0	[0.9, 1.01)	0.9	0.9443037974683546	158	0.23106363334218463	0.007359	0.7998734177215191	0.310126582278481
carrier_carrier	truth	20000.0	[0.05, 0.15)	0.05	0.10985714285714286	35	0.7059998698336533	0.04594566666666666	1.0	1.0
carrier_carrier	truth	20000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.4251443890972796	0.04594566666666666	1.0	1.0
carrier_carrier	truth	20000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.27930235077867477	0.04594566666666666	1.0	1.0
carrier_carrier	truth	20000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.2561443395744899	0.04594566666666666	0.9998470948012232	1.0
carrier_carrier	truth	20000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.20199518834825436	0.04594566666666666	0.9955555555555555	0.8484848484848485
carrier_carrier	truth	20000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.23778022214572486	0.04594566666666666	0.9600408997955011	0.5521472392638037
carrier_carrier	truth	20000.0	[0.9, 1.01)	0.9	0.9443037974683546	158	0.3018918037705084	0.04594566666666666	0.8313396624472575	0.3037974683544304
carrier_carrier	truth	30000.0	[0.05, 0.15)	0.05	0.10985714285714286	35	0.9150899407235682	0.10093533333333334	1.0	1.0
carrier_carrier	truth	30000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.7409249649237781	0.10093533333333334	0.9999598393574297	1.0
carrier_carrier	truth	30000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.5780898570185592	0.10093533333333334	0.9998566308243729	0.989247311827957
carrier_carrier	truth	30000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.5074730435661442	0.10093533333333334	0.9990825688073395	0.944954128440367
carrier_carrier	truth	30000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.3983957004086147	0.10093533333333334	0.9923989898989899	0.8257575757575758
carrier_carrier	truth	30000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.36316407091703834	0.10093533333333334	0.9733742331288343	0.5521472392638037
carrier_carrier	truth	30000.0	[0.9, 1.01)	0.9	0.9443037974683546	158	0.3822301103883319	0.10093533333333334	0.8959177215189874	0.3987341772151899
carrier_carrier	truth	40000.0	[0.05, 0.15)	0.05	0.10985714285714286	35	0.9746938775510204	0.15520733333333334	0.999904761904762	1.0
