arm	method	genotype_class	threshold_years	n_replicates	n_null	mean_af	mean_statistic	null_mean	auc	power_rule	power_p_corrected	median_p
denovo_delayed_s0p01	decode	overall	1000.0	100	300	0.01875	0.0006550000000000002	0.00063	0.5157166666666667	0.0	0.01	0.6179401993355482
denovo_delayed_s0p05	decode	overall	1000.0	100	300	0.78925	0.0007640000000000001	0.00063	0.605	0.02	0.03	0.46179401993355484
denovo_s0p003	decode	overall	1000.0	100	300	0.4623499999999999	0.000632	0.00063	0.5128999999999999	0.0	0.0	0.6179401993355482
denovo_s0p004	decode	overall	1000.0	100	300	0.6128	0.000674	0.00063	0.5498000000000001	0.0	0.01	0.46179401993355484
denovo_s0p005	decode	overall	1000.0	100	300	0.7357	0.000607	0.00063	0.4774166666666666	0.0	0.0	0.6179401993355482
pulse_delayed_s0p005	decode	overall	1000.0	100	300	0.2801	0.0006660000000000003	0.00063	0.5312333333333334	0.0	0.0	0.6179401993355482
pulse_s0p003	decode	overall	1000.0	100	300	0.5155000000000001	0.0006209999999999999	0.00063	0.4832666666666667	0.0	0.0	0.6179401993355482
pulse_s0p004	decode	overall	1000.0	100	300	0.67495	0.000612	0.00063	0.48375	0.0	0.0	0.6179401993355482
pulse_s0p005	decode	overall	1000.0	100	300	0.8032499999999999	0.0006320000000000001	0.00063	0.5056999999999999	0.0	0.0	0.6179401993355482
denovo_delayed_s0p01	decode_meanp	overall	1000.0	100	300	0.01875	0.00935736544928	0.00937465100261	0.5043666666666666	0.0	0.0	0.48172757475083056
denovo_delayed_s0p05	decode_meanp	overall	1000.0	100	300	0.78925	0.07245760923273999	0.00937465100261	0.9923333333333333	0.96	0.96	0.0033222591362126247
denovo_s0p003	decode_meanp	overall	1000.0	100	300	0.4623499999999999	0.01206853407405	0.00937465100261	0.6288333333333334	0.13	0.13	0.34551495016611294
denovo_s0p004	decode_meanp	overall	1000.0	100	300	0.6128	0.01462075175429	0.00937465100261	0.7860333333333333	0.19	0.19	0.11960132890365449
denovo_s0p005	decode_meanp	overall	1000.0	100	300	0.7357	0.0177345788071	0.00937465100261	0.8707666666666667	0.33	0.34	0.026578073089700997
pulse_delayed_s0p005	decode_meanp	overall	1000.0	100	300	0.2801	0.008545806841459998	0.00937465100261	0.4214	0.0	0.0	0.5863787375415282
pulse_s0p003	decode_meanp	overall	1000.0	100	300	0.5155000000000001	0.011195868668579998	0.00937465100261	0.6120333333333333	0.04	0.04	0.3504983388704319
pulse_s0p004	decode_meanp	overall	1000.0	100	300	0.67495	0.014791211727649998	0.00937465100261	0.7738333333333333	0.18	0.18	0.12292358803986711
pulse_s0p005	decode_meanp	overall	1000.0	100	300	0.8032499999999999	0.01699303639678	0.00937465100261	0.8606333333333334	0.29	0.29	0.024916943521594685
denovo_delayed_s0p01	truth	carrier_carrier	1000.0	1	300	0.125	0.006493506493506494	0.0004786666666666667	1.0	1.0	1.0	0.0033222591362126247
denovo_delayed_s0p01	truth	carrier_noncarrier	1000.0	82	300	0.022865853658536585	0.0	0.0004786666666666667	0.001666666666666667	0.0	0.0	1.0
denovo_delayed_s0p01	truth	noncarrier_noncarrier	1000.0	100	300	0.01875	0.0004746840895470208	0.0004786666666666667	0.5111666666666665	0.04	0.04	0.5249169435215947
denovo_delayed_s0p01	truth	overall	1000.0	100	300	0.01875	0.0004700000000000001	0.0004786666666666667	0.4754500000000001	0.04	0.04	0.717607973421927
denovo_delayed_s0p05	truth	carrier_carrier	1000.0	100	300	0.78925	0.0009617734618910252	0.0004786666666666667	0.6693166666666667	0.19	0.19	0.19269102990033224
denovo_delayed_s0p05	truth	carrier_noncarrier	1000.0	100	300	0.78925	0.0	0.0004786666666666667	0.0016666666666666672	0.0	0.0	1.0
denovo_delayed_s0p05	truth	noncarrier_noncarrier	1000.0	78	300	0.7432692307692307	0.0027480517070808943	0.0004786666666666667	0.4528418803418802	0.34615384615384615	0.34615384615384615	0.717607973421927
denovo_delayed_s0p05	truth	overall	1000.0	100	300	0.78925	0.00047299999999999995	0.0004786666666666667	0.4923166666666667	0.02	0.02	0.5249169435215947
denovo_s0p003	truth	carrier_carrier	1000.0	92	300	0.4984239130434782	0.0013760165951298535	0.0004786666666666667	0.6746557971014492	0.41304347826086957	0.41304347826086957	0.10963455149501661
denovo_s0p003	truth	carrier_noncarrier	1000.0	100	300	0.4623499999999999	0.0	0.0004786666666666667	0.0016666666666666672	0.0	0.0	1.0
denovo_s0p003	truth	noncarrier_noncarrier	1000.0	97	300	0.4475257731958763	0.0012263917056049515	0.0004786666666666667	0.645721649484536	0.28865979381443296	0.28865979381443296	0.19269102990033224
denovo_s0p003	truth	overall	1000.0	100	300	0.4623499999999999	0.000495	0.0004786666666666667	0.5236000000000001	0.01	0.01	0.5249169435215947
denovo_s0p004	truth	carrier_carrier	1000.0	99	300	0.6188383838383837	0.00107177313692661	0.0004786666666666667	0.6869023569023569	0.2828282828282828	0.2828282828282828	0.19269102990033224
denovo_s0p004	truth	carrier_noncarrier	1000.0	100	300	0.6128	0.0	0.0004786666666666667	0.0016666666666666672	0.0	0.0	1.0
denovo_s0p004	truth	noncarrier_noncarrier	1000.0	95	300	0.5945789473684211	0.0018538614729127255	0.0004786666666666667	0.6594385964912282	0.3894736842105263	0.3894736842105263	0.10963455149501661
denovo_s0p004	truth	overall	1000.0	100	300	0.6128	0.0005010000000000001	0.0004786666666666667	0.5365500000000001	0.0	0.0	0.5249169435215947
denovo_s0p005	truth	carrier_carrier	1000.0	100	300	0.7357	0.0008566237309623672	0.0004786666666666667	0.6018166666666667	0.17	0.17	0.34551495016611294
denovo_s0p005	truth	carrier_noncarrier	1000.0	100	300	0.7357	0.0	0.0004786666666666667	0.0016666666666666672	0.0	0.0	1.0
denovo_s0p005	truth	noncarrier_noncarrier	1000.0	77	300	0.6690909090909091	0.002441102825724046	0.0004786666666666667	0.5722294372294372	0.4805194805194805	0.4805194805194805	0.10963455149501661
denovo_s0p005	truth	overall	1000.0	100	300	0.7357	0.000451	0.0004786666666666667	0.47101666666666675	0.0	0.0	0.5249169435215947
pulse_delayed_s0p005	truth	carrier_carrier	1000.0	88	300	0.3131818181818182	0.0023049967801488658	0.0004786666666666667	0.752064393939394	0.5795454545454546	0.5795454545454546	0.0033222591362126247
pulse_delayed_s0p005	truth	carrier_noncarrier	1000.0	100	300	0.2801	0.0	0.0004786666666666667	0.0016666666666666672	0.0	0.0	1.0
pulse_delayed_s0p005	truth	noncarrier_noncarrier	1000.0	100	300	0.2801	0.00069229122766739	0.0004786666666666667	0.6229499999999999	0.21	0.21	0.34551495016611294
pulse_delayed_s0p005	truth	overall	1000.0	100	300	0.2801	0.000492	0.0004786666666666667	0.5052500000000001	0.02	0.02	0.5249169435215947
pulse_s0p003	truth	carrier_carrier	1000.0	95	300	0.5405263157894737	0.0011851563302589044	0.0004786666666666667	0.688842105263158	0.3894736842105263	0.3894736842105263	0.10963455149501661
pulse_s0p003	truth	carrier_noncarrier	1000.0	99	300	0.5207070707070708	0.0	0.0004786666666666667	0.001666666666666667	0.0	0.0	1.0
pulse_s0p003	truth	noncarrier_noncarrier	1000.0	97	300	0.5021134020618556	0.0013681499290908077	0.0004786666666666667	0.7730927835051548	0.5154639175257731	0.5154639175257731	0.006644518272425249
pulse_s0p003	truth	overall	1000.0	100	300	0.5155000000000001	0.000509	0.0004786666666666667	0.5291166666666668	0.04	0.04	0.5249169435215947
pulse_s0p004	truth	carrier_carrier	1000.0	98	300	0.6880102040816327	0.0007026265883992405	0.0004786666666666667	0.5793197278911565	0.22448979591836735	0.22448979591836735	0.34551495016611294
pulse_s0p004	truth	carrier_noncarrier	1000.0	100	300	0.67495	0.0	0.0004786666666666667	0.0016666666666666672	0.0	0.0	1.0
pulse_s0p004	truth	noncarrier_noncarrier	1000.0	81	300	0.6060493827160495	0.0019471042673386162	0.0004786666666666667	0.6428395061728395	0.4691358024691358	0.4691358024691358	0.059800664451827246
pulse_s0p004	truth	overall	1000.0	100	300	0.67495	0.00046300000000000003	0.0004786666666666667	0.4753166666666667	0.0	0.0	0.717607973421927
pulse_s0p005	truth	carrier_carrier	1000.0	100	300	0.8032499999999999	0.00063818056420429	0.0004786666666666667	0.6015999999999999	0.14	0.14	0.34551495016611294
pulse_s0p005	truth	carrier_noncarrier	1000.0	97	300	0.7971649484536081	0.0	0.0004786666666666667	0.0016666666666666668	0.0	0.0	1.0
pulse_s0p005	truth	noncarrier_noncarrier	1000.0	70	300	0.7338571428571429	0.0024881736549935748	0.0004786666666666667	0.5479047619047619	0.45714285714285713	0.45714285714285713	0.10963455149501661
pulse_s0p005	truth	overall	1000.0	100	300	0.8032499999999999	0.0004730000000000001	0.0004786666666666667	0.48806666666666665	0.01	0.01	0.6212624584717608
denovo_delayed_s0p01	decode	overall	5000.0	100	300	0.01875	0.004948000000000001	0.004874333333333333	0.5168833333333333	0.0	0.0	0.5116279069767442
denovo_delayed_s0p05	decode	overall	5000.0	100	300	0.78925	0.161551	0.004874333333333333	1.0	1.0	1.0	0.0033222591362126247
denovo_s0p003	decode	overall	5000.0	100	300	0.4623499999999999	0.005385999999999998	0.004874333333333333	0.5853833333333334	0.06	0.06	0.3787375415282392
denovo_s0p004	decode	overall	5000.0	100	300	0.6128	0.005796	0.004874333333333333	0.6996833333333332	0.05	0.06	0.23255813953488372
denovo_s0p005	decode	overall	5000.0	100	300	0.7357	0.005980999999999999	0.004874333333333333	0.7200833333333333	0.07	0.08	0.20764119601328904
pulse_delayed_s0p005	decode	overall	5000.0	100	300	0.2801	0.00534	0.004874333333333333	0.58625	0.01	0.04	0.42524916943521596
pulse_s0p003	decode	overall	5000.0	100	300	0.5155000000000001	0.005366000000000001	0.004874333333333333	0.5971666666666666	0.02	0.03	0.42524916943521596
pulse_s0p004	decode	overall	5000.0	100	300	0.67495	0.005669	0.004874333333333333	0.6387500000000002	0.06	0.06	0.3554817275747508
pulse_s0p005	decode	overall	5000.0	100	300	0.8032499999999999	0.005684	0.004874333333333333	0.6555500000000001	0.07	0.07	0.28903654485049834
denovo_delayed_s0p01	decode_meanp	overall	5000.0	100	300	0.01875	0.0447460672569	0.04503344287813334	0.5003333333333334	0.0	0.0	0.5199335548172758
denovo_delayed_s0p05	decode_meanp	overall	5000.0	100	300	0.78925	0.302811408355	0.04503344287813334	0.9887999999999999	0.95	0.95	0.0033222591362126247
denovo_s0p003	decode_meanp	overall	5000.0	100	300	0.4623499999999999	0.0586322617014	0.04503344287813334	0.6252666666666666	0.14	0.15	0.3588039867109635
denovo_s0p004	decode_meanp	overall	5000.0	100	300	0.6128	0.07240916145219999	0.04503344287813334	0.7958333333333333	0.21	0.21	0.11960132890365449
denovo_s0p005	decode_meanp	overall	5000.0	100	300	0.7357	0.08862663132819998	0.04503344287813334	0.8720333333333333	0.4	0.4	0.026578073089700997
pulse_delayed_s0p005	decode_meanp	overall	5000.0	100	300	0.2801	0.0395338180013	0.04503344287813334	0.39470000000000005	0.0	0.0	0.6179401993355482
pulse_s0p003	decode_meanp	overall	5000.0	100	300	0.5155000000000001	0.054038422333099995	0.04503344287813334	0.6070666666666668	0.06	0.06	0.37209302325581395
pulse_s0p004	decode_meanp	overall	5000.0	100	300	0.67495	0.0725383134858	0.04503344287813334	0.7761999999999999	0.23	0.23	0.14119601328903653
pulse_s0p005	decode_meanp	overall	5000.0	100	300	0.8032499999999999	0.08488743044199999	0.04503344287813334	0.8654333333333334	0.36	0.36	0.026578073089700997
denovo_delayed_s0p01	truth	carrier_carrier	5000.0	1	300	0.125	0.07142857142857142	0.0026056666666666667	1.0	1.0	1.0	0.0033222591362126247
denovo_delayed_s0p01	truth	carrier_noncarrier	5000.0	82	300	0.022865853658536585	0.0	0.0026056666666666667	0.0	0.0	0.0	1.0
denovo_delayed_s0p01	truth	noncarrier_noncarrier	5000.0	100	300	0.01875	0.00261456627954003	0.0026056666666666667	0.5229833333333334	0.0	0.0	0.4418604651162791
denovo_delayed_s0p01	truth	overall	5000.0	100	300	0.01875	0.0026080000000000005	0.0026056666666666667	0.5202166666666668	0.0	0.0	0.4418604651162791
denovo_delayed_s0p05	truth	carrier_carrier	5000.0	100	300	0.78925	0.026669417428165643	0.0026056666666666667	0.9914999999999999	0.95	0.95	0.0033222591362126247
denovo_delayed_s0p05	truth	carrier_noncarrier	5000.0	100	300	0.78925	0.0	0.0026056666666666667	0.0	0.0	0.0	1.0
denovo_delayed_s0p05	truth	noncarrier_noncarrier	5000.0	78	300	0.7432692307692307	0.005799123003806457	0.0026056666666666667	0.5588034188034188	0.3333333333333333	0.358974358974359	0.18106312292358806
denovo_delayed_s0p05	truth	overall	5000.0	100	300	0.78925	0.0088	0.0026056666666666667	0.9872	0.89	0.89	0.0033222591362126247
denovo_s0p003	truth	carrier_carrier	5000.0	92	300	0.4984239130434782	0.008551958349254504	0.0026056666666666667	0.9317210144927535	0.6195652173913043	0.6521739130434783	0.0033222591362126247
denovo_s0p003	truth	carrier_noncarrier	5000.0	100	300	0.4623499999999999	0.0	0.0026056666666666667	0.0	0.0	0.0	1.0
denovo_s0p003	truth	noncarrier_noncarrier	5000.0	97	300	0.4475257731958763	0.00659365484729262	0.0026056666666666667	0.8976975945017184	0.5360824742268041	0.5567010309278351	0.006644518272425249
denovo_s0p003	truth	overall	5000.0	100	300	0.4623499999999999	0.002708	0.0026056666666666667	0.5629166666666667	0.01	0.01	0.4418604651162791
denovo_s0p004	truth	carrier_carrier	5000.0	99	300	0.6188383838383837	0.007387205908594338	0.0026056666666666667	0.8647474747474747	0.48484848484848486	0.5151515151515151	0.009966777408637873
denovo_s0p004	truth	carrier_noncarrier	5000.0	100	300	0.6128	0.0	0.0026056666666666667	0.0	0.0	0.0	1.0
denovo_s0p004	truth	noncarrier_noncarrier	5000.0	95	300	0.5945789473684211	0.008493478993439038	0.0026056666666666667	0.8948070175438596	0.6105263157894737	0.6210526315789474	0.0033222591362126247
