arm	method	genotype_class	threshold_years	quantile	statistic	null_mean	n_neutral_exceeding	p_corrected	significant_rule
denovo_delayed_s0p01	decode	overall	1000.0	0.1	0.0003	0.00063	282	0.9401993355481728	False
denovo_delayed_s0p01	decode	overall	1000.0	0.25	0.0004	0.00063	262	0.8737541528239202	False
denovo_delayed_s0p01	decode	overall	1000.0	0.5	0.0006	0.00063	185	0.6179401993355482	False
denovo_delayed_s0p01	decode	overall	1000.0	0.75	0.0009	0.00063	54	0.18272425249169436	False
denovo_delayed_s0p01	decode	overall	1000.0	0.9	0.001	0.00063	29	0.09966777408637874	False
denovo_delayed_s0p01	decode	overall	5000.0	0.1	0.0036	0.004874333333333333	268	0.893687707641196	False
denovo_delayed_s0p01	decode	overall	5000.0	0.25	0.0040750000000000005	0.004874333333333333	217	0.7242524916943521	False
denovo_delayed_s0p01	decode	overall	5000.0	0.5	0.00485	0.004874333333333333	149	0.4983388704318937	False
denovo_delayed_s0p01	decode	overall	5000.0	0.75	0.005725	0.004874333333333333	64	0.2159468438538206	False
denovo_delayed_s0p01	decode	overall	5000.0	0.9	0.0063100000000000005	0.004874333333333333	25	0.08637873754152824	False
denovo_delayed_s0p01	decode	overall	10000.0	0.1	0.01524	0.021820000000000003	268	0.893687707641196	False
denovo_delayed_s0p01	decode	overall	10000.0	0.25	0.0179	0.021820000000000003	225	0.7508305647840532	False
denovo_delayed_s0p01	decode	overall	10000.0	0.5	0.020900000000000002	0.021820000000000003	149	0.4983388704318937	False
denovo_delayed_s0p01	decode	overall	10000.0	0.75	0.02475	0.021820000000000003	73	0.24584717607973422	False
denovo_delayed_s0p01	decode	overall	10000.0	0.9	0.02961	0.021820000000000003	25	0.08637873754152824	False
denovo_delayed_s0p01	decode	overall	20000.0	0.1	0.05295	0.07635933333333332	259	0.8637873754152824	False
denovo_delayed_s0p01	decode	overall	20000.0	0.25	0.058675000000000005	0.07635933333333332	225	0.7508305647840532	False
denovo_delayed_s0p01	decode	overall	20000.0	0.5	0.0679	0.07635933333333332	167	0.5581395348837209	False
denovo_delayed_s0p01	decode	overall	20000.0	0.75	0.0881	0.07635933333333332	78	0.26245847176079734	False
denovo_delayed_s0p01	decode	overall	20000.0	0.9	0.11362000000000001	0.07635933333333332	23	0.07973421926910298	False
denovo_delayed_s0p01	decode	overall	30000.0	0.1	0.0831	0.13027566666666668	267	0.8903654485049833	False
denovo_delayed_s0p01	decode	overall	30000.0	0.25	0.1015	0.13027566666666668	207	0.6910299003322259	False
denovo_delayed_s0p01	decode	overall	30000.0	0.5	0.11775	0.13027566666666668	148	0.4950166112956811	False
denovo_delayed_s0p01	decode	overall	30000.0	0.75	0.151225	0.13027566666666668	76	0.2558139534883721	False
denovo_delayed_s0p01	decode	overall	30000.0	0.9	0.18007000000000004	0.13027566666666668	40	0.1362126245847176	False
denovo_delayed_s0p01	decode	overall	40000.0	0.1	0.10888	0.17705100000000001	271	0.9036544850498339	False
denovo_delayed_s0p01	decode	overall	40000.0	0.25	0.129125	0.17705100000000001	226	0.7541528239202658	False
denovo_delayed_s0p01	decode	overall	40000.0	0.5	0.16045	0.17705100000000001	147	0.49169435215946844	False
denovo_delayed_s0p01	decode	overall	40000.0	0.75	0.201625	0.17705100000000001	79	0.26578073089701	False
denovo_delayed_s0p01	decode	overall	40000.0	0.9	0.24221000000000015	0.17705100000000001	46	0.15614617940199335	False
denovo_delayed_s0p01	decode	overall	50000.0	0.1	0.13684	0.2158123333333333	262	0.8737541528239202	False
denovo_delayed_s0p01	decode	overall	50000.0	0.25	0.1572	0.2158123333333333	223	0.7441860465116279	False
denovo_delayed_s0p01	decode	overall	50000.0	0.5	0.1941	0.2158123333333333	152	0.5083056478405316	False
denovo_delayed_s0p01	decode	overall	50000.0	0.75	0.252275	0.2158123333333333	76	0.2558139534883721	False
denovo_delayed_s0p01	decode	overall	50000.0	0.9	0.2867	0.2158123333333333	49	0.16611295681063123	False
denovo_delayed_s0p01	decode	overall	75000.0	0.1	0.17395	0.28657900000000003	276	0.920265780730897	False
denovo_delayed_s0p01	decode	overall	75000.0	0.25	0.21157499999999999	0.28657900000000003	215	0.717607973421927	False
denovo_delayed_s0p01	decode	overall	75000.0	0.5	0.26295	0.28657900000000003	137	0.4584717607973422	False
denovo_delayed_s0p01	decode	overall	75000.0	0.75	0.33585	0.28657900000000003	78	0.26245847176079734	False
denovo_delayed_s0p01	decode	overall	75000.0	0.9	0.4198000000000001	0.28657900000000003	38	0.12956810631229235	False
denovo_delayed_s0p01	decode_meanp	overall	1000.0	0.1	0.0063153214069	0.00937465100261	274	0.9136212624584718	False
denovo_delayed_s0p01	decode_meanp	overall	1000.0	0.25	0.007508104181500001	0.00937465100261	215	0.717607973421927	False
denovo_delayed_s0p01	decode_meanp	overall	1000.0	0.5	0.0087501442235	0.00937465100261	145	0.4850498338870432	False
denovo_delayed_s0p01	decode_meanp	overall	1000.0	0.75	0.0104430020875	0.00937465100261	79	0.26578073089701	False
denovo_delayed_s0p01	decode_meanp	overall	1000.0	0.9	0.013667261246000002	0.00937465100261	29	0.09966777408637874	False
denovo_delayed_s0p01	decode_meanp	overall	5000.0	0.1	0.03054657346	0.04503344287813334	268	0.893687707641196	False
denovo_delayed_s0p01	decode_meanp	overall	5000.0	0.25	0.03617546947	0.04503344287813334	208	0.6943521594684385	False
denovo_delayed_s0p01	decode_meanp	overall	5000.0	0.5	0.041067943275000005	0.04503344287813334	155	0.5182724252491694	False
denovo_delayed_s0p01	decode_meanp	overall	5000.0	0.75	0.04997793682	0.04503344287813334	82	0.2757475083056478	False
