threshold_years	axis	k	mean	var_between_replicates	binomial_var_if_independent
10000.0	full	10000	0.007359	1.4992163879598662e-06	7.304845119e-07
10000.0	pairs	1000	0.0071800000000000015	8.241739130434783e-06	
10000.0	pairs	3000	0.007377777777777778	2.8787315743837483e-06	
10000.0	pairs	10000	0.007359	1.4992163879598662e-06	
10000.0	haplotypes	50	0.007197080436834035	1.5580644188888444e-05	
10000.0	haplotypes	100	0.007389423352766412	4.348889959814028e-06	
10000.0	haplotypes	200	0.007359	1.4992163879598662e-06	
30000.0	full	10000	0.10093533333333334	0.0006816570751393534	9.074739181822222e-06
30000.0	pairs	1000	0.10042999999999999	0.0007487810367892976	
30000.0	pairs	3000	0.10104777777777778	0.0007046491403443577	
30000.0	pairs	10000	0.10093533333333334	0.0006816570751393534	
30000.0	haplotypes	50	0.10351009808060257	0.0011280297046307262	
30000.0	haplotypes	100	0.10186526141604815	0.000897923044708738	
30000.0	haplotypes	200	0.10093533333333334	0.0006816570751393534	
50000.0	full	10000	0.20062233333333335	0.003674042342363434	1.603730127012222e-05
50000.0	pairs	1000	0.20062	0.0036818952508361207	
50000.0	pairs	3000	0.2004811111111111	0.0036805730348073826	
50000.0	pairs	10000	0.20062233333333335	0.003674042342363434	
50000.0	haplotypes	50	0.20047897889238855	0.003947029080658535	
50000.0	haplotypes	100	0.20035571993624998	0.0038768605089619266	
50000.0	haplotypes	200	0.20062233333333335	0.003674042342363434	
