position_0based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	selection_coefficient	replicate
0.0	2000	0.013	25420.759663272038	0.0	0
50000.0	2000	0.0125	13802.509897617172	0.0	0
100000.0	2000	0.0115	26652.997303798646	0.0	0
150000.0	2000	0.0125	17683.990112595362	0.0	0
200000.0	2000	0.012	13757.788719945022	0.0	0
250000.0	2000	0.012	14203.18841745662	0.0	0
300000.0	2000	0.0125	17314.28974865152	0.0	0
350000.0	2000	0.0115	43524.88434419577	0.0	0
400000.0	2000	0.012	15434.256263206336	0.0	0
450000.0	2000	0.0105	21035.53070123324	0.0	0
500000.0	2000	0.0125	13201.72782057528	0.0	0
550000.0	2000	0.012	49405.11426144809	0.0	0
600000.0	2000	0.0135	13130.858356137252	0.0	0
650000.0	2000	0.0125	10163.784272870138	0.0	0
700000.0	2000	0.0115	16717.498153636385	0.0	0
750000.0	2000	0.0115	47844.45315854535	0.0	0
800000.0	2000	0.0125	24860.72637208182	0.0	0
850000.0	2000	0.012	26136.396471700846	0.0	0
900000.0	2000	0.0135	17807.36339120836	0.0	0
950000.0	2000	0.014	27469.28349471737	0.0	0
1000000.0	2000	0.015	19505.878145343962	0.0	0
1050000.0	2000	0.015	11838.894452750192	0.0	0
1100000.0	2000	0.014	19971.398462553887	0.0	0
1150000.0	2000	0.015	34487.99722372472	0.0	0
1200000.0	2000	0.013	12789.71361736468	0.0	0
1250000.0	2000	0.0105	11060.131028748738	0.0	0
1300000.0	2000	0.011	18270.485527748227	0.0	0
1350000.0	2000	0.013	16453.230785296477	0.0	0
1400000.0	2000	0.0135	15860.391542533896	0.0	0
1450000.0	2000	0.0135	9220.948234158677	0.0	0
1500000.0	2000	0.015	16812.692762116247	0.0	0
1550000.0	2000	0.015	14828.19712500149	0.0	0
1600000.0	2000	0.015	13291.759916537598	0.0	0
1650000.0	2000	0.013	18746.05546633353	0.0	0
1700000.0	2000	0.013	20101.64834535507	0.0	0
1750000.0	2000	0.012	9261.977956460267	0.0	0
1800000.0	2000	0.009	29675.51414228038	0.0	0
1850000.0	2000	0.007	18782.97605394971	0.0	0
1900000.0	2000	0.0065	19074.800593268297	0.0	0
1950000.0	2000	0.0065	23542.187349066455	0.0	0
2000000.0	2000	0.0065	24675.98463637349	0.0	0
2050000.0	2000	0.0065	10378.992800067768	0.0	0
2100000.0	2000	0.006	19754.401317685886	0.0	0
2150000.0	2000	0.0065	14364.786507485022	0.0	0
2200000.0	2000	0.007	18444.17596685954	0.0	0
2250000.0	2000	0.0065	26228.746231551286	0.0	0
2300000.0	2000	0.006	8559.140690419203	0.0	0
2350000.0	2000	0.005	10296.582364689299	0.0	0
2400000.0	2000	0.0045	17565.76291006401	0.0	0
2450000.0	2000	0.005	24181.18052254287	0.0	0
2500000.0	2000	0.006	9987.324259196486	0.0	0
2550000.0	2000	0.006	11714.725798044294	0.0	0
2600000.0	2000	0.0055	28165.340868441963	0.0	0
2650000.0	2000	0.0065	13619.481113787666	0.0	0
2700000.0	2000	0.0065	22268.771063360047	0.0	0
