position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	2000	0.006114377703	24305.23132	3	0.0015	0.006114377703
10000	10001	2000	0.01428458324	29584.91914	4	0.002	0.01428458324
20000	20001	2000	0.01629485566	22416.2514	5	0.0025	0.01629485566
30000	30001	2000	0.01558867997	24885.66231	6	0.003	0.01558867997
40000	40001	2000	0.01568026395	18584.02133	6	0.003	0.01568026395
50000	50001	2000	0.01804259873	16528.45837	6	0.003	0.01804259873
60000	60001	2000	0.01884061878	10546.57323	6	0.003	0.01884061878
70000	70001	2000	0.0244361639	11741.4702	6	0.003	0.0244361639
80000	80001	2000	0.03241753009	7034.403718	7	0.0035	0.03241753009
90000	90001	2000	0.02775195375	5898.753613	7	0.0035	0.02775195375
100000	100001	2000	0.01840878614	9966.501033	7	0.0035	0.01840878614
110000	110001	2000	0.01848095363	17204.83044	7	0.0035	0.01848095363
120000	120001	2000	0.01715693939	21007.97113	7	0.0035	0.01715693939
130000	130001	2000	0.01789389811	21709.65566	7	0.0035	0.01789389811
140000	140001	2000	0.02099011546	14583.651	7	0.0035	0.02099011546
150000	150001	2000	0.01915821744	15553.79393	7	0.0035	0.01915821744
160000	160001	2000	0.02012002306	24100.38908	7	0.0035	0.02012002306
170000	170001	2000	0.02332612015	33391.97876	8	0.004	0.02332612015
180000	180001	2000	0.02410795256	29641.89682	7	0.0035	0.02410795256
190000	190001	2000	0.02283209065	24855.85417	7	0.0035	0.02283209065
200000	200001	2000	0.02334840528	24016.08151	7	0.0035	0.02334840528
210000	210001	2000	0.02418491048	25123.0547	7	0.0035	0.02418491048
220000	220001	2000	0.02654892277	21338.32998	7	0.0035	0.02654892277
230000	230001	2000	0.02162213887	17641.32607	7	0.0035	0.02162213887
240000	240001	2000	0.02259664942	13641.96376	7	0.0035	0.02259664942
250000	250001	2000	0.02829227235	11081.59465	7	0.0035	0.02829227235
260000	260001	2000	0.02893933908	6669.025634	7	0.0035	0.02893933908
270000	270001	2000	0.03107803108	5701.34231	7	0.0035	0.03107803108
280000	280001	2000	0.02597029783	6566.124793	6	0.003	0.02597029783
290000	290001	2000	0.02380700452	9416.807328	6	0.003	0.02380700452
300000	300001	2000	0.01843915243	10642.17232	6	0.003	0.01843915243
310000	310001	2000	0.01627433535	13806.15063	6	0.003	0.01627433535
320000	320001	2000	0.01825751121	13953.36775	6	0.003	0.01825751121
330000	330001	2000	0.02095481111	13923.6188	6	0.003	0.02095481111
340000	340001	2000	0.02286701493	11081.19688	6	0.003	0.02286701493
350000	350001	2000	0.02365075189	11586.98741	6	0.003	0.02365075189
360000	360001	2000	0.02274777912	11144.1812	6	0.003	0.02274777912
370000	370001	2000	0.0224251813	12008.25293	6	0.003	0.0224251813
380000	380001	2000	0.01604793379	11921.79102	6	0.003	0.01604793379
390000	390001	2000	0.0165023133	10900.39021	6	0.003	0.0165023133
400000	400001	2000	0.01650252247	15432.24966	6	0.003	0.01650252247
410000	410001	2000	0.01542137486	23731.85433	7	0.0035	0.01542137486
420000	420001	2000	0.01421322476	20603.10046	7	0.0035	0.01421322476
430000	430001	2000	0.0142920221	29455.06492	7	0.0035	0.0142920221
440000	440001	2000	0.01286324276	37396.5581	7	0.0035	0.01286324276
450000	450001	2000	0.01333498135	28520.59243	7	0.0035	0.01333498135
460000	460001	2000	0.01482522522	16192.09149	7	0.0035	0.01482522522
470000	470001	2000	0.01395052981	15040.21675	7	0.0035	0.01395052981
480000	480001	2000	0.01543138534	16957.44985	7	0.0035	0.01543138534
490000	490001	2000	0.01533434709	18652.75596	7	0.0035	0.01533434709
500000	500001	2000	0.01733190098	22100.43006	7	0.0035	0.01733190098
510000	510001	2000	0.01957372457	17121.77143	8	0.004	0.01957372457
520000	520001	2000	0.01947680412	13750.26438	8	0.004	0.01947680412
530000	530001	2000	0.02023025578	15683.55718	8	0.004	0.02023025578
540000	540001	2000	0.0207839975	19694.31125	8	0.004	0.0207839975
550000	550001	2000	0.01856938172	26746.67907	8	0.004	0.01856938172
560000	560001	2000	0.01543670941	19775.12691	8	0.004	0.01543670941
570000	570001	2000	0.01491146517	21014.8242	7	0.0035	0.01491146517
580000	580001	2000	0.01669786388	24765.83873	7	0.0035	0.01669786388
590000	590001	2000	0.01563742379	28707.47411	7	0.0035	0.01563742379
600000	600001	2000	0.01613052718	21506.63031	7	0.0035	0.01613052718
610000	610001	2000	0.01688933768	17959.71599	7	0.0035	0.01688933768
620000	620001	2000	0.01888601053	20790.241	7	0.0035	0.01888601053
630000	630001	2000	0.01874709891	17589.5744	7	0.0035	0.01874709891
640000	640001	2000	0.0173236869	15421.78197	7	0.0035	0.0173236869
650000	650001	2000	0.01612420392	14301.93578	7	0.0035	0.01612420392
660000	660001	2000	0.01946373479	13731.28109	7	0.0035	0.01946373479
670000	670001	2000	0.02113366422	17911.662	7	0.0035	0.02113366422
680000	680001	2000	0.02114145517	23499.78804	8	0.004	0.02114145517
690000	690001	2000	0.02309538612	16124.78765	10	0.005	0.02309538612
700000	700001	2000	0.02027167981	20827.68106	10	0.005	0.02027167981
710000	710001	2000	0.01865719415	13853.13161	10	0.005	0.01865719415
720000	720001	2000	0.02006089866	17727.21815	10	0.005	0.02006089866
730000	730001	2000	0.02240565967	9164.38458	10	0.005	0.02240565967
740000	740001	2000	0.02416079484	13021.42921	11	0.0055	0.02416079484
750000	750001	2000	0.02527953295	11504.19097	11	0.0055	0.02527953295
760000	760001	2000	0.02720702121	15035.35661	12	0.006	0.02720702121
770000	770001	2000	0.0273961146	13158.38189	12	0.006	0.0273961146
780000	780001	2000	0.02885713525	25268.20045	12	0.006	0.02885713525
790000	790001	2000	0.0256741701	18497.31079	12	0.006	0.0256741701
800000	800001	2000	0.03073284043	15030.04877	13	0.0065	0.03073284043
810000	810001	2000	0.02633941526	10182.59539	13	0.0065	0.02633941526
820000	820001	2000	0.02196842699	12101.20229	13	0.0065	0.02196842699
830000	830001	2000	0.02127967773	18283.26937	13	0.0065	0.02127967773
840000	840001	2000	0.02396141452	27935.45915	13	0.0065	0.02396141452
850000	850001	2000	0.02532044284	17852.20623	13	0.0065	0.02532044284
860000	860001	2000	0.02747324012	9520.457672	15	0.0075	0.02747324012
870000	870001	2000	0.02543212542	13545.65549	15	0.0075	0.02543212542
880000	880001	2000	0.02475625251	14977.05878	15	0.0075	0.02475625251
