position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	194	0.007327745369	24625.74029	1	0.005154639175	0.007327745369
10000	10001	194	0.0157683382	29746.30497	1	0.005154639175	0.0157683382
20000	20001	194	0.01798132814	21791.54502	1	0.005154639175	0.01798132814
30000	30001	194	0.01543400938	24135.74946	1	0.005154639175	0.01543400938
40000	40001	194	0.01637901717	18799.41902	1	0.005154639175	0.01637901717
50000	50001	194	0.01886471393	16447.64151	1	0.005154639175	0.01886471393
60000	60001	194	0.01814203108	10620.70395	1	0.005154639175	0.01814203108
70000	70001	194	0.02152224656	11605.08172	1	0.005154639175	0.02152224656
80000	80001	194	0.02727273308	7148.149978	1	0.005154639175	0.02727273308
90000	90001	194	0.02574081819	6134.718831	1	0.005154639175	0.02574081819
100000	100001	194	0.01635097098	10338.05828	1	0.005154639175	0.01635097098
110000	110001	194	0.01591820789	17234.92022	1	0.005154639175	0.01591820789
120000	120001	194	0.01422767679	20500.62504	1	0.005154639175	0.01422767679
130000	130001	194	0.0147884773	20638.83757	1	0.005154639175	0.0147884773
140000	140001	194	0.02110463717	14553.92889	1	0.005154639175	0.02110463717
150000	150001	194	0.01870186985	15700.41926	1	0.005154639175	0.01870186985
160000	160001	194	0.02067822598	23522.61026	1	0.005154639175	0.02067822598
170000	170001	194	0.02389206334	33589.18023	1	0.005154639175	0.02389206334
180000	180001	194	0.02403286532	29984.25387	1	0.005154639175	0.02403286532
190000	190001	194	0.02056388085	25408.60576	1	0.005154639175	0.02056388085
200000	200001	194	0.0216964898	25637.56958	1	0.005154639175	0.0216964898
210000	210001	194	0.02273397099	26283.466	1	0.005154639175	0.02273397099
220000	220001	194	0.02343896298	21920.49998	1	0.005154639175	0.02343896298
230000	230001	194	0.02032328623	17913.59635	1	0.005154639175	0.02032328623
240000	240001	194	0.02467769486	12986.86199	1	0.005154639175	0.02467769486
250000	250001	194	0.03123713303	11054.991	1	0.005154639175	0.03123713303
260000	260001	194	0.0325365505	6565.824692	1	0.005154639175	0.0325365505
270000	270001	194	0.03888924285	5249.80278	1	0.005154639175	0.03888924285
280000	280001	194	0.03183251482	6354.7463	1	0.005154639175	0.03183251482
290000	290001	194	0.02854737388	9121.549251	1	0.005154639175	0.02854737388
300000	300001	194	0.02318073062	10333.7743	1	0.005154639175	0.02318073062
310000	310001	194	0.02050691673	14024.22864	1	0.005154639175	0.02050691673
320000	320001	194	0.02168555213	14426.24174	1	0.005154639175	0.02168555213
330000	330001	194	0.02311646982	14343.16869	1	0.005154639175	0.02311646982
340000	340001	194	0.02488658316	12166.87809	1	0.005154639175	0.02488658316
350000	350001	194	0.02186639228	12482.90323	1	0.005154639175	0.02186639228
360000	360001	194	0.0209870088	11985.65945	1	0.005154639175	0.0209870088
370000	370001	194	0.02333396283	12720.63183	1	0.005154639175	0.02333396283
380000	380001	194	0.0190949134	12283.99085	1	0.005154639175	0.0190949134
390000	390001	194	0.01849569425	10979.56308	1	0.005154639175	0.01849569425
400000	400001	194	0.01999416957	15550.05845	1	0.005154639175	0.01999416957
410000	410001	194	0.0206107466	22397.42032	1	0.005154639175	0.0206107466
420000	420001	194	0.01995341351	19547.39466	1	0.005154639175	0.01995341351
430000	430001	194	0.02016833889	27814.7412	1	0.005154639175	0.02016833889
440000	440001	194	0.01778111163	34337.59513	1	0.005154639175	0.01778111163
450000	450001	194	0.01731094866	28096.7441	1	0.005154639175	0.01731094866
460000	460001	194	0.01909611582	16457.65689	1	0.005154639175	0.01909611582
470000	470001	194	0.01818757156	15426.09258	1	0.005154639175	0.01818757156
480000	480001	194	0.01906149681	17275.8518	1	0.005154639175	0.01906149681
490000	490001	194	0.01760700655	19165.21533	1	0.005154639175	0.01760700655
500000	500001	194	0.01792640375	22710.22229	1	0.005154639175	0.01792640375
510000	510001	194	0.02196246892	17435.18657	1	0.005154639175	0.02196246892
520000	520001	194	0.02330489241	13902.87093	1	0.005154639175	0.02330489241
530000	530001	194	0.02400832177	16049.46577	1	0.005154639175	0.02400832177
540000	540001	194	0.02329954496	19586.6939	1	0.005154639175	0.02329954496
550000	550001	194	0.02233505889	26509.0174	1	0.005154639175	0.02233505889
560000	560001	194	0.01807875979	19713.75507	1	0.005154639175	0.01807875979
570000	570001	194	0.01838326235	19527.20395	1	0.005154639175	0.01838326235
580000	580001	194	0.01878629208	21945.67261	1	0.005154639175	0.01878629208
590000	590001	194	0.01731747535	25347.90339	1	0.005154639175	0.01731747535
600000	600001	194	0.01832513143	19780.77269	1	0.005154639175	0.01832513143
610000	610001	194	0.01988971846	17627.1759	1	0.005154639175	0.01988971846
620000	620001	194	0.02080663601	20472.464	1	0.005154639175	0.02080663601
630000	630001	194	0.02013114117	18000.76321	1	0.005154639175	0.02013114117
640000	640001	194	0.02021643318	14989.36489	1	0.005154639175	0.02021643318
650000	650001	194	0.01878121617	13240.31512	1	0.005154639175	0.01878121617
660000	660001	194	0.02487365123	13027.86296	1	0.005154639175	0.02487365123
670000	670001	194	0.0300033286	17525.20135	1	0.005154639175	0.0300033286
680000	680001	194	0.03057845603	22438.97701	2	0.01030927835	0.03057845603
690000	690001	194	0.02823241223	15304.62671	2	0.01030927835	0.02823241223
700000	700001	194	0.0277812831	20281.10825	2	0.01030927835	0.0277812831
710000	710001	194	0.02689719046	13946.14491	2	0.01030927835	0.02689719046
720000	720001	194	0.02741429829	17436.76736	2	0.01030927835	0.02741429829
730000	730001	194	0.02656574451	8645.996577	2	0.01030927835	0.02656574451
740000	740001	194	0.02629043774	12888.51573	2	0.01030927835	0.02629043774
750000	750001	194	0.02724315123	11454.43972	2	0.01030927835	0.02724315123
760000	760001	194	0.03343881397	14766.90504	2	0.01030927835	0.03343881397
770000	770001	194	0.03586117956	12856.52397	2	0.01030927835	0.03586117956
780000	780001	194	0.03704511766	24008.18971	2	0.01030927835	0.03704511766
790000	790001	194	0.03274931338	17551.94827	2	0.01030927835	0.03274931338
800000	800001	194	0.03866948971	14509.95695	2	0.01030927835	0.03866948971
810000	810001	194	0.03475167228	9230.142326	2	0.01030927835	0.03475167228
820000	820001	194	0.02928382357	10991.91673	2	0.01030927835	0.02928382357
