position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	2000	0.006109254344	24287.5182	3	0.0015	0.006109254344
1000	1001	2000	0.00557845591	24898.01763	3	0.0015	0.00557845591
2000	2001	2000	0.0069614146	25106.33679	3	0.0015	0.0069614146
3000	3001	2000	0.008356478847	25530.17129	4	0.002	0.008356478847
4000	4001	2000	0.009715594621	26318.66189	5	0.0025	0.009715594621
5000	5001	2000	0.01096881909	27891.62204	7	0.0035	0.01096881909
6000	6001	2000	0.01197731015	28172.83668	7	0.0035	0.01197731015
7000	7001	2000	0.01273225366	28384.4062	7	0.0035	0.01273225366
8000	8001	2000	0.01333767377	28547.53759	9	0.0045	0.01333767377
9000	9001	2000	0.0138473333	29251.02328	10	0.005	0.0138473333
10000	10001	2000	0.0142716434	29643.40784	10	0.005	0.0142716434
11000	11001	2000	0.01463035537	29283.26103	10	0.005	0.01463035537
12000	12001	2000	0.01490635715	28375.97466	10	0.005	0.01490635715
13000	13001	2000	0.01512527404	27782.22461	10	0.005	0.01512527404
14000	14001	2000	0.0153112386	27402.37854	10	0.005	0.0153112386
15000	15001	2000	0.01545761307	26720.47334	10	0.005	0.01545761307
16000	16001	2000	0.01558865581	26137.45241	10	0.005	0.01558865581
17000	17001	2000	0.0157067206	25660.14818	10	0.005	0.0157067206
18000	18001	2000	0.0158781733	24678.67104	10	0.005	0.0158781733
19000	19001	2000	0.01608106511	23717.70715	10	0.005	0.01608106511
20000	20001	2000	0.0162712253	22464.81843	10	0.005	0.0162712253
21000	21001	2000	0.01644631027	21916.78737	10	0.005	0.01644631027
22000	22001	2000	0.01660267704	21362.18292	10	0.005	0.01660267704
23000	23001	2000	0.01670822823	21943.39391	11	0.0055	0.01670822823
24000	24001	2000	0.01675249436	21910.61731	11	0.0055	0.01675249436
25000	25001	2000	0.01671464086	22176.71288	11	0.0055	0.01671464086
26000	26001	2000	0.01655666763	22931.78556	11	0.0055	0.01655666763
27000	27001	2000	0.01629597197	23190.98572	11	0.0055	0.01629597197
28000	28001	2000	0.01598101169	24027.85971	11	0.0055	0.01598101169
29000	29001	2000	0.01571575814	25010.08007	11	0.0055	0.01571575814
30000	30001	2000	0.01555723764	24853.60948	11	0.0055	0.01555723764
31000	31001	2000	0.01544838311	24249.63122	11	0.0055	0.01544838311
32000	32001	2000	0.01541613882	23817.04818	11	0.0055	0.01541613882
33000	33001	2000	0.01541433117	24019.29081	11	0.0055	0.01541433117
34000	34001	2000	0.01542377766	22202.98393	11	0.0055	0.01542377766
35000	35001	2000	0.01547526414	20920.16787	11	0.0055	0.01547526414
36000	36001	2000	0.01552669404	19648.23087	11	0.0055	0.01552669404
37000	37001	2000	0.01556840892	18938.67749	11	0.0055	0.01556840892
38000	38001	2000	0.01559582731	18501.20198	11	0.0055	0.01559582731
39000	39001	2000	0.01562235692	18351.10027	11	0.0055	0.01562235692
40000	40001	2000	0.01567047549	18669.74343	11	0.0055	0.01567047549
41000	41001	2000	0.01569964985	18525.1509	11	0.0055	0.01569964985
42000	42001	2000	0.01570399617	18365.58922	11	0.0055	0.01570399617
43000	43001	2000	0.01571395317	17480.75375	11	0.0055	0.01571395317
44000	44001	2000	0.01574067704	16809.99879	11	0.0055	0.01574067704
45000	45001	2000	0.01582721442	16552.66824	11	0.0055	0.01582721442
46000	46001	2000	0.01609496026	16802.58447	11	0.0055	0.01609496026
47000	47001	2000	0.01648842775	17175.54271	11	0.0055	0.01648842775
48000	48001	2000	0.01695914621	16820.75854	11	0.0055	0.01695914621
49000	49001	2000	0.01747208568	16514.44001	11	0.0055	0.01747208568
50000	50001	2000	0.01800049141	16550.5166	11	0.0055	0.01800049141
51000	51001	2000	0.01850191531	15946.09263	11	0.0055	0.01850191531
52000	52001	2000	0.01892561588	14886.28578	11	0.0055	0.01892561588
53000	53001	2000	0.01920506815	14093.76663	11	0.0055	0.01920506815
54000	54001	2000	0.01933250213	13510.37624	11	0.0055	0.01933250213
55000	55001	2000	0.01935063365	12644.25521	11	0.0055	0.01935063365
56000	56001	2000	0.01927018112	12125.56325	11	0.0055	0.01927018112
57000	57001	2000	0.01918278108	11345.24905	11	0.0055	0.01918278108
58000	58001	2000	0.01904350864	11127.25301	11	0.0055	0.01904350864
59000	59001	2000	0.01888165819	11136.97842	11	0.0055	0.01888165819
60000	60001	2000	0.01879148742	10605.12461	11	0.0055	0.01879148742
61000	61001	2000	0.01875091218	10297.98968	11	0.0055	0.01875091218
62000	62001	2000	0.018724027	10457.6883	11	0.0055	0.018724027
63000	63001	2000	0.01886596315	10424.67662	11	0.0055	0.01886596315
64000	64001	2000	0.01915680721	10466.18128	11	0.0055	0.01915680721
65000	65001	2000	0.01957830055	10750.48819	11	0.0055	0.01957830055
66000	66001	2000	0.02033210595	10603.47048	11	0.0055	0.02033210595
67000	67001	2000	0.02126946462	10379.30964	12	0.006	0.02126946462
68000	68001	2000	0.02227292217	10654.57666	12	0.006	0.02227292217
69000	69001	2000	0.02332778164	11253.37912	13	0.0065	0.02332778164
70000	70001	2000	0.02441475578	11773.16148	13	0.0065	0.02441475578
71000	71001	2000	0.02555875886	12452.12337	13	0.0065	0.02555875886
72000	72001	2000	0.02669701498	12133.7476	13	0.0065	0.02669701498
73000	73001	2000	0.02778543629	11569.49859	13	0.0065	0.02778543629
74000	74001	2000	0.02881435201	10519.95465	13	0.0065	0.02881435201
75000	75001	2000	0.02978446304	9632.281092	13	0.0065	0.02978446304
76000	76001	2000	0.03070240717	8940.044181	13	0.0065	0.03070240717
77000	77001	2000	0.03145398959	8223.169601	13	0.0065	0.03145398959
78000	78001	2000	0.03197183439	7541.914509	13	0.0065	0.03197183439
79000	79001	2000	0.03226713952	7156.800144	13	0.0065	0.03226713952
80000	80001	2000	0.03234595465	7064.511511	13	0.0065	0.03234595465
81000	81001	2000	0.0322242763	7199.805166	13	0.0065	0.0322242763
82000	82001	2000	0.03194029496	7104.014486	13	0.0065	0.03194029496
83000	83001	2000	0.03153707797	6773.989776	13	0.0065	0.03153707797
84000	84001	2000	0.03104565444	6441.805159	13	0.0065	0.03104565444
85000	85001	2000	0.03058146958	6166.972484	13	0.0065	0.03058146958
86000	86001	2000	0.03027808313	5960.398393	13	0.0065	0.03027808313
87000	87001	2000	0.02994851913	5804.730158	13	0.0065	0.02994851913
88000	88001	2000	0.02942221486	5779.96759	13	0.0065	0.02942221486
89000	89001	2000	0.02857435126	5871.991132	13	0.0065	0.02857435126
90000	90001	2000	0.02767778385	5916.273879	12	0.006	0.02767778385
91000	91001	2000	0.0264423054	6045.411108	12	0.006	0.0264423054
92000	92001	2000	0.02497311143	6272.674042	11	0.0055	0.02497311143
93000	93001	2000	0.02345270131	6643.218379	11	0.0055	0.02345270131
94000	94001	2000	0.0219892543	7120.392779	11	0.0055	0.0219892543
95000	95001	2000	0.02080355274	7639.518712	11	0.0055	0.02080355274
96000	96001	2000	0.02011327607	8119.799421	11	0.0055	0.02011327607
97000	97001	2000	0.01943212231	8383.735279	11	0.0055	0.01943212231
98000	98001	2000	0.01886804438	8828.173662	11	0.0055	0.01886804438
99000	99001	2000	0.01854307107	9446.509941	11	0.0055	0.01854307107
100000	100001	2000	0.01837106729	9999.552723	11	0.0055	0.01837106729
101000	101001	2000	0.01826229414	10777.12774	11	0.0055	0.01826229414
102000	102001	2000	0.01809615601	11731.33056	11	0.0055	0.01809615601
103000	103001	2000	0.0179608119	12648.75406	11	0.0055	0.0179608119
104000	104001	2000	0.01785360832	14069.79936	11	0.0055	0.01785360832
105000	105001	2000	0.01784409867	14803.9701	11	0.0055	0.01784409867
106000	106001	2000	0.01791505267	15172.68119	11	0.0055	0.01791505267
107000	107001	2000	0.01802549541	15430.21214	11	0.0055	0.01802549541
108000	108001	2000	0.01816249661	15997.97305	11	0.0055	0.01816249661
109000	109001	2000	0.01831398787	16495.0171	11	0.0055	0.01831398787
110000	110001	2000	0.01845978917	17245.93291	11	0.0055	0.01845978917
111000	111001	2000	0.01858845269	17539.44229	11	0.0055	0.01858845269
112000	112001	2000	0.01866901688	18157.885	11	0.0055	0.01866901688
113000	113001	2000	0.01869981429	18976.32711	11	0.0055	0.01869981429
114000	114001	2000	0.01862938301	20303.67544	11	0.0055	0.01862938301
115000	115001	2000	0.0184709086	21056.45002	11	0.0055	0.0184709086
116000	116001	2000	0.01826709001	21707.3908	11	0.0055	0.01826709001
117000	117001	2000	0.01801369912	21896.93223	11	0.0055	0.01801369912
118000	118001	2000	0.01772509186	21437.59279	11	0.0055	0.01772509186
119000	119001	2000	0.01742398051	21218.75261	11	0.0055	0.01742398051
120000	120001	2000	0.01712853945	21050.26548	11	0.0055	0.01712853945
121000	121001	2000	0.01685565886	20995.2416	11	0.0055	0.01685565886
122000	122001	2000	0.01666782438	21963.74109	12	0.006	0.01666782438
123000	123001	2000	0.01654614762	22535.34768	13	0.0065	0.01654614762
124000	124001	2000	0.01645468474	22723.56703	13	0.0065	0.01645468474
125000	125001	2000	0.01639432201	22534.43214	13	0.0065	0.01639432201
126000	126001	2000	0.01648189634	22104.54745	13	0.0065	0.01648189634
127000	127001	2000	0.01674121538	22395.54143	13	0.0065	0.01674121538
128000	128001	2000	0.01705902667	23929.55251	13	0.0065	0.01705902667
129000	129001	2000	0.01743223762	22779.72092	13	0.0065	0.01743223762
130000	130001	2000	0.01787139525	21677.95836	13	0.0065	0.01787139525
131000	131001	2000	0.01838310931	19896.81662	13	0.0065	0.01838310931
132000	132001	2000	0.01891114869	18529.54436	13	0.0065	0.01891114869
133000	133001	2000	0.01940809617	17439.46648	13	0.0065	0.01940809617
134000	134001	2000	0.01983796033	16936.8795	13	0.0065	0.01983796033
135000	135001	2000	0.02018719216	16585.04586	13	0.0065	0.02018719216
136000	136001	2000	0.02045253025	15730.89377	13	0.0065	0.02045253025
137000	137001	2000	0.02067333271	15141.81234	13	0.0065	0.02067333271
138000	138001	2000	0.02081361359	14931.84966	13	0.0065	0.02081361359
139000	139001	2000	0.0208983502	15014.61763	13	0.0065	0.0208983502
140000	140001	2000	0.02092918972	14652.04269	13	0.0065	0.02092918972
141000	141001	2000	0.02090776668	14531.25788	13	0.0065	0.02090776668
142000	142001	2000	0.0208048515	14643.53493	13	0.0065	0.0208048515
143000	143001	2000	0.02059494254	14897.6874	13	0.0065	0.02059494254
144000	144001	2000	0.0203490802	13804.48959	13	0.0065	0.0203490802
145000	145001	2000	0.02010613505	13056.82514	13	0.0065	0.02010613505
146000	146001	2000	0.01987627334	12773.9379	14	0.007	0.01987627334
147000	147001	2000	0.01966014053	12968.4342	14	0.007	0.01966014053
148000	148001	2000	0.01949783586	13704.01174	14	0.007	0.01949783586
149000	149001	2000	0.01933208788	14469.00095	14	0.007	0.01933208788
150000	150001	2000	0.01911672219	15646.22604	14	0.007	0.01911672219
