position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	857	0.005192930898	24202.18923	0	0	0.005192930898
10000	10001	857	0.01321004931	29365.32082	1	0.001166861144	0.01321004931
20000	20001	857	0.01512617501	22377.09669	2	0.002333722287	0.01512617501
30000	30001	857	0.01399784278	24612.81888	2	0.002333722287	0.01399784278
40000	40001	857	0.0139716013	18861.79944	2	0.002333722287	0.0139716013
50000	50001	857	0.01570590978	16607.41565	2	0.002333722287	0.01570590978
60000	60001	857	0.01757263659	10572.26584	2	0.002333722287	0.01757263659
70000	70001	857	0.02404139383	11624.94838	2	0.002333722287	0.02404139383
80000	80001	857	0.03258663281	7055.023058	3	0.003500583431	0.03258663281
90000	90001	857	0.02777037585	6014.065332	3	0.003500583431	0.02777037585
100000	100001	857	0.01811514397	10283.30248	3	0.003500583431	0.01811514397
110000	110001	857	0.01809940166	17476.2885	3	0.003500583431	0.01809940166
120000	120001	857	0.01683264574	21251.69485	3	0.003500583431	0.01683264574
130000	130001	857	0.01775352841	21943.3602	3	0.003500583431	0.01775352841
140000	140001	857	0.02018611367	14554.46155	3	0.003500583431	0.02018611367
150000	150001	857	0.01869177084	15708.18647	3	0.003500583431	0.01869177084
160000	160001	857	0.02010726135	24559.24211	3	0.003500583431	0.02010726135
170000	170001	857	0.02309159074	33898.45341	3	0.003500583431	0.02309159074
180000	180001	857	0.02372738024	29694.73577	2	0.002333722287	0.02372738024
190000	190001	857	0.02348745507	24909.72214	2	0.002333722287	0.02348745507
200000	200001	857	0.02392616311	24011.49426	2	0.002333722287	0.02392616311
210000	210001	857	0.02416291774	25096.7828	2	0.002333722287	0.02416291774
220000	220001	857	0.02570159529	21412.13995	2	0.002333722287	0.02570159529
230000	230001	857	0.02025692228	17747.96803	2	0.002333722287	0.02025692228
240000	240001	857	0.02154978591	13922.69249	2	0.002333722287	0.02154978591
250000	250001	857	0.02685026492	11219.06381	2	0.002333722287	0.02685026492
260000	260001	857	0.02708790413	6744.694692	2	0.002333722287	0.02708790413
270000	270001	857	0.0297973552	5782.323361	2	0.002333722287	0.0297973552
280000	280001	857	0.02553600201	6681.208896	2	0.002333722287	0.02553600201
290000	290001	857	0.02465969	9394.618747	2	0.002333722287	0.02465969
300000	300001	857	0.01736608603	10543.73214	2	0.002333722287	0.01736608603
310000	310001	857	0.01381195121	13587.0568	2	0.002333722287	0.01381195121
320000	320001	857	0.01451250251	14140.44468	2	0.002333722287	0.01451250251
330000	330001	857	0.01705464112	14218.24186	2	0.002333722287	0.01705464112
340000	340001	857	0.01794715786	11433.06555	2	0.002333722287	0.01794715786
350000	350001	857	0.01978942024	11998.19767	2	0.002333722287	0.01978942024
360000	360001	857	0.01906058767	11511.30615	2	0.002333722287	0.01906058767
370000	370001	857	0.01892612945	12215.9027	2	0.002333722287	0.01892612945
380000	380001	857	0.01315379446	12218.09871	2	0.002333722287	0.01315379446
390000	390001	857	0.01474065553	11071.88703	2	0.002333722287	0.01474065553
400000	400001	857	0.015187725	15455.44372	2	0.002333722287	0.015187725
410000	410001	857	0.01429287413	23968.78336	2	0.002333722287	0.01429287413
420000	420001	857	0.01324215513	20485.39235	2	0.002333722287	0.01324215513
430000	430001	857	0.01276793866	29318.04921	2	0.002333722287	0.01276793866
440000	440001	857	0.01140624939	37136.98774	2	0.002333722287	0.01140624939
450000	450001	857	0.01193806995	28275.56562	2	0.002333722287	0.01193806995
460000	460001	857	0.014216999	16128.96692	2	0.002333722287	0.014216999
470000	470001	857	0.01300819755	15047.4167	2	0.002333722287	0.01300819755
480000	480001	857	0.01460245816	16870.76538	2	0.002333722287	0.01460245816
490000	490001	857	0.01496475312	18434.45326	2	0.002333722287	0.01496475312
500000	500001	857	0.01687935898	21870.69281	2	0.002333722287	0.01687935898
