position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations
0	1	2000	0.004214186248468655	20748.842727144503
1000	1001	2000	0.003276934704434512	20706.835000726067
2000	2001	2000	0.00432888240151378	20516.150248460723
3000	3001	2000	0.005633338400118005	19527.0831057706
4000	4001	2000	0.007121569041924945	18723.606662695496
5000	5001	2000	0.008680169321300578	17924.835006309535
6000	6001	2000	0.010176604101170534	17543.279874939883
7000	7001	2000	0.011301737547573515	16898.404801707493
8000	8001	2000	0.012120645796944744	16707.45084756084
9000	9001	2000	0.012708791567566772	16912.947723577847
10000	10001	2000	0.012975851685424035	16062.060441179736
11000	11001	2000	0.013081382256159046	15117.707440881704
12000	12001	2000	0.01329419094921685	14950.96932553559
13000	13001	2000	0.013501970753668449	14462.098225737003
14000	14001	2000	0.013684092248782599	14422.947768802742
15000	15001	2000	0.013922594810582483	14571.206615819656
16000	16001	2000	0.014239631890044178	14435.168244481181
17000	17001	2000	0.014659248437873609	14019.991058166852
18000	18001	2000	0.01508430448501905	13683.955429078082
19000	19001	2000	0.015461793956094495	13468.64969585858
20000	20001	2000	0.015818173769783617	13682.482861199574
21000	21001	2000	0.016100609140554622	13660.650948435377
22000	22001	2000	0.016287392572640797	13995.854406138722
23000	23001	2000	0.0164097931741147	13647.199487288597
24000	24001	2000	0.016472864990150195	13310.260571453142
25000	25001	2000	0.016529376347328154	13382.551358438024
26000	26001	2000	0.016791084791727716	13728.582743309878
27000	27001	2000	0.01704523602432696	14546.584298558877
28000	28001	2000	0.017281200307559922	15250.994282870037
29000	29001	2000	0.017583772555323784	15862.33749317389
30000	30001	2000	0.017878150617688528	16801.05187515083
31000	31001	2000	0.01819916438824956	17063.52878127729
32000	32001	2000	0.018534446895977056	16279.829487958916
33000	33001	2000	0.018833882996767113	15741.720597434698
34000	34001	2000	0.019167813307435538	14114.956005720589
35000	35001	2000	0.019459846971947865	13122.80607594623
36000	36001	2000	0.020016589812595267	11900.73347658694
37000	37001	2000	0.020502073325083036	11373.428615563216
38000	38001	2000	0.02098841628832664	10942.818439925359
39000	39001	2000	0.021378488829143782	10656.190940990939
40000	40001	2000	0.02183701160569104	10499.08294984365
41000	41001	2000	0.02229917087876142	10711.611713863142
42000	42001	2000	0.02260336292125743	10777.007260777873
43000	43001	2000	0.02278089263959599	10542.245414929872
44000	44001	2000	0.022884556772237857	10396.462607945752
45000	45001	2000	0.022785517898881027	10174.76486505241
46000	46001	2000	0.022437907529323745	10408.92410355174
47000	47001	2000	0.02204760629613242	11169.543329947846
48000	48001	2000	0.02163453934076057	11704.354598640073
49000	49001	2000	0.021276831078045268	12420.15211928691
50000	50001	2000	0.020962768128831712	13025.543462226742
51000	51001	2000	0.020709820903041052	13638.108403545371
52000	52001	2000	0.020596003366117648	13938.327988757568
53000	53001	2000	0.020666702636701995	14098.896964548025
54000	54001	2000	0.020888300851346013	14031.277002917164
55000	55001	2000	0.021192339224164348	14615.884051186604
56000	56001	2000	0.02158886433550668	15033.08314531415
57000	57001	2000	0.02196373668120979	15518.709914438321
58000	58001	2000	0.022214098418160785	16879.116772273745
59000	59001	2000	0.022313752275645984	17418.524806022986
60000	60001	2000	0.02229040479371323	19478.692326065284
61000	61001	2000	0.02204696424638221	20261.544675897374
62000	62001	2000	0.021650703312485618	22395.032143928056
63000	63001	2000	0.021061377938977426	24317.02499984284
64000	64001	2000	0.020306278151280492	25009.27554682185
65000	65001	2000	0.019517106663729685	25662.478956775347
66000	66001	2000	0.01874002194108946	25061.40383741624
67000	67001	2000	0.018078684587667673	25174.924391393466
68000	68001	2000	0.017526369845491083	25828.70607573647
69000	69001	2000	0.017001583757668196	25317.45522601101
70000	70001	2000	0.01657519471630007	24698.277281571725
71000	71001	2000	0.016363023002431386	23989.4477166204
72000	72001	2000	0.016222752196071694	22186.438408330607
73000	73001	2000	0.016138754661217114	20540.018637392983
74000	74001	2000	0.01609705932317509	18697.305964305888
75000	75001	2000	0.016070109303515653	17519.44045326204
76000	76001	2000	0.0160675308508863	15984.624233635304
77000	77001	2000	0.016094596863385376	15241.429576448425
78000	78001	2000	0.016134829842722586	14479.297534465648
79000	79001	2000	0.016112391202355844	14129.077219862564
80000	80001	2000	0.016033493441855336	13993.208607960823
81000	81001	2000	0.01595297812256653	14024.015910509715
82000	82001	2000	0.015897515386649252	14340.13941347683
83000	83001	2000	0.015874772427697234	15377.404388590032
84000	84001	2000	0.015859615334916526	16729.608992665057
85000	85001	2000	0.015967654985882096	17976.569325707034
86000	86001	2000	0.01615002509814086	18822.493420327046
87000	87001	2000	0.016344860052072904	19303.48638069173
88000	88001	2000	0.016516015634579974	20150.00526626036
89000	89001	2000	0.01674395930409628	20933.56569872018
90000	90001	2000	0.016955135279303403	21561.09701247719
91000	91001	2000	0.017070770963300647	23164.494584067845
92000	92001	2000	0.01709804642288806	23313.931504738837
93000	93001	2000	0.01703502534683494	23196.806081981857
94000	94001	2000	0.016879141058337727	23006.152972522017
95000	95001	2000	0.01666449392317413	22544.66471501868
96000	96001	2000	0.016432890512343583	21410.092145850573
97000	97001	2000	0.016257609494141404	20225.72859675852
98000	98001	2000	0.01612241922165749	19963.980499926354
99000	99001	2000	0.016049757199085385	18515.21594830926
100000	100001	2000	0.015932599416719487	17262.669311937723
101000	101001	2000	0.015804022067379565	17356.627638134192
102000	102001	2000	0.015682031296748614	17468.60764242908
103000	103001	2000	0.015548069068028107	18920.063963097145
104000	104001	2000	0.015433667301622156	20007.433824068397
105000	105001	2000	0.01530779011227236	21096.309229672275
106000	106001	2000	0.015192120445410948	21271.541637912593
107000	107001	2000	0.015151051880004407	21079.336160657498
108000	108001	2000	0.015192145578171865	20011.77319956271
109000	109001	2000	0.01529445148813673	19241.06318359335
110000	110001	2000	0.015467970516184855	19158.86672682264
111000	111001	2000	0.01575934629888592	18808.30281409709
112000	112001	2000	0.016114414927536843	18529.221924709404
113000	113001	2000	0.01649627749556198	19104.75808058387
114000	114001	2000	0.016885674299169266	19861.66642575273
115000	115001	2000	0.017223140574217328	20715.848665440022
116000	116001	2000	0.017577083541234377	20317.848871161477
117000	117001	2000	0.017881723505565682	20584.782860560586
118000	118001	2000	0.018095796058244948	20892.430719058208
119000	119001	2000	0.018239581080912195	21649.169061695837
120000	120001	2000	0.0182804599987543	22945.421966696416
121000	121001	2000	0.018214878554556384	22776.612546589327
122000	122001	2000	0.01807946766562382	22456.77673068363
123000	123001	2000	0.017837180544504706	22570.537408524975
124000	124001	2000	0.017519966536946346	22529.582281800853
125000	125001	2000	0.017148029626922925	22455.568291155632
126000	126001	2000	0.016730914835227016	22616.59359143876
127000	127001	2000	0.01629891887020381	22865.442998320264
128000	128001	2000	0.01592365534469898	23100.735511680658
129000	129001	2000	0.01559569481944939	23335.99222422142
130000	130001	2000	0.015339097864798073	22212.205247540787
131000	131001	2000	0.015148075386164106	21497.96876387648
132000	132001	2000	0.015010870067308838	20698.13859833598
133000	133001	2000	0.015065656622635584	19759.73833369876
134000	134001	2000	0.015186924315159587	18865.219246758938
135000	135001	2000	0.015370150195417862	18601.014655563715
136000	136001	2000	0.015573961930109938	19078.576636036996
137000	137001	2000	0.015778660421911596	18955.396200367763
138000	138001	2000	0.016006198513595898	18950.524237814792
139000	139001	2000	0.016173013278428374	19193.53400925088
140000	140001	2000	0.016298892251843923	19414.555959657948
141000	141001	2000	0.016402626863112797	19967.73753177115
142000	142001	2000	0.01649805486225733	21857.927894211385
143000	143001	2000	0.016614398515302657	22912.632181788882
144000	144001	2000	0.01676219070163683	23839.4931578024
145000	145001	2000	0.016925265432418606	23843.52355697639
146000	146001	2000	0.017094590655664814	24423.88923116845
147000	147001	2000	0.01721074767944909	24921.4514215805
148000	148001	2000	0.017273700887907934	25298.906552137898
149000	149001	2000	0.01736296211051871	25498.19342917799
150000	150001	2000	0.017473325190574086	25335.386346253577
151000	151001	2000	0.017521882313159595	24865.30692772121
152000	152001	2000	0.01758455178656383	24064.457889694662
