population	chromosome	start_0based	end_0based_exclusive	highlight_label	evidence_level	rationale	reference_url
AFR	22	35700000	36300000	APOL1	high	APOL1 has experimentally supported trypanosome-resistance variants and a strong African selection signal; RBFOX2 is only the peak-overlap gene.	https://pmc.ncbi.nlm.nih.gov/articles/PMC2980843/
AMR	2	134000000	137000000	LCT	moderate	The selected lactase-persistence variants are enhancers within MCM6 that regulate LCT; the AMR signal may reflect local European ancestry rather than an independent sweep.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3980415/
AMR	6	120900000	122100000	TBC1D32	moderate	A Native American ancestry selection scan identified a selected TBC1D32 eQTL in this locus; this is stronger evidence than proximity to GJA1.	https://pmc.ncbi.nlm.nih.gov/articles/PMC8763095/
AMR	12	110900000	112900000	ALDH2 region	provisional	This is a broad 12q24 selected haplotype spanning SH2B3, ATXN2, ACAD10, ALDH2, and HECTD4; AMR ancestry and the causal target remain unresolved.	https://pmc.ncbi.nlm.nih.gov/articles/PMC8927298/
AMR	16	47000000	48000000	ITFG1/PHKB	positional_only	The strongest subpeak overlaps ITFG1 and two nearby subpeaks overlap PHKB; no compelling human population-specific causal literature was located.	https://www.ncbi.nlm.nih.gov/gene/81533
EAS	4	98500000	100000000	ADH1B	high	Functional ADH1B coding variation has replicated East Asian selection evidence; ADH6 is only the nearest automatic annotation.	https://pmc.ncbi.nlm.nih.gov/articles/PMC4827102/
EAS	16	67500000	68000000	RANBP10	positional_only	The single barely-above-cutoff peak overlaps RANBP10, but no locus-specific East Asian selection or functional target evidence was located.	https://www.ncbi.nlm.nih.gov/gene/57610
EAS	17	62800000	63500000	TANC2	moderate	An independent East Asian haplotype scan reported a recent selective sweep at the TANC2 locus.	https://www.nature.com/articles/s41467-018-07345-0
EUR	2	134000000	137000000	LCT	high	The selected lactase-persistence variants are enhancers within MCM6 that regulate LCT, making LCT the phenotypic target label.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3980415/
EUR	5	130000000	132000000	RAPGEF6 locus	moderate	The peak overlaps RAPGEF6 and an independent CEU HMM scan reported the same 5q31 interval, but that study did not resolve a causal gene.	https://ccgg.temple.edu/heylab/pdf/publications/Chen_Hey_Slatkin_2015_TPB.pdf
EUR	11	88500000	89500000	TYR	high	The cluster spans GRM5-TYR, and functional TYR pigmentation alleles have direct ancient-DNA evidence of recent positive selection in Europeans.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3977302/
EUR	12	110900000	112900000	SH2B3/ALDH2	provisional	The European 12q24 haplotype includes selected SH2B3 missense variation and selected regulatory variants affecting ALDH2; published evidence does not uniquely resolve the target.	https://pmc.ncbi.nlm.nih.gov/articles/PMC8927298/
EUR	15	47900000	48700000	SLC24A5	high	The functional pigmentation variant rs1426654 in SLC24A5 has strong West Eurasian and South Asian selection evidence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3820762/
MID	11	88500000	89500000	TYR	moderate	The peak falls within TYR and functional pigmentation alleles show strong recent selection in West Eurasia, although Middle Eastern causality is not yet demonstrated here.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3977302/
MID	12	110900000	112900000	ALDH2 region	moderate	Arabian Peninsula and Iranian scans identify this broad ATXN2-ACAD10-ALDH2 selected region; the causal gene remains unresolved.	https://academic.oup.com/mbe/article/36/3/575/5288780
MID	15	47900000	48700000	SLC24A5	high	Arabian Peninsula populations show strong selection at SLC24A5, supported by the functional pigmentation variant rs1426654.	https://academic.oup.com/mbe/article/36/3/575/5288780
SAS	15	47900000	48700000	SLC24A5	high	The functional rs1426654 allele and local haplotype evidence identify SLC24A5 as the South Asian selection target.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3820762/
