position_0based	n_pairs	observed_fraction_recent	neutral_mean_fraction_recent	neutral_median_fraction_recent	neutral_ci95_lower	neutral_ci95_upper	neutral_exceedances	n_neutral_replicates	p_upper	q_bh
0.0	2000	0.002	0.00236	0.0025	0.0005	0.004	69	100	0.693069306930693	0.9687118648332431
10000.0	2000	0.0045	0.003885	0.004	0.0015	0.0065	41	100	0.4158415841584158	0.9581603321622485
20000.0	2000	0.0045	0.00413	0.004	0.0015	0.006762499999999996	47	100	0.4752475247524752	0.9581603321622485
30000.0	2000	0.0045	0.00435	0.0045	0.0015	0.0072624999999999955	55	100	0.5544554455445545	0.9659502535619418
40000.0	2000	0.0045	0.004485	0.0045	0.0015	0.0072624999999999955	61	100	0.6138613861386139	0.9687118648332431
50000.0	2000	0.0045	0.004615	0.0045	0.0017375000000000001	0.0072624999999999955	64	100	0.6435643564356436	0.9687118648332431
60000.0	2000	0.0045	0.0047350000000000005	0.0045	0.002	0.0072624999999999955	65	100	0.6534653465346535	0.9687118648332431
70000.0	2000	0.0045	0.004935	0.005	0.002	0.007762499999999996	70	100	0.7029702970297029	0.9687118648332431
80000.0	2000	0.0055	0.005115	0.005	0.0022375	0.008262499999999996	47	100	0.4752475247524752	0.9581603321622485
90000.0	2000	0.0055	0.005274999999999998	0.005	0.0025	0.0085	48	100	0.48514851485148514	0.9581603321622485
100000.0	2000	0.0055	0.005429999999999998	0.0055	0.0025	0.008762499999999996	52	100	0.5247524752475248	0.9581603321622485
110000.0	2000	0.0055	0.005584999999999999	0.0055	0.0025	0.008762499999999996	58	100	0.5841584158415841	0.9687118648332431
120000.0	2000	0.0055	0.005769999999999997	0.006	0.0027375	0.009	61	100	0.6138613861386139	0.9687118648332431
130000.0	2000	0.0055	0.005979999999999998	0.006	0.003	0.009	69	100	0.693069306930693	0.9687118648332431
140000.0	2000	0.0055	0.006139999999999999	0.006	0.003	0.009524999999999992	71	100	0.7128712871287128	0.9687118648332431
150000.0	2000	0.006	0.006279999999999999	0.0065	0.0032375	0.009524999999999992	63	100	0.6336633663366337	0.9687118648332431
160000.0	2000	0.006	0.0064	0.0065	0.0035	0.01	61	100	0.6138613861386139	0.9687118648332431
170000.0	2000	0.006	0.0065000000000000014	0.0065	0.0035	0.01	64	100	0.6435643564356436	0.9687118648332431
180000.0	2000	0.0065	0.00664	0.0065	0.0035	0.010262499999999996	57	100	0.5742574257425742	0.9667633430009668
190000.0	2000	0.006	0.006854999999999999	0.007	0.0035	0.0105	74	100	0.7425742574257426	0.9687118648332431
200000.0	2000	0.0065	0.006965	0.00675	0.0037375	0.0105	66	100	0.6633663366336634	0.9687118648332431
210000.0	2000	0.0065	0.007130000000000001	0.007	0.0037375	0.010762499999999996	73	100	0.7326732673267327	0.9687118648332431
220000.0	2000	0.0065	0.007239999999999997	0.007	0.0037375	0.010762499999999996	75	100	0.7524752475247525	0.9687118648332431
230000.0	2000	0.0065	0.0073399999999999984	0.0075	0.0035	0.011	74	100	0.7425742574257426	0.9687118648332431
240000.0	2000	0.0065	0.007449999999999999	0.0075	0.0035	0.011	76	100	0.7623762376237624	0.9687118648332431
250000.0	2000	0.0065	0.007439999999999999	0.0075	0.0037375	0.011262499999999995	75	100	0.7524752475247525	0.9687118648332431
260000.0	2000	0.0065	0.007475000000000001	0.0075	0.0035	0.0115	74	100	0.7425742574257426	0.9687118648332431
270000.0	2000	0.0065	0.0075499999999999986	0.0075	0.0037375	0.011762499999999995	78	100	0.7821782178217822	0.969082757332337
280000.0	2000	0.0065	0.007585	0.0075	0.004	0.0115	76	100	0.7623762376237624	0.9687118648332431
290000.0	2000	0.0065	0.00767	0.0075	0.004	0.0115	76	100	0.7623762376237624	0.9687118648332431
