position_0based	n_pairs	observed_fraction_recent	neutral_mean_fraction_recent	neutral_median_fraction_recent	neutral_ci95_lower	neutral_ci95_upper	neutral_exceedances	n_neutral_replicates	p_upper	q_bh
0.0	2000	0.0035	0.0029950000000000003	0.003	0.001	0.005	45	100	0.45544554455445546	0.9343947098884117
10000.0	2000	0.005	0.0057399999999999994	0.0055	0.003	0.009262499999999995	69	100	0.693069306930693	0.963935058318071
20000.0	2000	0.005	0.0062050000000000004	0.00625	0.003	0.0095	77	100	0.7722772277227723	0.9949524364201127
30000.0	2000	0.0055	0.006549999999999999	0.0065	0.003	0.010762499999999996	76	100	0.7623762376237624	0.9949524364201127
40000.0	2000	0.0055	0.006809999999999999	0.007	0.0032375	0.010762499999999996	80	100	0.801980198019802	0.9949524364201127
50000.0	2000	0.0055	0.007085	0.007	0.0034750000000000002	0.011	81	100	0.8118811881188119	0.9949524364201127
60000.0	2000	0.0055	0.00745	0.0075	0.0037375	0.011262499999999995	85	100	0.8514851485148515	1.0
70000.0	2000	0.006	0.00781	0.0075	0.004	0.011524999999999992	83	100	0.8316831683168316	0.9984191696480571
80000.0	2000	0.006	0.008029999999999999	0.008	0.004	0.012	86	100	0.8613861386138614	1.0
90000.0	2000	0.006	0.00832	0.008	0.0047374999999999995	0.012	89	100	0.8910891089108911	1.0
100000.0	2000	0.006	0.008639999999999998	0.0085	0.0047374999999999995	0.0125	89	100	0.8910891089108911	1.0
110000.0	2000	0.0055	0.008964999999999999	0.009	0.005	0.013262499999999995	95	100	0.9504950495049505	1.0
120000.0	2000	0.006	0.009309999999999999	0.009	0.0052375	0.0135	94	100	0.9405940594059405	1.0
130000.0	2000	0.007	0.009604999999999999	0.0095	0.0052375	0.014	88	100	0.8811881188118812	1.0
140000.0	2000	0.0075	0.00981	0.01	0.0055	0.0145	88	100	0.8811881188118812	1.0
150000.0	2000	0.0075	0.010029999999999999	0.01	0.006	0.014524999999999991	90	100	0.900990099009901	1.0
160000.0	2000	0.0075	0.010264999999999998	0.01	0.0062375	0.014762499999999996	93	100	0.9306930693069307	1.0
170000.0	2000	0.0075	0.010399999999999998	0.0105	0.0062375	0.014762499999999996	94	100	0.9405940594059405	1.0
180000.0	2000	0.0085	0.010494999999999999	0.0105	0.0062375	0.0155	86	100	0.8613861386138614	1.0
190000.0	2000	0.009	0.010599999999999997	0.0105	0.0062375	0.015262499999999995	79	100	0.7920792079207921	0.9949524364201127
200000.0	2000	0.009	0.010729999999999996	0.0105	0.0062375	0.015024999999999991	83	100	0.8316831683168316	0.9984191696480571
210000.0	2000	0.009	0.010794999999999997	0.0105	0.0065	0.015	83	100	0.8316831683168316	0.9984191696480571
220000.0	2000	0.009	0.010835	0.0105	0.0065	0.0155	81	100	0.8118811881188119	0.9949524364201127
230000.0	2000	0.009	0.01085	0.011	0.0065	0.015262499999999995	79	100	0.7920792079207921	0.9949524364201127
240000.0	2000	0.009	0.010894999999999998	0.01075	0.0065	0.015762499999999995	79	100	0.7920792079207921	0.9949524364201127
250000.0	2000	0.009	0.01097	0.0105	0.0067374999999999996	0.015762499999999995	80	100	0.801980198019802	0.9949524364201127
260000.0	2000	0.009	0.0111	0.011	0.0072375	0.01602499999999999	82	100	0.8217821782178217	0.9984191696480571
270000.0	2000	0.009	0.011205	0.011	0.007	0.016262499999999996	81	100	0.8118811881188119	0.9949524364201127
280000.0	2000	0.01	0.011235	0.01125	0.007	0.016762499999999996	69	100	0.693069306930693	0.963935058318071
290000.0	2000	0.01	0.011319999999999998	0.0115	0.007	0.016262499999999996	70	100	0.7029702970297029	0.9642939602602235
300000.0	2000	0.0095	0.011375	0.0115	0.0067374999999999996	0.018	75	100	0.7524752475247525	0.9927114083440006
310000.0	2000	0.0095	0.011585000000000002	0.0115	0.0067374999999999996	0.017787499999999987	81	100	0.8118811881188119	0.9949524364201127
320000.0	2000	0.01	0.011565	0.01175	0.0065	0.017524999999999992	75	100	0.7524752475247525	0.9927114083440006
330000.0	2000	0.0095	0.01164	0.0115	0.0065	0.017549999999999982	79	100	0.7920792079207921	0.9949524364201127
340000.0	2000	0.0105	0.011694999999999997	0.0115	0.007	0.017549999999999982	72	100	0.7227722772277227	0.9793662293058574
350000.0	2000	0.012	0.011699999999999999	0.01175	0.0067374999999999996	0.017312499999999977	50	100	0.504950495049505	0.9343947098884117
360000.0	2000	0.0125	0.011634999999999998	0.0115	0.007	0.017812499999999978	40	100	0.40594059405940597	0.9343947098884117
370000.0	2000	0.012	0.011544999999999996	0.0115	0.0065	0.017	44	100	0.44554455445544555	0.9343947098884117
380000.0	2000	0.0115	0.011430000000000001	0.011	0.006475	0.0165	48	100	0.48514851485148514	0.9343947098884117
390000.0	2000	0.011	0.011449999999999998	0.011	0.0065	0.017262499999999997	57	100	0.5742574257425742	0.9481324898580908
400000.0	2000	0.011	0.01158	0.0115	0.0062375	0.01702499999999999	62	100	0.6237623762376238	0.9511868217389424
410000.0	2000	0.0115	0.011639999999999998	0.0115	0.0062375	0.0175	58	100	0.5841584158415841	0.9481324898580908
420000.0	2000	0.012	0.011769999999999997	0.01175	0.0062375	0.0175	50	100	0.504950495049505	0.9343947098884117
430000.0	2000	0.0125	0.011789999999999998	0.0115	0.0062375	0.017262499999999997	39	100	0.39603960396039606	0.9343947098884117
440000.0	2000	0.013	0.011739999999999999	0.0115	0.0062375	0.017524999999999992	31	100	0.31683168316831684	0.9343947098884117
450000.0	2000	0.013	0.011720000000000001	0.0115	0.005974999999999999	0.017762499999999997	34	100	0.3465346534653465	0.9343947098884117
460000.0	2000	0.013	0.011565	0.0115	0.0062375	0.017	30	100	0.3069306930693069	0.9343947098884117
470000.0	2000	0.013	0.011584999999999998	0.0115	0.0062375	0.017262499999999997	31	100	0.31683168316831684	0.9343947098884117
480000.0	2000	0.0125	0.011699999999999997	0.0115	0.0065	0.017	40	100	0.40594059405940597	0.9343947098884117
490000.0	2000	0.011	0.01169	0.0115	0.007	0.016762499999999996	64	100	0.6435643564356436	0.9511868217389424
500000.0	2000	0.0115	0.011619999999999998	0.0115	0.0067374999999999996	0.017	52	100	0.5247524752475248	0.9379885356956748
510000.0	2000	0.0115	0.011519999999999997	0.0115	0.0065	0.017262499999999997	51	100	0.5148514851485149	0.9343947098884117
520000.0	2000	0.011	0.011564999999999999	0.0115	0.0065	0.017	58	100	0.5841584158415841	0.9481324898580908
530000.0	2000	0.011	0.011610000000000002	0.0115	0.0065	0.016762499999999996	57	100	0.5742574257425742	0.9481324898580908
540000.0	2000	0.011	0.011649999999999999	0.01175	0.0065	0.0165	60	100	0.6039603960396039	0.9481324898580908
550000.0	2000	0.0105	0.011584999999999998	0.0115	0.0072375	0.016762499999999996	71	100	0.7128712871287128	0.9738678785911378
560000.0	2000	0.0095	0.011555	0.01175	0.0072375	0.016762499999999996	84	100	0.8415841584158416	1.0
570000.0	2000	0.0095	0.01158	0.0115	0.007	0.017	87	100	0.8712871287128713	1.0
580000.0	2000	0.0105	0.011600000000000001	0.0115	0.0075	0.016762499999999996	71	100	0.7128712871287128	0.9738678785911378
590000.0	2000	0.011	0.0114	0.0115	0.0075	0.016	62	100	0.6237623762376238	0.9511868217389424
600000.0	2000	0.011	0.01146	0.0115	0.0075	0.0165	57	100	0.5742574257425742	0.9481324898580908
610000.0	2000	0.013	0.011455	0.0115	0.0075	0.015762499999999995	27	100	0.27722772277227725	0.9343947098884117
620000.0	2000	0.013	0.011375	0.01125	0.0075	0.016	28	100	0.2871287128712871	0.9343947098884117
630000.0	2000	0.013	0.01138	0.0115	0.0075	0.016	28	100	0.2871287128712871	0.9343947098884117
640000.0	2000	0.013	0.011474999999999997	0.0115	0.0077375	0.0155	28	100	0.2871287128712871	0.9343947098884117
650000.0	2000	0.013	0.01142	0.01175	0.007	0.0155	27	100	0.27722772277227725	0.9343947098884117
660000.0	2000	0.012	0.011414999999999998	0.0115	0.0067374999999999996	0.016262499999999996	48	100	0.48514851485148514	0.9343947098884117
670000.0	2000	0.0125	0.011444999999999999	0.0115	0.0067374999999999996	0.0165	40	100	0.40594059405940597	0.9343947098884117
680000.0	2000	0.012	0.011359999999999999	0.0115	0.007	0.015524999999999992	47	100	0.4752475247524752	0.9343947098884117
690000.0	2000	0.012	0.011444999999999999	0.0115	0.007	0.0155	46	100	0.46534653465346537	0.9343947098884117
700000.0	2000	0.012	0.011364999999999998	0.0115	0.007	0.015	46	100	0.46534653465346537	0.9343947098884117
710000.0	2000	0.0125	0.011374999999999998	0.0115	0.0065	0.015	36	100	0.36633663366336633	0.9343947098884117
720000.0	2000	0.0125	0.011399999999999999	0.0115	0.007	0.015	35	100	0.3564356435643564	0.9343947098884117
730000.0	2000	0.013	0.011434999999999997	0.0115	0.007	0.016	26	100	0.26732673267326734	0.9343947098884117
740000.0	2000	0.0125	0.011300000000000001	0.0115	0.007	0.015762499999999995	33	100	0.33663366336633666	0.9343947098884117
750000.0	2000	0.012	0.011375	0.0115	0.007	0.015762499999999995	46	100	0.46534653465346537	0.9343947098884117
760000.0	2000	0.0125	0.011515000000000003	0.0115	0.0075	0.016262499999999996	34	100	0.3465346534653465	0.9343947098884117
770000.0	2000	0.012	0.011529999999999999	0.0115	0.007475	0.0165	46	100	0.46534653465346537	0.9343947098884117
