position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	949	3.500161988e-05	22798.42675	0	0	3.500161988e-05
10000	10001	949	2.951567615e-05	25547.08641	0	0	2.951567615e-05
20000	20001	949	3.688623155e-05	23564.19583	0	0	3.688623155e-05
30000	30001	949	6.987118799e-05	20644.73739	0	0	6.987118799e-05
40000	40001	949	6.337276875e-05	22518.29399	0	0	6.337276875e-05
50000	50001	949	0.0001123268244	19277.32486	0	0	0.0001123268244
60000	60001	949	0.000128251196	17970.95989	0	0	0.000128251196
70000	70001	949	0.0001470408914	18614.30242	0	0	0.0001470408914
80000	80001	949	8.814726492e-05	18826.13881	0	0	8.814726492e-05
90000	90001	949	0.0001017328278	21654.88778	0	0	0.0001017328278
100000	100001	949	9.60620999e-05	18484.98994	0	0	9.60620999e-05
110000	110001	949	4.295916243e-05	19342.74355	0	0	4.295916243e-05
120000	120001	949	1.679286954e-05	24047.33039	0	0	1.679286954e-05
130000	130001	949	2.68647054e-05	24458.9337	0	0	2.68647054e-05
140000	140001	949	3.010983564e-05	23243.67882	0	0	3.010983564e-05
150000	150001	949	3.827470767e-05	21750.82166	0	0	3.827470767e-05
160000	160001	949	2.774959782e-05	23383.45174	0	0	2.774959782e-05
170000	170001	949	3.632781584e-05	24042.84875	0	0	3.632781584e-05
180000	180001	949	6.370046409e-05	21767.76138	0	0	6.370046409e-05
190000	190001	949	2.14697766e-05	24504.58799	0	0	2.14697766e-05
200000	200001	949	3.562528526e-05	24240.68585	0	0	3.562528526e-05
210000	210001	949	3.521274077e-05	23190.78009	0	0	3.521274077e-05
220000	220001	949	4.695445981e-05	23872.90986	0	0	4.695445981e-05
230000	230001	949	6.731148252e-05	21934.65833	0	0	6.731148252e-05
240000	240001	949	6.033673065e-05	20179.90005	0	0	6.033673065e-05
250000	250001	949	0.0001059324875	19736.40302	0	0	0.0001059324875
260000	260001	949	0.0001003440126	17239.21128	0	0	0.0001003440126
270000	270001	949	0.000203334081	17000.7001	0	0	0.000203334081
280000	280001	949	0.0001760144915	16679.25165	0	0	0.0001760144915
290000	290001	949	0.0003352279153	16658.74132	0	0	0.0003352279153
300000	300001	949	0.0001161446491	18115.11705	0	0	0.0001161446491
310000	310001	949	0.0001031019464	18168.86049	0	0	0.0001031019464
320000	320001	949	0.0001543427176	17905.36797	0	0	0.0001543427176
330000	330001	949	0.0001438310375	19797.29513	0	0	0.0001438310375
340000	340001	949	0.0001093424433	18992.52713	0	0	0.0001093424433
350000	350001	949	0.0002239373702	16914.8563	0	0	0.0002239373702
360000	360001	949	0.000225009065	16908.15069	0	0	0.000225009065
370000	370001	949	0.0001250756057	18746.44097	0	0	0.0001250756057
380000	380001	949	5.398522317e-05	20239.69204	0	0	5.398522317e-05
390000	390001	949	8.256397129e-05	19234.28055	0	0	8.256397129e-05
400000	400001	949	2.496926769e-05	21428.11734	0	0	2.496926769e-05
410000	410001	949	2.591869899e-05	27640.00435	0	0	2.591869899e-05
420000	420001	949	3.347706303e-05	26972.31099	0	0	3.347706303e-05
430000	430001	949	2.347480057e-05	22611.40702	0	0	2.347480057e-05
440000	440001	949	3.190735636e-05	22336.93573	0	0	3.190735636e-05
450000	450001	949	6.482481254e-05	20506.52346	0	0	6.482481254e-05
460000	460001	949	6.567327546e-05	19599.57558	0	0	6.567327546e-05
470000	470001	949	7.823042279e-05	18991.07851	0	0	7.823042279e-05
480000	480001	949	8.833809206e-05	20687.91483	0	0	8.833809206e-05
490000	490001	949	6.194063526e-05	20192.79859	0	0	6.194063526e-05
500000	500001	949	0.0001256522483	18570.53656	0	0	0.0001256522483
510000	510001	949	7.343766899e-05	20118.37198	0	0	7.343766899e-05
520000	520001	949	0.0001181502284	18322.74654	0	0	0.0001181502284
530000	530001	949	3.730599758e-05	22826.09347	0	0	3.730599758e-05
540000	540001	949	2.748973801e-05	25364.85453	0	0	2.748973801e-05
550000	550001	949	4.332517268e-05	25094.82335	0	0	4.332517268e-05
560000	560001	949	6.357773103e-05	21634.8542	0	0	6.357773103e-05
570000	570001	949	5.429846897e-05	21784.62413	0	0	5.429846897e-05
580000	580001	949	4.547234568e-05	25955.76617	0	0	4.547234568e-05
590000	590001	949	3.068575094e-05	26698.61637	0	0	3.068575094e-05
600000	600001	949	4.446128893e-05	21020.87755	0	0	4.446128893e-05
610000	610001	949	5.761946457e-05	20341.64061	0	0	5.761946457e-05
620000	620001	949	0.0001465450092	18231.21372	0	0	0.0001465450092
630000	630001	949	0.0001260421641	18938.58505	0	0	0.0001260421641
640000	640001	949	6.547010577e-05	20003.91148	0	0	6.547010577e-05
650000	650001	949	7.722399171e-05	20665.66363	0	0	7.722399171e-05
660000	660001	949	0.0001147130311	17664.48226	0	0	0.0001147130311
670000	670001	949	9.489835656e-05	17748.10258	0	0	9.489835656e-05
680000	680001	949	6.136461687e-05	19353.02149	0	0	6.136461687e-05
690000	690001	949	7.857229006e-05	21771.1078	0	0	7.857229006e-05
700000	700001	949	5.399917032e-05	21837.62899	0	0	5.399917032e-05
710000	710001	949	6.900610267e-05	23210.02433	0	0	6.900610267e-05
720000	720001	949	6.35220314e-05	22026.17439	0	0	6.35220314e-05
730000	730001	949	0.0001018334627	19848.93426	0	0	0.0001018334627
740000	740001	949	9.929875516e-05	20167.32162	0	0	9.929875516e-05
750000	750001	949	8.259002137e-05	21035.83735	0	0	8.259002137e-05
760000	760001	949	0.0001243689439	18688.78468	0	0	0.0001243689439
770000	770001	949	4.543119809e-05	21064.30954	0	0	4.543119809e-05
780000	780001	949	3.694731642e-05	21990.22158	0	0	3.694731642e-05
790000	790001	949	6.955632356e-05	22002.09405	0	0	6.955632356e-05
800000	800001	949	6.751293548e-05	19558.0083	0	0	6.751293548e-05
810000	810001	949	9.65456523e-05	20679.57668	0	0	9.65456523e-05
820000	820001	949	0.0001030048505	18497.12423	0	0	0.0001030048505
830000	830001	949	7.030286261e-05	18098.17061	0	0	7.030286261e-05
840000	840001	949	7.463091232e-05	21732.36143	0	0	7.463091232e-05
850000	850001	949	4.829161814e-05	23064.96216	0	0	4.829161814e-05
860000	860001	949	3.249406158e-05	21408.982	0	0	3.249406158e-05
870000	870001	949	7.726890238e-05	18756.4417	0	0	7.726890238e-05
880000	880001	949	0.000134233366	19037.40155	0	0	0.000134233366
890000	890001	949	0.000174174221	17031.72777	0	0	0.000174174221
900000	900001	949	0.0001735960588	17024.68319	0	0	0.0001735960588
910000	910001	949	0.0001568809702	18003.71486	0	0	0.0001568809702
920000	920001	949	0.0001237808795	18501.9922	0	0	0.0001237808795
930000	930001	949	0.0001179473223	18524.14365	0	0	0.0001179473223
940000	940001	949	5.523253196e-05	21739.78645	0	0	5.523253196e-05
950000	950001	949	9.731494956e-05	19589.58428	0	0	9.731494956e-05
960000	960001	949	8.907291965e-05	19213.55523	0	0	8.907291965e-05
970000	970001	949	9.021951062e-05	19647.19619	0	0	9.021951062e-05
980000	980001	949	0.0001025274385	20404.31985	0	0	0.0001025274385
990000	990001	949	0.0001472575836	18068.31084	0	0	0.0001472575836
1000000	1000001	949	0.0001146131852	17126.86558	0	0	0.0001146131852
1010000	1010001	949	8.760528302e-05	18847.31674	0	0	8.760528302e-05
1020000	1020001	949	3.678896469e-05	26072.04948	0	0	3.678896469e-05
1030000	1030001	949	3.003243702e-05	21982.97418	0	0	3.003243702e-05
1040000	1040001	949	5.120105647e-05	18827.58858	0	0	5.120105647e-05
1050000	1050001	949	8.515152712e-05	18766.85116	0	0	8.515152712e-05
1060000	1060001	949	6.313861495e-05	19185.34467	0	0	6.313861495e-05
1070000	1070001	949	4.821875136e-05	25070.28023	0	0	4.821875136e-05
1080000	1080001	949	2.385309952e-05	22937.78259	0	0	2.385309952e-05
1090000	1090001	949	5.847904479e-05	19034.68981	0	0	5.847904479e-05
1100000	1100001	949	0.0001672906663	17369.04729	0	0	0.0001672906663
1110000	1110001	949	0.0001501758818	17115.15049	0	0	0.0001501758818
1120000	1120001	949	0.0001720184565	18207.69009	0	0	0.0001720184565
1130000	1130001	949	6.717684449e-05	20478.09824	0	0	6.717684449e-05
1140000	1140001	949	2.411700506e-05	24706.34518	0	0	2.411700506e-05
1150000	1150001	949	2.797690052e-05	25413.11595	0	0	2.797690052e-05
1160000	1160001	949	3.781699058e-05	22568.29236	0	0	3.781699058e-05
1170000	1170001	949	0.0001331510987	17946.92999	0	0	0.0001331510987
1180000	1180001	949	0.0001448786298	18292.72161	0	0	0.0001448786298
1190000	1190001	949	0.0001644921127	17847.15097	0	0	0.0001644921127
1200000	1200001	949	0.0002412007457	16910.64491	0	0	0.0002412007457
1210000	1210001	949	9.152009435e-05	17117.8031	0	0	9.152009435e-05
1220000	1220001	949	9.161247041e-05	19332.97604	0	0	9.161247041e-05
1230000	1230001	949	5.554455679e-05	21572.55483	0	0	5.554455679e-05
1240000	1240001	949	2.127618868e-05	24096.80709	0	0	2.127618868e-05
1250000	1250001	949	2.708996473e-05	23408.78229	0	0	2.708996473e-05
1260000	1260001	949	3.520303453e-05	20666.62916	0	0	3.520303453e-05
1270000	1270001	949	6.373808538e-05	21130.3495	0	0	6.373808538e-05
1280000	1280001	949	7.098178098e-05	19233.8298	0	0	7.098178098e-05
1290000	1290001	949	7.526901698e-05	20517.06842	0	0	7.526901698e-05
1300000	1300001	949	6.207213051e-05	21974.17935	0	0	6.207213051e-05
1310000	1310001	949	1.382849654e-05	29570.70105	0	0	1.382849654e-05
1320000	1320001	949	6.126347099e-05	22457.10069	0	0	6.126347099e-05
1330000	1330001	949	9.407748863e-05	18927.80134	0	0	9.407748863e-05
1340000	1340001	949	9.875118782e-05	21769.49476	0	0	9.875118782e-05
1350000	1350001	949	0.0001042333617	20411.34254	0	0	0.0001042333617
1360000	1360001	949	4.121605494e-05	22758.11412	0	0	4.121605494e-05
1370000	1370001	949	4.174554432e-05	22761.25878	0	0	4.174554432e-05
1380000	1380001	949	5.229458485e-05	24035.60623	0	0	5.229458485e-05
1390000	1390001	949	3.778875407e-05	26310.52048	0	0	3.778875407e-05
1400000	1400001	949	2.149064983e-05	23199.88004	0	0	2.149064983e-05
1410000	1410001	949	4.409961546e-05	20131.64807	0	0	4.409961546e-05
1420000	1420001	949	4.47581918e-05	21337.18566	0	0	4.47581918e-05
1430000	1430001	949	6.146481941e-05	22322.66736	0	0	6.146481941e-05
1440000	1440001	949	3.747922062e-05	22946.91708	0	0	3.747922062e-05
1450000	1450001	949	4.973762519e-05	23364.43422	0	0	4.973762519e-05
1460000	1460001	949	6.088555419e-05	20489.07314	0	0	6.088555419e-05
1470000	1470001	949	0.0001375133559	18477.07887	0	0	0.0001375133559
1480000	1480001	949	0.0001193070308	19815.19574	0	0	0.0001193070308
1490000	1490001	949	3.622184382e-05	24650.70979	0	0	3.622184382e-05
1500000	1500001	949	2.063748652e-05	27697.21378	0	0	2.063748652e-05
1510000	1510001	949	3.300336784e-05	22711.50996	0	0	3.300336784e-05
1520000	1520001	949	3.754685103e-05	23052.90343	0	0	3.754685103e-05
1530000	1530001	949	7.37788021e-05	19917.54353	0	0	7.37788021e-05
1540000	1540001	949	7.780172738e-05	21382.29762	0	0	7.780172738e-05
1550000	1550001	949	6.650183486e-05	21874.4032	0	0	6.650183486e-05
1560000	1560001	949	0.0001163316847	18640.23333	0	0	0.0001163316847
1570000	1570001	949	0.0001223409654	17641.26008	0	0	0.0001223409654
1580000	1580001	949	5.76962191e-05	19777.43352	0	0	5.76962191e-05
1590000	1590001	949	4.589525111e-05	21270.02718	0	0	4.589525111e-05
1600000	1600001	949	2.904232549e-05	21372.92292	0	0	2.904232549e-05
1610000	1610001	949	3.238576088e-05	23259.64266	0	0	3.238576088e-05
1620000	1620001	949	3.456817822e-05	25683.69891	0	0	3.456817822e-05
1630000	1630001	949	2.908982898e-05	23368.31887	0	0	2.908982898e-05
1640000	1640001	949	7.254709634e-05	21223.13026	0	0	7.254709634e-05
1650000	1650001	949	4.051031708e-05	20567.74582	0	0	4.051031708e-05
1660000	1660001	949	5.575561723e-05	19079.14646	0	0	5.575561723e-05
1670000	1670001	949	5.092696532e-05	19902.43416	0	0	5.092696532e-05
1680000	1680001	949	4.458869242e-05	22921.94928	0	0	4.458869242e-05
1690000	1690001	949	2.5494678e-05	24588.08875	0	0	2.5494678e-05
1700000	1700001	949	3.016600086e-05	22379.35914	0	0	3.016600086e-05
1710000	1710001	949	2.422989781e-05	24366.12502	0	0	2.422989781e-05
1720000	1720001	949	2.126236479e-05	23865.29576	0	0	2.126236479e-05
1730000	1730001	949	1.325030222e-05	26205.8939	0	0	1.325030222e-05
1740000	1740001	949	2.951955429e-05	24710.36741	0	0	2.951955429e-05
1750000	1750001	949	3.515481834e-05	24666.55861	0	0	3.515481834e-05
1760000	1760001	949	4.604711022e-05	20823.91267	0	0	4.604711022e-05
1770000	1770001	949	7.529743344e-05	18733.64597	0	0	7.529743344e-05
1780000	1780001	949	6.353062888e-05	19496.15209	0	0	6.353062888e-05
1790000	1790001	949	0.0001280558875	18976.4924	0	0	0.0001280558875
1800000	1800001	949	5.323978019e-05	21459.37738	0	0	5.323978019e-05
1810000	1810001	949	2.372091153e-05	25343.10337	0	0	2.372091153e-05
1820000	1820001	949	2.660698434e-05	24811.70098	0	0	2.660698434e-05
1830000	1830001	949	2.206084302e-05	22639.46626	0	0	2.206084302e-05
1840000	1840001	949	2.848133834e-05	22655.55636	0	0	2.848133834e-05
1850000	1850001	949	1.86771928e-05	27325.27659	0	0	1.86771928e-05
1860000	1860001	949	4.368936806e-05	21229.99313	0	0	4.368936806e-05
1870000	1870001	949	3.710100962e-05	26079.26019	0	0	3.710100962e-05
1880000	1880001	949	9.932457268e-05	22478.90987	0	0	9.932457268e-05
1890000	1890001	949	0.0001353961436	17984.89793	0	0	0.0001353961436
1900000	1900001	949	0.0002262105462	17473.16913	0	0	0.0002262105462
1910000	1910001	949	0.000131177833	17404.12754	0	0	0.000131177833
1920000	1920001	949	0.0001821726424	17319.14938	0	0	0.0001821726424
1930000	1930001	949	7.123155676e-05	19664.62591	0	0	7.123155676e-05
1940000	1940001	949	7.957375465e-05	22599.50178	0	0	7.957375465e-05
1950000	1950001	949	6.648289689e-05	19306.58045	0	0	6.648289689e-05
1960000	1960001	949	9.670414852e-05	18263.65212	0	0	9.670414852e-05
1970000	1970001	949	4.555764992e-05	22863.83679	0	0	4.555764992e-05
1980000	1980001	949	5.206460202e-05	20882.86539	0	0	5.206460202e-05
1990000	1990001	949	3.306048266e-05	21774.2683	0	0	3.306048266e-05
2000000	2000001	949	4.661003702e-05	24778.10622	0	0	4.661003702e-05
2010000	2010001	949	3.479108493e-05	22311.20054	0	0	3.479108493e-05
2020000	2020001	949	6.318753941e-05	20791.29801	0	0	6.318753941e-05
2030000	2030001	949	8.017323229e-05	20056.01414	0	0	8.017323229e-05
2040000	2040001	949	9.32740573e-05	19343.48843	0	0	9.32740573e-05
2050000	2050001	949	8.814352147e-05	19233.36922	0	0	8.814352147e-05
2060000	2060001	949	8.055725519e-05	19633.59075	0	0	8.055725519e-05
2070000	2070001	949	7.312112636e-05	21443.37144	0	0	7.312112636e-05
2080000	2080001	949	4.930930329e-05	21515.99051	0	0	4.930930329e-05
2090000	2090001	949	4.408993721e-05	22902.55419	0	0	4.408993721e-05
2100000	2100001	949	5.789602197e-05	21096.45997	0	0	5.789602197e-05
2110000	2110001	949	7.518009607e-05	20805.73413	0	0	7.518009607e-05
2120000	2120001	949	6.453135724e-05	20864.53313	0	0	6.453135724e-05
2130000	2130001	949	0.0001644439899	18179.29044	0	0	0.0001644439899
2140000	2140001	949	0.0001284561825	18214.73143	0	0	0.0001284561825
2150000	2150001	949	6.302604028e-05	19969.10365	0	0	6.302604028e-05
2160000	2160001	949	1.703202156e-05	24408.36206	0	0	1.703202156e-05
2170000	2170001	949	8.781896614e-05	19508.70464	0	0	8.781896614e-05
2180000	2180001	949	0.0001067979264	18589.44539	0	0	0.0001067979264
2190000	2190001	949	9.188715669e-05	20981.90269	0	0	9.188715669e-05
2200000	2200001	949	6.337544235e-05	20651.95963	0	0	6.337544235e-05
2210000	2210001	949	0.0001284494908	17466.17944	0	0	0.0001284494908
2220000	2220001	949	7.37120237e-05	18358.11769	0	0	7.37120237e-05
2230000	2230001	949	7.727750865e-05	20146.46826	0	0	7.727750865e-05
2240000	2240001	949	5.436266727e-05	21516.92813	0	0	5.436266727e-05
2250000	2250001	949	7.970349436e-05	20269.31884	0	0	7.970349436e-05
2260000	2260001	949	9.452538514e-05	23993.89933	0	0	9.452538514e-05
2270000	2270001	949	8.119112185e-05	19970.16102	0	0	8.119112185e-05
2280000	2280001	949	6.63015853e-05	20515.58404	0	0	6.63015853e-05
2290000	2290001	949	0.0001023280601	17959.13578	0	0	0.0001023280601
2300000	2300001	949	0.0001256129396	19069.03709	0	0	0.0001256129396
2310000	2310001	949	8.480443586e-05	20758.13798	0	0	8.480443586e-05
2320000	2320001	949	6.762888935e-05	22019.04775	0	0	6.762888935e-05
2330000	2330001	949	8.363158344e-05	20593.07926	0	0	8.363158344e-05
2340000	2340001	949	0.0001097040352	21014.69185	0	0	0.0001097040352
2350000	2350001	949	9.344374687e-05	20297.68627	0	0	9.344374687e-05
