position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	2000	3.324099113e-05	22635.00624	0	0	3.324099113e-05
1000	1001	2000	2.615908033e-05	23135.20023	0	0	2.615908033e-05
2000	2001	2000	2.349679817e-05	23657.36649	0	0	2.349679817e-05
3000	3001	2000	2.358896279e-05	24148.57116	0	0	2.358896279e-05
4000	4001	2000	2.538907604e-05	24699.44162	0	0	2.538907604e-05
5000	5001	2000	2.862673831e-05	24337.76104	0	0	2.862673831e-05
6000	6001	2000	3.932516529e-05	24315.56788	0	0	3.932516529e-05
7000	7001	2000	4.276760443e-05	24502.61652	0	0	4.276760443e-05
8000	8001	2000	3.858799444e-05	24936.75741	0	0	3.858799444e-05
9000	9001	2000	2.745701624e-05	25689.09631	0	0	2.745701624e-05
10000	10001	2000	2.935485761e-05	25392.40657	0	0	2.935485761e-05
11000	11001	2000	3.687888806e-05	25315.73896	0	0	3.687888806e-05
12000	12001	2000	3.403034823e-05	25518.4842	0	0	3.403034823e-05
13000	13001	2000	2.573532598e-05	25803.54209	0	0	2.573532598e-05
14000	14001	2000	2.227578349e-05	26262.249	0	0	2.227578349e-05
15000	15001	2000	3.070993363e-05	25675.11488	0	0	3.070993363e-05
16000	16001	2000	3.042953126e-05	25147.79925	0	0	3.042953126e-05
17000	17001	2000	3.010192855e-05	24888.39543	0	0	3.010192855e-05
18000	18001	2000	3.083169381e-05	24773.96887	0	0	3.083169381e-05
19000	19001	2000	2.578285337e-05	23805.263	0	0	2.578285337e-05
20000	20001	2000	3.364227505e-05	23651.2338	0	0	3.364227505e-05
21000	21001	2000	4.693369067e-05	22816.43202	0	0	4.693369067e-05
22000	22001	2000	5.222652786e-05	22168.37541	0	0	5.222652786e-05
23000	23001	2000	4.696011992e-05	21673.29695	0	0	4.696011992e-05
24000	24001	2000	5.290459295e-05	21337.27195	0	0	5.290459295e-05
25000	25001	2000	4.994779469e-05	21026.4067	0	0	4.994779469e-05
26000	26001	2000	4.910329604e-05	20876.50666	0	0	4.910329604e-05
27000	27001	2000	3.97626696e-05	20805.49858	0	0	3.97626696e-05
28000	28001	2000	3.540674451e-05	20900.28689	0	0	3.540674451e-05
29000	29001	2000	5.596295077e-05	20661.80209	0	0	5.596295077e-05
30000	30001	2000	7.912973196e-05	20503.99915	0	0	7.912973196e-05
31000	31001	2000	9.217097173e-05	20504.11052	0	0	9.217097173e-05
32000	32001	2000	9.727963326e-05	20627.40366	0	0	9.727963326e-05
33000	33001	2000	9.425480344e-05	20878.41376	0	0	9.425480344e-05
34000	34001	2000	8.186460883e-05	21246.59769	0	0	8.186460883e-05
35000	35001	2000	6.823531858e-05	21432.15032	0	0	6.823531858e-05
36000	36001	2000	6.650742252e-05	21676.36677	0	0	6.650742252e-05
37000	37001	2000	8.501620713e-05	21753.66941	0	0	8.501620713e-05
38000	38001	2000	8.799311645e-05	21911.41034	0	0	8.799311645e-05
39000	39001	2000	7.516646013e-05	22208.12857	0	0	7.516646013e-05
40000	40001	2000	5.459279228e-05	22568.3352	0	0	5.459279228e-05
41000	41001	2000	5.743888454e-05	22254.45933	0	0	5.743888454e-05
42000	42001	2000	4.624636129e-05	22287.35991	0	0	4.624636129e-05
43000	43001	2000	7.459420503e-05	22052.0614	0	0	7.459420503e-05
