position_0based	focal_carrier_copies	pair_class	n_pairs	mean_tmrca_generations	standard_error_generations	ci95_lower_generations	ci95_upper_generations
0.0	0	hom_ref	949	11938.801687858338	210.84830484450333	11532.106784405029	12359.839221638189
0.0	2	hom_alt	194	11808.692702320248	492.0914085769213	10876.940488690461	12820.261679543317
50000.0	0	hom_ref	949	10307.235747104458	273.1010767030588	9784.97894909777	10857.367123532122
50000.0	2	hom_alt	194	10304.79610199971	590.6689422446146	9203.241447870168	11538.198069155604
100000.0	0	hom_ref	949	13104.91675996762	805.1226444130256	11616.422884777545	14784.141812771913
100000.0	2	hom_alt	194	14831.746632042854	1968.9570010473592	11415.102124838759	19271.0241004718
150000.0	0	hom_ref	949	12524.845371658486	244.185551959842	12054.69020321903	13013.337459478194
150000.0	2	hom_alt	194	13372.825022317282	549.2364651080792	12332.263263478657	14501.186461622014
200000.0	0	hom_ref	949	18647.392162267082	447.41728841040975	17789.70073075825	19546.435306366096
200000.0	2	hom_alt	194	20367.204761322464	1057.3428206844646	18384.986764590874	22563.13997400191
250000.0	0	hom_ref	949	7394.144332851223	138.68495516124847	7126.9273886948995	7671.380306436346
250000.0	2	hom_alt	194	7389.3422335894575	231.4934100315594	6946.5802690204155	7860.32501324694
300000.0	0	hom_ref	949	10715.36692070434	198.63838581795383	10332.550730269239	11112.366272634108
300000.0	2	hom_alt	194	10721.10587920108	426.3732282443538	9912.292245018496	11595.916305918554
350000.0	0	hom_ref	949	11839.843531216926	216.7751662830528	11421.980891160672	12272.993290698314
350000.0	2	hom_alt	194	12035.282885463237	457.35589092778395	11166.20148427347	12972.006132714776
400000.0	0	hom_ref	949	16934.461748992704	352.2650872950186	16257.072725314729	17640.07577339205
400000.0	2	hom_alt	194	16959.271441420296	764.1014904346783	15517.231126769495	18535.322795288706
450000.0	0	hom_ref	949	27027.468159342436	569.3025267192475	25933.006121985734	28168.120258336436
450000.0	2	hom_alt	194	27977.496489673907	1226.8819188790787	25659.37246863356	30505.044922144938
500000.0	0	hom_ref	949	29120.770325009496	945.471601729597	27323.186648640214	31036.616454258157
500000.0	2	hom_alt	194	28865.516318114696	2086.788639821095	25029.64579777524	33289.245842440425
550000.0	0	hom_ref	949	32409.495794977618	677.5113027669591	31106.80458027976	33766.741131313756
550000.0	2	hom_alt	194	30317.034239646142	1535.786061068479	27434.361315321705	33502.604800008936
600000.0	0	hom_ref	949	18189.991473897466	283.56314847138765	17641.93351411039	18755.07520509705
600000.0	2	hom_alt	194	17287.181574490805	660.7482349559801	16031.877631558842	18640.776436637283
650000.0	0	hom_ref	949	12093.548301378982	304.697039484505	11510.131849744057	12706.536504274589
650000.0	2	hom_alt	194	11501.92992982241	655.5871162810568	10278.926832416835	12870.447885019023
700000.0	0	hom_ref	949	16179.733731648752	351.8509089656501	15503.763702888122	16885.176312270938
700000.0	2	hom_alt	194	15589.414727056952	760.7785312950253	14158.858145144763	17164.509245084708
750000.0	0	hom_ref	949	10795.271215233708	195.34847725703224	10418.633017076883	11185.525051073357
750000.0	2	hom_alt	194	11338.594707639988	411.8930583282668	10554.62531783577	12180.795250672487
