position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	949	0.006527875077	20322.49939	2	0.00210748156	0.006527875077
10000	10001	949	0.0138939786	18152.74332	2	0.00210748156	0.0138939786
20000	20001	949	0.0152408916	22303.05303	2	0.00210748156	0.0152408916
30000	30001	949	0.01627180222	29679.42146	3	0.003161222339	0.01627180222
40000	40001	949	0.01554774451	26515.44703	3	0.003161222339	0.01554774451
50000	50001	949	0.0161625535	18551.09937	3	0.003161222339	0.0161625535
60000	60001	949	0.01834685493	14765.76442	3	0.003161222339	0.01834685493
70000	70001	949	0.0211768331	10518.6506	3	0.003161222339	0.0211768331
80000	80001	949	0.02296311721	7827.793224	3	0.003161222339	0.02296311721
90000	90001	949	0.02467483831	10857.44323	3	0.003161222339	0.02467483831
100000	100001	949	0.02158250513	15105.63298	3	0.003161222339	0.02158250513
110000	110001	949	0.02045542525	17558.44322	3	0.003161222339	0.02045542525
120000	120001	949	0.01975562514	24710.39715	3	0.003161222339	0.01975562514
130000	130001	949	0.02227304588	21054.39477	3	0.003161222339	0.02227304588
140000	140001	949	0.02369936049	14589.57156	3	0.003161222339	0.02369936049
150000	150001	949	0.02326894016	14666.26911	3	0.003161222339	0.02326894016
160000	160001	949	0.02173298266	15018.55818	3	0.003161222339	0.02173298266
170000	170001	949	0.01895846468	27498.68829	3	0.003161222339	0.01895846468
180000	180001	949	0.01909884454	29841.51781	3	0.003161222339	0.01909884454
190000	190001	949	0.01948387624	26858.43304	4	0.004214963119	0.01948387624
200000	200001	949	0.02117730299	18850.70359	4	0.004214963119	0.02117730299
210000	210001	949	0.0209453142	17806.1268	4	0.004214963119	0.0209453142
220000	220001	949	0.01834977357	22319.79395	4	0.004214963119	0.01834977357
230000	230001	949	0.01841075415	19668.80469	5	0.005268703899	0.01841075415
240000	240001	949	0.02042621276	18410.73789	5	0.005268703899	0.02042621276
250000	250001	949	0.02634776139	9386.462903	5	0.005268703899	0.02634776139
260000	260001	949	0.0257789992	7383.702705	5	0.005268703899	0.0257789992
270000	270001	949	0.02246250104	9228.085061	5	0.005268703899	0.02246250104
280000	280001	949	0.02020960437	8760.719363	5	0.005268703899	0.02020960437
290000	290001	949	0.01692052336	11154.76396	5	0.005268703899	0.01692052336
300000	300001	949	0.01729401028	12366.18271	5	0.005268703899	0.01729401028
310000	310001	949	0.01974631329	11613.24351	5	0.005268703899	0.01974631329
320000	320001	949	0.02114399172	10313.36516	5	0.005268703899	0.02114399172
330000	330001	949	0.02310175383	15098.68632	5	0.005268703899	0.02310175383
340000	340001	949	0.02629866239	12033.55142	5	0.005268703899	0.02629866239
350000	350001	949	0.02890970421	12939.6793	6	0.006322444679	0.02890970421
360000	360001	949	0.02783604038	10498.72888	6	0.006322444679	0.02783604038
370000	370001	949	0.02281789635	13819.64169	6	0.006322444679	0.02281789635
380000	380001	949	0.01946142981	13443.60965	6	0.006322444679	0.01946142981
390000	390001	949	0.01912566724	18125.24207	5	0.005268703899	0.01912566724
400000	400001	949	0.01743556598	14809.58825	5	0.005268703899	0.01743556598
410000	410001	949	0.01877840985	24652.88457	5	0.005268703899	0.01877840985
420000	420001	949	0.0162410184	24656.07252	5	0.005268703899	0.0162410184
430000	430001	949	0.01804594095	29409.53281	5	0.005268703899	0.01804594095
440000	440001	949	0.01730995769	41029.55949	4	0.004214963119	0.01730995769
450000	450001	949	0.01527858261	33278.24478	4	0.004214963119	0.01527858261
460000	460001	949	0.01539120829	22786.92099	4	0.004214963119	0.01539120829
470000	470001	949	0.01841351801	21038.35529	4	0.004214963119	0.01841351801
480000	480001	949	0.02380321369	14640.82235	4	0.004214963119	0.02380321369
490000	490001	949	0.02445228112	17411.30398	4	0.004214963119	0.02445228112
500000	500001	949	0.01972195474	23013.10561	4	0.004214963119	0.01972195474
510000	510001	949	0.01853194323	14456.5711	4	0.004214963119	0.01853194323
520000	520001	949	0.01557605435	16079.96164	4	0.004214963119	0.01557605435
530000	530001	949	0.01648244652	19988.22797	4	0.004214963119	0.01648244652
540000	540001	949	0.01631680456	21652.91368	4	0.004214963119	0.01631680456
550000	550001	949	0.01722656243	20984.96867	4	0.004214963119	0.01722656243
560000	560001	949	0.01572721099	17149.84918	4	0.004214963119	0.01572721099
570000	570001	949	0.01722751605	16340.17016	3	0.003161222339	0.01722751605
580000	580001	949	0.01839352106	24784.02027	3	0.003161222339	0.01839352106
590000	590001	949	0.01807946118	24670.07659	3	0.003161222339	0.01807946118
600000	600001	949	0.01880894608	19606.16776	3	0.003161222339	0.01880894608
610000	610001	949	0.01633590633	19701.00571	3	0.003161222339	0.01633590633
620000	620001	949	0.0169798773	19613.16843	3	0.003161222339	0.0169798773
630000	630001	949	0.01785336131	20524.84984	3	0.003161222339	0.01785336131
640000	640001	949	0.02085649888	14456.72963	3	0.003161222339	0.02085649888
650000	650001	949	0.02525162866	14038.13448	3	0.003161222339	0.02525162866
