position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	2000	3.55290291e-05	22806.91704	0	0	3.55290291e-05
10000	10001	2000	3.094891364e-05	25427.03084	0	0	3.094891364e-05
20000	20001	2000	3.893448852e-05	23418.69777	0	0	3.893448852e-05
30000	30001	2000	7.185048281e-05	20515.2204	0	0	7.185048281e-05
40000	40001	2000	6.298856012e-05	22671.12367	0	0	6.298856012e-05
50000	50001	2000	0.0001076594378	19464.69522	0	0	0.0001076594378
60000	60001	2000	0.0001238508965	18171.00663	0	0	0.0001238508965
70000	70001	2000	0.0001443279887	18642.68444	0	0	0.0001443279887
80000	80001	2000	8.789282062e-05	18867.89396	0	0	8.789282062e-05
90000	90001	2000	0.0001021800245	21610.22991	0	0	0.0001021800245
100000	100001	2000	9.634666555e-05	18498.42823	0	0	9.634666555e-05
110000	110001	2000	4.302360295e-05	19279.45318	0	0	4.302360295e-05
120000	120001	2000	1.584690171e-05	24054.65682	0	0	1.584690171e-05
130000	130001	2000	2.516953556e-05	24501.29341	0	0	2.516953556e-05
140000	140001	2000	2.873086818e-05	23356.99223	0	0	2.873086818e-05
150000	150001	2000	3.658075196e-05	21889.72233	0	0	3.658075196e-05
160000	160001	2000	2.687331868e-05	23510.50867	0	0	2.687331868e-05
170000	170001	2000	3.523712542e-05	24227.21009	0	0	3.523712542e-05
180000	180001	2000	6.273764407e-05	21861.59669	0	0	6.273764407e-05
190000	190001	2000	2.158759438e-05	24479.80227	0	0	2.158759438e-05
200000	200001	2000	3.623345282e-05	24115.16266	0	0	3.623345282e-05
210000	210001	2000	3.621924781e-05	23095.11642	0	0	3.621924781e-05
220000	220001	2000	4.663082295e-05	23921.32527	0	0	4.663082295e-05
230000	230001	2000	6.653885954e-05	22006.13213	0	0	6.653885954e-05
240000	240001	2000	6.031913093e-05	20217.57966	0	0	6.031913093e-05
250000	250001	2000	0.0001060931911	19783.15575	0	0	0.0001060931911
260000	260001	2000	0.0001000819539	17259.31262	0	0	0.0001000819539
270000	270001	2000	0.0002034175727	16990.75851	0	0	0.0002034175727
280000	280001	2000	0.0001758689885	16678.20736	0	0	0.0001758689885
290000	290001	2000	0.0003328770955	16672.02484	0	0	0.0003328770955
300000	300001	2000	0.0001142912065	18213.44909	0	0	0.0001142912065
310000	310001	2000	0.000101566162	18181.01913	0	0	0.000101566162
320000	320001	2000	0.0001530074304	17934.24066	0	0	0.0001530074304
330000	330001	2000	0.0001399558718	19885.89802	0	0	0.0001399558718
340000	340001	2000	0.0001069932562	19026.93262	0	0	0.0001069932562
350000	350001	2000	0.0002227252892	16914.68497	0	0	0.0002227252892
360000	360001	2000	0.0002220200433	16946.23987	0	0	0.0002220200433
370000	370001	2000	0.0001213828408	18881.01626	0	0	0.0001213828408
380000	380001	2000	5.28137799e-05	20358.7887	0	0	5.28137799e-05
390000	390001	2000	8.208103441e-05	19265.46384	0	0	8.208103441e-05
400000	400001	2000	2.547394246e-05	21410.22863	0	0	2.547394246e-05
410000	410001	2000	2.74682116e-05	27553.17316	0	0	2.74682116e-05
420000	420001	2000	3.54218098e-05	26800.04417	0	0	3.54218098e-05
430000	430001	2000	2.481695743e-05	22598.79775	0	0	2.481695743e-05
440000	440001	2000	3.2690899e-05	22287.13015	0	0	3.2690899e-05
450000	450001	2000	6.606552635e-05	20384.52834	0	0	6.606552635e-05
460000	460001	2000	6.705763212e-05	19544.63662	0	0	6.705763212e-05
470000	470001	2000	8.037385705e-05	18944.69991	0	0	8.037385705e-05
480000	480001	2000	8.740397838e-05	20698.44423	0	0	8.740397838e-05
490000	490001	2000	6.098805257e-05	20212.07861	0	0	6.098805257e-05
500000	500001	2000	0.0001264511931	18508.85093	0	0	0.0001264511931
510000	510001	2000	7.368529606e-05	20134.68116	0	0	7.368529606e-05
520000	520001	2000	0.0001191494355	18307.4832	0	0	0.0001191494355
530000	530001	2000	3.914761581e-05	22700.5383	0	0	3.914761581e-05
540000	540001	2000	2.83923664e-05	25254.84267	0	0	2.83923664e-05
550000	550001	2000	4.227595051e-05	24966.03171	0	0	4.227595051e-05
560000	560001	2000	5.97960003e-05	21764.16426	0	0	5.97960003e-05
570000	570001	2000	5.166881579e-05	21851.95659	0	0	5.166881579e-05
580000	580001	2000	4.541400641e-05	25773.41172	0	0	4.541400641e-05
590000	590001	2000	3.092820952e-05	26545.2572	0	0	3.092820952e-05
600000	600001	2000	4.541932796e-05	20926.22557	0	0	4.541932796e-05
610000	610001	2000	5.88425256e-05	20194.98062	0	0	5.88425256e-05
620000	620001	2000	0.0001444416579	18368.6414	0	0	0.0001444416579
630000	630001	2000	0.0001223528535	19126.8963	0	0	0.0001223528535
640000	640001	2000	6.657075528e-05	19881.75978	0	0	6.657075528e-05
650000	650001	2000	7.958865613e-05	20540.55079	0	0	7.958865613e-05
660000	660001	2000	0.0001155665571	17691.56359	0	0	0.0001155665571
670000	670001	2000	9.695690771e-05	17699.08648	0	0	9.695690771e-05
680000	680001	2000	6.363440122e-05	19114.61566	0	0	6.363440122e-05
690000	690001	2000	8.04192347e-05	21746.96297	0	0	8.04192347e-05
700000	700001	2000	5.556936445e-05	21922.68443	0	0	5.556936445e-05
710000	710001	2000	6.807849398e-05	23228.53256	0	0	6.807849398e-05
720000	720001	2000	6.064483888e-05	22121.08416	0	0	6.064483888e-05
730000	730001	2000	9.541891297e-05	20114.1417	0	0	9.541891297e-05
740000	740001	2000	9.070151669e-05	20441.31928	0	0	9.070151669e-05
750000	750001	2000	7.70456723e-05	21214.64037	0	0	7.70456723e-05
760000	760001	2000	0.000121463873	18694.6961	0	0	0.000121463873
770000	770001	2000	4.55586846e-05	21052.9012	0	0	4.55586846e-05
780000	780001	2000	3.606886427e-05	21943.16761	0	0	3.606886427e-05
790000	790001	2000	6.969780697e-05	21979.91457	0	0	6.969780697e-05
800000	800001	2000	6.871454823e-05	19558.19262	0	0	6.871454823e-05
810000	810001	2000	9.982451769e-05	20536.73886	0	0	9.982451769e-05
820000	820001	2000	0.0001046442797	18488.01303	0	0	0.0001046442797
830000	830001	2000	7.075881021e-05	18085.64332	0	0	7.075881021e-05
840000	840001	2000	7.652943188e-05	21728.62308	0	0	7.652943188e-05
850000	850001	2000	5.280435372e-05	22907.77638	0	0	5.280435372e-05
860000	860001	2000	3.503261133e-05	21233.79744	0	0	3.503261133e-05
870000	870001	2000	7.636207063e-05	18771.83738	0	0	7.636207063e-05
880000	880001	2000	0.0001306824961	19147.30939	0	0	0.0001306824961
890000	890001	2000	0.0001725078422	17040.78496	0	0	0.0001725078422
900000	900001	2000	0.0001740275989	16968.95219	0	0	0.0001740275989
910000	910001	2000	0.0001578829909	17975.22429	0	0	0.0001578829909
920000	920001	2000	0.0001239357601	18424.40911	0	0	0.0001239357601
930000	930001	2000	0.0001162078711	18626.20916	0	0	0.0001162078711
940000	940001	2000	5.475185221e-05	21774.77704	0	0	5.475185221e-05
950000	950001	2000	9.833338813e-05	19543.53266	0	0	9.833338813e-05
960000	960001	2000	8.93175935e-05	19131.80631	0	0	8.93175935e-05
970000	970001	2000	8.800182916e-05	19869.32147	0	0	8.800182916e-05
980000	980001	2000	0.0001012076081	20396.72918	0	0	0.0001012076081
990000	990001	2000	0.0001477402586	18060.58302	0	0	0.0001477402586
1000000	1000001	2000	0.000114817323	17106.68542	0	0	0.000114817323
1010000	1010001	2000	8.700629493e-05	18860.70958	0	0	8.700629493e-05
1020000	1020001	2000	3.463980022e-05	26010.75428	0	0	3.463980022e-05
1030000	1030001	2000	2.853935998e-05	21975.05919	0	0	2.853935998e-05
1040000	1040001	2000	5.100047436e-05	18817.72486	0	0	5.100047436e-05
1050000	1050001	2000	8.653114384e-05	18635.28357	0	0	8.653114384e-05
1060000	1060001	2000	6.346929949e-05	19163.52764	0	0	6.346929949e-05
1070000	1070001	2000	4.614381197e-05	25200.09804	0	0	4.614381197e-05
1080000	1080001	2000	2.283569571e-05	22911.48187	0	0	2.283569571e-05
1090000	1090001	2000	5.912529918e-05	18997.13099	0	0	5.912529918e-05
1100000	1100001	2000	0.0001672070214	17408.95504	0	0	0.0001672070214
1110000	1110001	2000	0.0001498579448	17108.90119	0	0	0.0001498579448
1120000	1120001	2000	0.0001704747921	18196.58205	0	0	0.0001704747921
1130000	1130001	2000	6.603221588e-05	20571.04266	0	0	6.603221588e-05
1140000	1140001	2000	2.380144931e-05	24689.22877	0	0	2.380144931e-05
1150000	1150001	2000	2.800067643e-05	25406.44213	0	0	2.800067643e-05
1160000	1160001	2000	3.848417837e-05	22480.47758	0	0	3.848417837e-05
1170000	1170001	2000	0.0001329154498	17985.09246	0	0	0.0001329154498
1180000	1180001	2000	0.0001429566885	18405.01546	0	0	0.0001429566885
1190000	1190001	2000	0.0001633319364	17856.29044	0	0	0.0001633319364
1200000	1200001	2000	0.0002401712725	16929.73739	0	0	0.0002401712725
1210000	1210001	2000	9.172028871e-05	17126.65613	0	0	9.172028871e-05
1220000	1220001	2000	9.318818965e-05	19277.93112	0	0	9.318818965e-05
1230000	1230001	2000	5.678725667e-05	21511.40029	0	0	5.678725667e-05
1240000	1240001	2000	2.14381386e-05	24059.51385	0	0	2.14381386e-05
1250000	1250001	2000	2.794532529e-05	23254.30456	0	0	2.794532529e-05
1260000	1260001	2000	3.711790074e-05	20584.38393	0	0	3.711790074e-05
1270000	1270001	2000	6.60262272e-05	21092.6597	0	0	6.60262272e-05
1280000	1280001	2000	7.180681355e-05	19286.27453	0	0	7.180681355e-05
1290000	1290001	2000	7.385816201e-05	20638.60034	0	0	7.385816201e-05
1300000	1300001	2000	6.028377351e-05	22086.52998	0	0	6.028377351e-05
1310000	1310001	2000	1.33200845e-05	29538.29623	0	0	1.33200845e-05
1320000	1320001	2000	5.938345793e-05	22678.08891	0	0	5.938345793e-05
1330000	1330001	2000	9.448578578e-05	18880.9351	0	0	9.448578578e-05
1340000	1340001	2000	0.0001025552872	21552.27531	0	0	0.0001025552872
1350000	1350001	2000	0.0001074092708	20247.97353	0	0	0.0001074092708
1360000	1360001	2000	4.246671334e-05	22670.7005	0	0	4.246671334e-05
1370000	1370001	2000	4.267295644e-05	22692.00109	0	0	4.267295644e-05
1380000	1380001	2000	5.064709501e-05	23985.75605	0	0	5.064709501e-05
1390000	1390001	2000	3.566689935e-05	26342.3118	0	0	3.566689935e-05
1400000	1400001	2000	2.121122893e-05	23177.28214	0	0	2.121122893e-05
1410000	1410001	2000	4.402400954e-05	20153.85188	0	0	4.402400954e-05
1420000	1420001	2000	4.431023055e-05	21344.1862	0	0	4.431023055e-05
1430000	1430001	2000	6.007598973e-05	22377.45213	0	0	6.007598973e-05
1440000	1440001	2000	3.682570804e-05	22978.5178	0	0	3.682570804e-05
1450000	1450001	2000	4.79358762e-05	23449.15984	0	0	4.79358762e-05
1460000	1460001	2000	5.921489951e-05	20566.765	0	0	5.921489951e-05
1470000	1470001	2000	0.000136844175	18382.6307	0	0	0.000136844175
1480000	1480001	2000	0.0001193379368	19807.00229	0	0	0.0001193379368
1490000	1490001	2000	3.660978108e-05	24713.6243	0	0	3.660978108e-05
1500000	1500001	2000	2.084434508e-05	27756.44965	0	0	2.084434508e-05
1510000	1510001	2000	3.274863877e-05	22643.23944	0	0	3.274863877e-05
1520000	1520001	2000	3.726668907e-05	23144.25049	0	0	3.726668907e-05
1530000	1530001	2000	7.190614292e-05	19976.82571	0	0	7.190614292e-05
1540000	1540001	2000	7.508193139e-05	21513.9583	0	0	7.508193139e-05
1550000	1550001	2000	6.411378188e-05	21970.90223	0	0	6.411378188e-05
1560000	1560001	2000	0.0001148877821	18626.56169	0	0	0.0001148877821
1570000	1570001	2000	0.0001232416172	17556.2442	0	0	0.0001232416172
1580000	1580001	2000	5.806748743e-05	19756.19687	0	0	5.806748743e-05
1590000	1590001	2000	4.577277946e-05	21235.67258	0	0	4.577277946e-05
1600000	1600001	2000	2.846399355e-05	21322.99631	0	0	2.846399355e-05
1610000	1610001	2000	3.052264487e-05	23322.97116	0	0	3.052264487e-05
1620000	1620001	2000	3.180919048e-05	25617.23755	0	0	3.180919048e-05
