seed	band_low	band_high	position	derived_frequency	n_hom	threshold_years	p_hom_derived	p_unconditional
20260824	0.45	0.55	4996972.0	0.525	29	10000.0	0.0	0.0
20260824	0.45	0.55	4996972.0	0.525	29	20000.0	0.1724137931034483	0.06
20260824	0.45	0.55	4996972.0	0.525	29	30000.0	0.5172413793103449	0.16
20260824	0.45	0.55	4996972.0	0.525	29	50000.0	0.5172413793103449	0.29
20260824	0.45	0.55	4996972.0	0.525	29	100000.0	0.896551724137931	0.4
20260824	0.65	0.75	5011375.0	0.72	52	10000.0	0.0	0.0
20260824	0.65	0.75	5011375.0	0.72	52	20000.0	0.09615384615384616	0.05
20260824	0.65	0.75	5011375.0	0.72	52	30000.0	0.36538461538461536	0.2
20260824	0.65	0.75	5011375.0	0.72	52	50000.0	0.38461538461538464	0.28
20260824	0.65	0.75	5011375.0	0.72	52	100000.0	0.5769230769230769	0.38
20260824	0.85	0.95	4994277.0	0.91	83	10000.0	0.0	0.0
20260824	0.85	0.95	4994277.0	0.91	83	20000.0	0.04819277108433735	0.05
20260824	0.85	0.95	4994277.0	0.91	83	30000.0	0.18072289156626506	0.16
20260824	0.85	0.95	4994277.0	0.91	83	50000.0	0.3373493975903614	0.29
20260824	0.85	0.95	4994277.0	0.91	83	100000.0	0.46987951807228917	0.4
20260826	0.45	0.55	4946087.0	0.495	27	10000.0	0.037037037037037035	0.02
20260826	0.45	0.55	4946087.0	0.495	27	20000.0	0.1111111111111111	0.05
20260826	0.45	0.55	4946087.0	0.495	27	30000.0	0.18518518518518517	0.11
20260826	0.45	0.55	4946087.0	0.495	27	50000.0	0.6296296296296297	0.28
20260826	0.45	0.55	4946087.0	0.495	27	100000.0	0.6296296296296297	0.28
20260826	0.65	0.75	4998333.0	0.66	43	10000.0	0.046511627906976744	0.04
20260826	0.65	0.75	4998333.0	0.66	43	20000.0	0.09302325581395349	0.06
20260826	0.65	0.75	4998333.0	0.66	43	30000.0	0.20930232558139536	0.12
20260826	0.65	0.75	4998333.0	0.66	43	50000.0	0.5581395348837209	0.28
20260826	0.65	0.75	4998333.0	0.66	43	100000.0	1.0	0.47
20260826	0.85	0.95	4997922.0	0.92	85	10000.0	0.03529411764705882	0.04
20260826	0.85	0.95	4997922.0	0.92	85	20000.0	0.058823529411764705	0.06
20260826	0.85	0.95	4997922.0	0.92	85	30000.0	0.12941176470588237	0.12
20260826	0.85	0.95	4997922.0	0.92	85	50000.0	0.3176470588235294	0.28
20260826	0.85	0.95	4997922.0	0.92	85	100000.0	0.5411764705882353	0.47
20260828	0.45	0.55	5008120.0	0.535	25	10000.0	0.0	0.01
20260828	0.45	0.55	5008120.0	0.535	25	20000.0	0.04	0.03
20260828	0.45	0.55	5008120.0	0.535	25	30000.0	0.08	0.09
20260828	0.45	0.55	5008120.0	0.535	25	50000.0	0.16	0.15
20260828	0.45	0.55	5008120.0	0.535	25	100000.0	0.28	0.18
20260828	0.65	0.75	4994915.0	0.74	55	10000.0	0.0	0.01
20260828	0.65	0.75	4994915.0	0.74	55	20000.0	0.03636363636363636	0.04
20260828	0.65	0.75	4994915.0	0.74	55	30000.0	0.09090909090909091	0.09
20260828	0.65	0.75	4994915.0	0.74	55	50000.0	0.12727272727272726	0.14
20260828	0.65	0.75	4994915.0	0.74	55	100000.0	0.18181818181818182	0.17
20260828	0.85	0.95	4985241.0	0.86	73	10000.0	0.0273972602739726	0.02
20260828	0.85	0.95	4985241.0	0.86	73	20000.0	0.0547945205479452	0.04
20260828	0.85	0.95	4985241.0	0.86	73	30000.0	0.1780821917808219	0.13
20260828	0.85	0.95	4985241.0	0.86	73	50000.0	0.2191780821917808	0.16
20260828	0.85	0.95	4985241.0	0.86	73	100000.0	0.2602739726027397	0.2
20260830	0.25	0.35	4993377.0	0.29	14	10000.0	0.07142857142857142	0.01
20260830	0.25	0.35	4993377.0	0.29	14	20000.0	0.35714285714285715	0.12
20260830	0.25	0.35	4993377.0	0.29	14	30000.0	0.35714285714285715	0.14
20260830	0.25	0.35	4993377.0	0.29	14	50000.0	0.8571428571428571	0.23
20260830	0.25	0.35	4993377.0	0.29	14	100000.0	1.0	0.41
20260830	0.45	0.55	4996100.0	0.465	25	10000.0	0.0	0.01
20260830	0.45	0.55	4996100.0	0.465	25	20000.0	0.08	0.11
20260830	0.45	0.55	4996100.0	0.465	25	30000.0	0.12	0.13
20260830	0.45	0.55	4996100.0	0.465	25	50000.0	0.16	0.21
20260830	0.45	0.55	4996100.0	0.465	25	100000.0	0.32	0.4
20260830	0.65	0.75	4998925.0	0.67	46	10000.0	0.021739130434782608	0.01
20260830	0.65	0.75	4998925.0	0.67	46	20000.0	0.17391304347826086	0.1
