position_0based	n_pairs	observed_fraction_recent	neutral_mean_fraction_recent	neutral_median_fraction_recent	neutral_ci95_lower	neutral_ci95_upper	neutral_exceedances	n_neutral_replicates	p_upper	q_bh
0.0	2000	3.922109741e-05	6.15195513398e-05	5.4362997420000006e-05	1.9435184534249998e-05	0.00012115914450499998	81	100	0.8118811881188119	0.9551543389633081
10000.0	2000	4.943724786e-05	6.350146606923999e-05	5.1879190169999996e-05	1.905622294275e-05	0.00018700662468749998	51	100	0.5148514851485149	0.8876749743939911
20000.0	2000	4.597122364e-05	6.98127596307e-05	5.8466665915e-05	2.453777845725e-05	0.00017853461968499998	67	100	0.6732673267326733	0.9240924092409241
30000.0	2000	8.623793144e-05	6.99681140104e-05	5.8351610635e-05	1.89019409415e-05	0.00017835464754	24	100	0.24752475247524752	0.872423307904561
40000.0	2000	8.571850152e-05	7.35125406055e-05	6.372913309e-05	1.912370708075e-05	0.00019617268238749996	29	100	0.297029702970297	0.872423307904561
50000.0	2000	4.94381727e-05	6.836221702850001e-05	5.4817900575000004e-05	1.9910167612499998e-05	0.0001621491621125	60	100	0.6039603960396039	0.9141539153915392
60000.0	2000	3.729734492e-05	6.64639285076e-05	5.485225262e-05	2.0452380531e-05	0.00016563871803749997	69	100	0.693069306930693	0.9240924092409241
70000.0	2000	1.809702952e-05	6.31212923373e-05	5.4411591055e-05	1.8973540615e-05	0.00014522958672999995	99	100	0.9900990099009901	0.9950743818100403
80000.0	2000	1.884793174e-05	5.683183410119999e-05	5.170166089499999e-05	1.843979944375e-05	0.00013236040765249999	95	100	0.9504950495049505	0.9921446690123558
90000.0	2000	3.029626707e-05	5.9942862336199995e-05	5.0245516385000004e-05	2.0227320654e-05	0.00016692809851249972	87	100	0.8712871287128713	0.9680968096809681
100000.0	2000	8.819183407e-05	6.852199315639999e-05	5.719860425e-05	1.9893083919500002e-05	0.00017182747097999979	27	100	0.27722772277227725	0.872423307904561
110000.0	2000	5.115480557e-05	6.8946376723e-05	5.6584337214999995e-05	2.129923781775e-05	0.00018726040129499996	58	100	0.5841584158415841	0.9141539153915392
120000.0	2000	4.522961399e-05	6.95334270581e-05	5.4445909374999996e-05	2.08643466765e-05	0.00018626995894749991	68	100	0.6831683168316832	0.9240924092409241
130000.0	2000	1.577814424e-05	7.50807622449e-05	5.5261593600000003e-05	1.9441427848750002e-05	0.00018078161301249995	99	100	0.9900990099009901	0.9950743818100403
140000.0	2000	2.153624463e-05	7.701982708427001e-05	6.198090618e-05	2.238817082525e-05	0.00020063103314499998	98	100	0.9801980198019802	0.9941156387444018
150000.0	2000	5.628158115e-05	7.0023019029e-05	5.5859752175e-05	1.745504948825e-05	0.00019085715021999997	50	100	0.504950495049505	0.8781747739991391
160000.0	2000	4.354244692e-05	6.222600833566999e-05	4.955804606e-05	1.7135224595e-05	0.00014928015502499995	60	100	0.6039603960396039	0.9141539153915392
170000.0	2000	2.478001502e-05	7.23550815643e-05	5.1818386965e-05	2.154641803625e-05	0.00020852013997749988	94	100	0.9405940594059405	0.9880189699642233
180000.0	2000	2.038154105e-05	7.21020933271e-05	6.0125484810000005e-05	1.77934296195e-05	0.00020022350263999971	96	100	0.9603960396039604	0.9921446690123558
190000.0	2000	4.99228957e-05	6.868009962029999e-05	5.5396130895e-05	1.913375001825e-05	0.0002023548705074998	56	100	0.5643564356435643	0.910252315554136
