position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	2000	0.006459743995	20362.02797	4	0.002	0.006459743995
10000	10001	2000	0.01413338455	18184.92478	5	0.0025	0.01413338455
20000	20001	2000	0.01522185496	22133.33745	6	0.003	0.01522185496
30000	30001	2000	0.01570528884	29276.91002	7	0.0035	0.01570528884
40000	40001	2000	0.01525879446	26803.39822	7	0.0035	0.01525879446
50000	50001	2000	0.01557943999	18449.13702	7	0.0035	0.01557943999
60000	60001	2000	0.01817910136	14552.77919	7	0.0035	0.01817910136
70000	70001	2000	0.02160293009	10401.4776	7	0.0035	0.02160293009
80000	80001	2000	0.0229132791	7868.392131	7	0.0035	0.0229132791
90000	90001	2000	0.02347853355	11057.98228	7	0.0035	0.02347853355
100000	100001	2000	0.02015444172	15519.30928	7	0.0035	0.02015444172
110000	110001	2000	0.01884220751	17737.98733	7	0.0035	0.01884220751
120000	120001	2000	0.01799243839	24933.53628	7	0.0035	0.01799243839
130000	130001	2000	0.02051828722	21080.3902	7	0.0035	0.02051828722
140000	140001	2000	0.02262003737	14624.56064	7	0.0035	0.02262003737
150000	150001	2000	0.02206153517	14796.14331	7	0.0035	0.02206153517
160000	160001	2000	0.0204692011	15233.08982	7	0.0035	0.0204692011
170000	170001	2000	0.01831507627	28067.81742	7	0.0035	0.01831507627
180000	180001	2000	0.01836868031	30081.42408	7	0.0035	0.01836868031
190000	190001	2000	0.01881205723	26986.64436	8	0.004	0.01881205723
200000	200001	2000	0.02056004544	19162.54752	8	0.004	0.02056004544
210000	210001	2000	0.02076337533	18080.63125	8	0.004	0.02076337533
220000	220001	2000	0.01857296737	22319.13936	8	0.004	0.01857296737
230000	230001	2000	0.01858774758	19804.52329	9	0.0045	0.01858774758
240000	240001	2000	0.02087200837	18631.52498	9	0.0045	0.02087200837
250000	250001	2000	0.02673344583	9471.593205	9	0.0045	0.02673344583
260000	260001	2000	0.02602418105	7386.456053	9	0.0045	0.02602418105
270000	270001	2000	0.02289471343	9259.421219	9	0.0045	0.02289471343
280000	280001	2000	0.02040377781	8849.608199	9	0.0045	0.02040377781
290000	290001	2000	0.01705149537	11021.31326	9	0.0045	0.01705149537
300000	300001	2000	0.0172153191	12137.0638	8	0.004	0.0172153191
310000	310001	2000	0.01927656375	11444.14608	8	0.004	0.01927656375
320000	320001	2000	0.01875283793	10536.87057	7	0.0035	0.01875283793
330000	330001	2000	0.02023704522	15679.13579	7	0.0035	0.02023704522
340000	340001	2000	0.02287593845	12673.40129	7	0.0035	0.02287593845
350000	350001	2000	0.02582964048	13466.35173	8	0.004	0.02582964048
360000	360001	2000	0.02452989736	10701.67918	8	0.004	0.02452989736
370000	370001	2000	0.01995132367	14077.91832	8	0.004	0.01995132367
380000	380001	2000	0.016801544	13665.05373	8	0.004	0.016801544
390000	390001	2000	0.01701120234	18020.19463	7	0.0035	0.01701120234
400000	400001	2000	0.01594709348	14961.45883	8	0.004	0.01594709348
410000	410001	2000	0.0185662689	24499.4922	8	0.004	0.0185662689
420000	420001	2000	0.01537049722	24322.15265	8	0.004	0.01537049722
430000	430001	2000	0.01648980675	28987.29176	8	0.004	0.01648980675
440000	440001	2000	0.01526634822	40111.40192	7	0.0035	0.01526634822
