position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	194	3.526914489e-05	23128.88821	0	0	3.526914489e-05
10000	10001	194	3.37367631e-05	25324.87254	0	0	3.37367631e-05
20000	20001	194	4.560877531e-05	22966.71956	0	0	4.560877531e-05
30000	30001	194	7.95588896e-05	19994.88217	0	0	7.95588896e-05
40000	40001	194	6.93739745e-05	22227.24178	0	0	6.93739745e-05
50000	50001	194	0.000113434344	19276.57871	0	0	0.000113434344
60000	60001	194	0.0001235567569	18308.61135	0	0	0.0001235567569
70000	70001	194	0.0001376800759	18871.96293	0	0	0.0001376800759
80000	80001	194	8.566916567e-05	18829.94231	0	0	8.566916567e-05
90000	90001	194	0.0001069459923	21253.96029	0	0	0.0001069459923
100000	100001	194	0.0001014017531	18450.83719	0	0	0.0001014017531
110000	110001	194	4.711072842e-05	19152.756	0	0	4.711072842e-05
120000	120001	194	1.651686832e-05	23828.28596	0	0	1.651686832e-05
130000	130001	194	2.426227252e-05	24400.17598	0	0	2.426227252e-05
140000	140001	194	2.568604738e-05	23753.3835	0	0	2.568604738e-05
150000	150001	194	3.442325989e-05	22069.29694	0	0	3.442325989e-05
160000	160001	194	2.695857472e-05	23230.03793	0	0	2.695857472e-05
170000	170001	194	3.524521621e-05	24538.1226	0	0	3.524521621e-05
180000	180001	194	6.359344249e-05	21969.81606	0	0	6.359344249e-05
190000	190001	194	2.241501426e-05	24775.84588	0	0	2.241501426e-05
200000	200001	194	3.758938403e-05	24102.86185	0	0	3.758938403e-05
210000	210001	194	3.713274383e-05	23193.65315	0	0	3.713274383e-05
220000	220001	194	4.136234964e-05	24281.39699	0	0	4.136234964e-05
230000	230001	194	5.716489733e-05	22511.52759	0	0	5.716489733e-05
240000	240001	194	5.746207343e-05	20164.88758	0	0	5.746207343e-05
250000	250001	194	0.0001083933406	19885.12317	0	0	0.0001083933406
260000	260001	194	0.0001017565281	17243.5483	0	0	0.0001017565281
270000	270001	194	0.000208047086	16795.60676	0	0	0.000208047086
280000	280001	194	0.0001790978354	16664.79013	0	0	0.0001790978354
290000	290001	194	0.0003363478079	16670.61906	0	0	0.0003363478079
300000	300001	194	0.0001167051249	18236.03667	0	0	0.0001167051249
310000	310001	194	0.0001057217116	17995.50556	0	0	0.0001057217116
320000	320001	194	0.0001603967364	17852.70478	0	0	0.0001603967364
330000	330001	194	0.0001472790774	19853.54532	0	0	0.0001472790774
340000	340001	194	0.0001127331386	18897.09375	0	0	0.0001127331386
350000	350001	194	0.0002276200842	16858.72388	0	0	0.0002276200842
360000	360001	194	0.0002218655985	16989.15754	0	0	0.0002218655985
370000	370001	194	0.0001240702696	19032.73345	0	0	0.0001240702696
