position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	857	3.617188616e-05	22743.43352	0	0	3.617188616e-05
10000	10001	857	3.190492215e-05	25317.213	0	0	3.190492215e-05
20000	20001	857	3.969176261e-05	23359.89518	0	0	3.969176261e-05
30000	30001	857	7.229729694e-05	20489.58903	0	0	7.229729694e-05
40000	40001	857	6.111763314e-05	22940.84164	0	0	6.111763314e-05
50000	50001	857	0.0001011837295	19714.76385	0	0	0.0001011837295
60000	60001	857	0.000119044804	18361.37897	0	0	0.000119044804
70000	70001	857	0.0001428287484	18622.2113	0	0	0.0001428287484
80000	80001	857	8.811443223e-05	18922.72289	0	0	8.811443223e-05
90000	90001	857	0.0001015963514	21641.42721	0	0	0.0001015963514
100000	100001	857	9.55174553e-05	18524.08236	0	0	9.55174553e-05
110000	110001	857	4.216975415e-05	19238.04913	0	0	4.216975415e-05
120000	120001	857	1.4647722e-05	24114.01364	0	0	1.4647722e-05
130000	130001	857	2.349776595e-05	24571.09049	0	0	2.349776595e-05
140000	140001	857	2.789312601e-05	23392.73819	0	0	2.789312601e-05
150000	150001	857	3.519334196e-05	22002.88345	0	0	3.519334196e-05
160000	160001	857	2.588367053e-05	23714.69616	0	0	2.588367053e-05
170000	170001	857	3.402751661e-05	24360.98154	0	0	3.402751661e-05
180000	180001	857	6.147773671e-05	21941.00777	0	0	6.147773671e-05
190000	190001	857	2.153075605e-05	24385.33993	0	0	2.153075605e-05
200000	200001	857	3.659996488e-05	23978.94872	0	0	3.659996488e-05
210000	210001	857	3.712701558e-05	22966.87756	0	0	3.712701558e-05
220000	220001	857	4.746507383e-05	23893.42846	0	0	4.746507383e-05
230000	230001	857	6.780528697e-05	21970.87194	0	0	6.780528697e-05
240000	240001	857	6.094639655e-05	20271.23231	0	0	6.094639655e-05
250000	250001	857	0.000105750459	19811.84478	0	0	0.000105750459
260000	260001	857	9.941268789e-05	17285.14057	0	0	9.941268789e-05
270000	270001	857	0.0002024620421	17023.92634	0	0	0.0002024620421
280000	280001	857	0.0001749769483	16680.08792	0	0	0.0001749769483
290000	290001	857	0.0003294882448	16687.05245	0	0	0.0003294882448
300000	300001	857	0.0001116923539	18317.22397	0	0	0.0001116923539
310000	310001	857	9.892481169e-05	18236.47798	0	0	9.892481169e-05
320000	320001	857	0.0001498560716	17984.67008	0	0	0.0001498560716
330000	330001	857	0.0001340069402	19991.33629	0	0	0.0001340069402
340000	340001	857	0.0001030925369	19094.42329	0	0	0.0001030925369
350000	350001	857	0.0002202750506	16927.16335	0	0	0.0002202750506
360000	360001	857	0.0002187451062	16978.70283	0	0	0.0002187451062
370000	370001	857	0.000116685298	18995.69417	0	0	0.000116685298
380000	380001	857	5.143240726e-05	20430.77412	0	0	5.143240726e-05
390000	390001	857	8.25182083e-05	19224.55961	0	0	8.25182083e-05
400000	400001	857	2.622024826e-05	21353.00513	0	0	2.622024826e-05
410000	410001	857	2.936493267e-05	27523.25645	0	0	2.936493267e-05
420000	420001	857	3.666307341e-05	26758.98468	0	0	3.666307341e-05
430000	430001	857	2.465353171e-05	22618.18186	0	0	2.465353171e-05
440000	440001	857	3.19327961e-05	22319.93617	0	0	3.19327961e-05
450000	450001	857	6.655303688e-05	20273.0715	0	0	6.655303688e-05
460000	460001	857	6.763959903e-05	19546.79107	0	0	6.763959903e-05
470000	470001	857	8.073827064e-05	18936.52618	0	0	8.073827064e-05
480000	480001	857	8.559278993e-05	20740.14766	0	0	8.559278993e-05
490000	490001	857	5.932779525e-05	20299.69557	0	0	5.932779525e-05
500000	500001	857	0.0001246034666	18510.28305	0	0	0.0001246034666
510000	510001	857	7.225694236e-05	20246.68326	0	0	7.225694236e-05
520000	520001	857	0.0001196774255	18302.24505	0	0	0.0001196774255
530000	530001	857	4.183232382e-05	22524.34259	0	0	4.183232382e-05
540000	540001	857	3.037644067e-05	25124.93456	0	0	3.037644067e-05
550000	550001	857	4.119276219e-05	24978.86788	0	0	4.119276219e-05
560000	560001	857	5.509014225e-05	21897.56584	0	0	5.509014225e-05
570000	570001	857	4.792593155e-05	21961.57165	0	0	4.792593155e-05
580000	580001	857	4.340237672e-05	25853.64952	0	0	4.340237672e-05
590000	590001	857	2.961992454e-05	26657.97191	0	0	2.961992454e-05
600000	600001	857	4.447783653e-05	20850.09449	0	0	4.447783653e-05
610000	610001	857	5.918333966e-05	20142.36123	0	0	5.918333966e-05
620000	620001	857	0.0001426824152	18468.64547	0	0	0.0001426824152
630000	630001	857	0.0001204338279	19234.68599	0	0	0.0001204338279
640000	640001	857	6.849546361e-05	19756.57131	0	0	6.849546361e-05
650000	650001	857	8.179631782e-05	20424.34702	0	0	8.179631782e-05
660000	660001	857	0.0001156964057	17731.098	0	0	0.0001156964057
670000	670001	857	9.798928581e-05	17689.20046	0	0	9.798928581e-05
680000	680001	857	6.465135645e-05	18889.45724	0	0	6.465135645e-05
690000	690001	857	7.893309852e-05	21817.76756	0	0	7.893309852e-05
700000	700001	857	5.395883082e-05	22141.37191	0	0	5.395883082e-05
710000	710001	857	6.37812008e-05	23340.4331	0	0	6.37812008e-05
720000	720001	857	5.626973227e-05	22225.85781	0	0	5.626973227e-05
730000	730001	857	9.010050654e-05	20289.33876	0	0	9.010050654e-05
740000	740001	857	8.306502087e-05	20647.27695	0	0	8.306502087e-05
750000	750001	857	7.099521745e-05	21402.01844	0	0	7.099521745e-05
760000	760001	857	0.0001173656286	18687.86757	0	0	0.0001173656286
770000	770001	857	4.437539289e-05	21020.33297	0	0	4.437539289e-05
780000	780001	857	3.322012815e-05	21996.91014	0	0	3.322012815e-05
790000	790001	857	6.664796963e-05	22079.942	0	0	6.664796963e-05
800000	800001	857	6.809453859e-05	19606.61078	0	0	6.809453859e-05
810000	810001	857	0.0001012497936	20452.0771	0	0	0.0001012497936
820000	820001	857	0.0001047982365	18512.23386	0	0	0.0001047982365
830000	830001	857	7.065458216e-05	18055.92046	0	0	7.065458216e-05
840000	840001	857	7.616557037e-05	21766.49558	0	0	7.616557037e-05
850000	850001	857	5.469746524e-05	22881.61247	0	0	5.469746524e-05
860000	860001	857	3.625610841e-05	21100.13396	0	0	3.625610841e-05
870000	870001	857	7.4103194e-05	18840.2672	0	0	7.4103194e-05
880000	880001	857	0.0001251768273	19317.66599	0	0	0.0001251768273
890000	890001	857	0.0001692570978	17072.04206	0	0	0.0001692570978
900000	900001	857	0.0001730934643	16945.29755	0	0	0.0001730934643
910000	910001	857	0.0001575671385	17991.97067	0	0	0.0001575671385
920000	920001	857	0.0001240749135	18325.73886	0	0	0.0001240749135
930000	930001	857	0.0001159608116	18655.53763	0	0	0.0001159608116
940000	940001	857	5.470920418e-05	21787.44483	0	0	5.470920418e-05
950000	950001	857	0.000100812524	19433.46798	0	0	0.000100812524
960000	960001	857	9.126923042e-05	18984.71881	0	0	9.126923042e-05
970000	970001	857	8.778081654e-05	19960.79268	0	0	8.778081654e-05
980000	980001	857	0.0001019326223	20310.38227	0	0	0.0001019326223
990000	990001	857	0.0001489743424	18057.88198	0	0	0.0001489743424
1000000	1000001	857	0.0001151174121	17089.57405	0	0	0.0001151174121
1010000	1010001	857	8.73761453e-05	18874.68941	0	0	8.73761453e-05
1020000	1020001	857	3.345120297e-05	25897.53881	0	0	3.345120297e-05
1030000	1030001	857	2.806403642e-05	21946.64444	0	0	2.806403642e-05
1040000	1040001	857	5.110297364e-05	18831.46319	0	0	5.110297364e-05
1050000	1050001	857	8.737712424e-05	18543.1057	0	0	8.737712424e-05
1060000	1060001	857	6.237449053e-05	19146.48278	0	0	6.237449053e-05
1070000	1070001	857	4.226309542e-05	25388.61054	0	0	4.226309542e-05
1080000	1080001	857	2.09612042e-05	22912.55482	0	0	2.09612042e-05
1090000	1090001	857	5.975784753e-05	18957.70381	0	0	5.975784753e-05
1100000	1100001	857	0.0001674624203	17434.28174	0	0	0.0001674624203
1110000	1110001	857	0.0001499406301	17091.63433	0	0	0.0001499406301
1120000	1120001	857	0.0001694003145	18172.32968	0	0	0.0001694003145
1130000	1130001	857	6.470770168e-05	20661.88816	0	0	6.470770168e-05
1140000	1140001	857	2.379190189e-05	24661.98871	0	0	2.379190189e-05
1150000	1150001	857	2.853980015e-05	25372.45125	0	0	2.853980015e-05
1160000	1160001	857	3.995596163e-05	22421.14623	0	0	3.995596163e-05
1170000	1170001	857	0.0001325456151	18037.42329	0	0	0.0001325456151
1180000	1180001	857	0.0001407495928	18546.31817	0	0	0.0001407495928
1190000	1190001	857	0.0001625656318	17873.3371	0	0	0.0001625656318
1200000	1200001	857	0.0002402462912	16917.88136	0	0	0.0002402462912
1210000	1210001	857	9.218260803e-05	17109.72945	0	0	9.218260803e-05
1220000	1220001	857	9.452736426e-05	19217.47021	0	0	9.452736426e-05
1230000	1230001	857	5.787284308e-05	21464.71381	0	0	5.787284308e-05
1240000	1240001	857	2.200569467e-05	23954.60281	0	0	2.200569467e-05
1250000	1250001	857	2.951212348e-05	23067.87433	0	0	2.951212348e-05
1260000	1260001	857	3.909995944e-05	20530.51767	0	0	3.909995944e-05
1270000	1270001	857	6.770022496e-05	21079.26705	0	0	6.770022496e-05
1280000	1280001	857	7.327070036e-05	19309.50208	0	0	7.327070036e-05
1290000	1290001	857	7.313785228e-05	20716.78481	0	0	7.313785228e-05
1300000	1300001	857	5.903504034e-05	22113.30622	0	0	5.903504034e-05
1310000	1310001	857	1.286400779e-05	29403.77272	0	0	1.286400779e-05
1320000	1320001	857	5.718132387e-05	22867.23216	0	0	5.718132387e-05
1330000	1330001	857	9.446372526e-05	18863.73973	0	0	9.446372526e-05
1340000	1340001	857	0.0001063091358	21330.33256	0	0	0.0001063091358
1350000	1350001	857	0.0001107994688	20125.55632	0	0	0.0001107994688
1360000	1360001	857	4.395478675e-05	22550.84365	0	0	4.395478675e-05
1370000	1370001	857	4.409606448e-05	22578.74842	0	0	4.409606448e-05
1380000	1380001	857	4.906075203e-05	23898.94401	0	0	4.906075203e-05
1390000	1390001	857	3.352638853e-05	26310.30927	0	0	3.352638853e-05
1400000	1400001	857	2.086141348e-05	23111.8675	0	0	2.086141348e-05
1410000	1410001	857	4.338813784e-05	20201.80015	0	0	4.338813784e-05
1420000	1420001	857	4.341840835e-05	21387.41322	0	0	4.341840835e-05
1430000	1430001	857	5.844253878e-05	22416.24757	0	0	5.844253878e-05
1440000	1440001	857	3.687576926e-05	23003.84004	0	0	3.687576926e-05
1450000	1450001	857	4.642465787e-05	23614.53016	0	0	4.642465787e-05
1460000	1460001	857	5.724304886e-05	20617.18219	0	0	5.724304886e-05
1470000	1470001	857	0.0001353559431	18328.98509	0	0	0.0001353559431
1480000	1480001	857	0.0001172259242	19863.12586	0	0	0.0001172259242
1490000	1490001	857	3.580959484e-05	24857.73247	0	0	3.580959484e-05
1500000	1500001	857	2.032304275e-05	27857.15427	0	0	2.032304275e-05
1510000	1510001	857	3.167790501e-05	22666.80684	0	0	3.167790501e-05
1520000	1520001	857	3.601948666e-05	23261.52505	0	0	3.601948666e-05
1530000	1530001	857	7.039553927e-05	19980.0703	0	0	7.039553927e-05
1540000	1540001	857	7.314033661e-05	21536.55644	0	0	7.314033661e-05
1550000	1550001	857	6.175418124e-05	21975.18998	0	0	6.175418124e-05
1560000	1560001	857	0.0001131040528	18643.59295	0	0	0.0001131040528
1570000	1570001	857	0.0001233052582	17490.77444	0	0	0.0001233052582
1580000	1580001	857	5.741978535e-05	19738.86575	0	0	5.741978535e-05
1590000	1590001	857	4.416359887e-05	21242.83933	0	0	4.416359887e-05
1600000	1600001	857	2.707732364e-05	21326.01797	0	0	2.707732364e-05
1610000	1610001	857	2.830085639e-05	23404.47028	0	0	2.830085639e-05
1620000	1620001	857	2.887351299e-05	25618.08777	0	0	2.887351299e-05
1630000	1630001	857	2.611874945e-05	23441.28373	0	0	2.611874945e-05
1640000	1640001	857	6.658958147e-05	21351.13449	0	0	6.658958147e-05
1650000	1650001	857	4.03147527e-05	20476.9487	0	0	4.03147527e-05
1660000	1660001	857	5.71703226e-05	18961.89664	0	0	5.71703226e-05
1670000	1670001	857	5.129780706e-05	19858.00954	0	0	5.129780706e-05
1680000	1680001	857	4.717407274e-05	22926.4663	0	0	4.717407274e-05
1690000	1690001	857	2.668132626e-05	24605.56696	0	0	2.668132626e-05
1700000	1700001	857	2.953659807e-05	22423.72469	0	0	2.953659807e-05
1710000	1710001	857	2.382214536e-05	24523.61162	0	0	2.382214536e-05
1720000	1720001	857	2.195094021e-05	23999.29324	0	0	2.195094021e-05
1730000	1730001	857	1.3511102e-05	26104.25116	0	0	1.3511102e-05
1740000	1740001	857	2.836434049e-05	24748.9381	0	0	2.836434049e-05
1750000	1750001	857	3.376587075e-05	24777.7285	0	0	3.376587075e-05
1760000	1760001	857	4.75080415e-05	20778.89233	0	0	4.75080415e-05
1770000	1770001	857	7.90544316e-05	18647.47858	0	0	7.90544316e-05
1780000	1780001	857	6.64034006e-05	19387.66705	0	0	6.64034006e-05
1790000	1790001	857	0.0001305561682	18888.48745	0	0	0.0001305561682
1800000	1800001	857	5.158555965e-05	21584.81319	0	0	5.158555965e-05
1810000	1810001	857	2.397945926e-05	25477.34128	0	0	2.397945926e-05
1820000	1820001	857	2.703119254e-05	25134.6626	0	0	2.703119254e-05
1830000	1830001	857	2.157459577e-05	22790.43114	0	0	2.157459577e-05
