key,position_bp,af,decoded_mass_T50000
neutral/rep0388,0,0.0,0.0
neutral/rep0388,10000,0.0,0.0
neutral/rep0388,20000,0.0,0.0
neutral/rep0388,30000,0.0,0.0
neutral/rep0388,40000,0.0,0.0
neutral/rep0388,50000,0.0,0.0
neutral/rep0388,60000,0.0,0.0
neutral/rep0388,70000,0.0,0.0
neutral/rep0388,80000,0.0,0.0
neutral/rep0388,90000,0.0,0.0
neutral/rep0388,100000,0.0,0.0
neutral/rep0388,110000,0.0,0.0
neutral/rep0388,120000,0.0,0.0
neutral/rep0388,130000,0.0,0.0
neutral/rep0388,140000,0.0,0.0
neutral/rep0388,150000,0.0525,0.0023
neutral/rep0388,160000,0.055,0.0024
neutral/rep0388,170000,0.08,0.0046
neutral/rep0388,180000,0.085,0.0058
neutral/rep0388,190000,0.0825,0.0059
neutral/rep0388,200000,0.09,0.007
neutral/rep0388,210000,0.0825,0.0067
neutral/rep0388,220000,0.0925,0.0079
neutral/rep0388,230000,0.0925,0.0079
neutral/rep0388,240000,0.0,0.0
neutral/rep0388,250000,0.0,0.0
neutral/rep0388,260000,0.005,0.0
neutral/rep0388,270000,0.04,0.0012
neutral/rep0388,280000,0.07,0.005
neutral/rep0388,290000,0.0125,0.0002
neutral/rep0388,300000,0.0125,0.0002
neutral/rep0388,310000,0.0125,0.0002
neutral/rep0388,320000,0.0125,0.0002
neutral/rep0388,330000,0.0,0.0
neutral/rep0388,340000,0.0,0.0
neutral/rep0388,350000,0.0,0.0
neutral/rep0388,360000,0.0,0.0
neutral/rep0388,370000,0.1375,0.0176
neutral/rep0388,380000,0.1375,0.0181
neutral/rep0388,390000,0.18,0.0298
neutral/rep0388,400000,0.1975,0.0328
neutral/rep0388,410000,0.0,0.0
neutral/rep0388,420000,0.0,0.0
neutral/rep0388,430000,0.0,0.0
neutral/rep0388,440000,0.0,0.0
neutral/rep0388,450000,0.0,0.0
neutral/rep0388,460000,0.0,0.0
neutral/rep0388,470000,0.0,0.0
neutral/rep0388,480000,0.0,0.0
neutral/rep0388,490000,0.0,0.0
neutral/rep0388,500000,0.0,0.0
neutral/rep0388,510000,0.0,0.0
neutral/rep0388,520000,0.0,0.0
neutral/rep0388,530000,0.0,0.0
neutral/rep0388,540000,0.0,0.0
neutral/rep0388,550000,0.0,0.0
neutral/rep0388,560000,0.0,0.0
neutral/rep0388,570000,0.0,0.0
neutral/rep0388,580000,0.0,0.0
neutral/rep0388,590000,0.0,0.0
neutral/rep0388,600000,0.0,0.0
neutral/rep0388,610000,0.0,0.0
neutral/rep0388,620000,0.0,0.0
neutral/rep0388,630000,0.0,0.0
neutral/rep0388,640000,0.0,0.0
neutral/rep0388,650000,0.0,0.0
neutral/rep0388,660000,0.0,0.0
neutral/rep0388,670000,0.0,0.0
neutral/rep0388,680000,0.0,0.0
neutral/rep0388,690000,0.0,0.0
neutral/rep0388,700000,0.0,0.0
neutral/rep0388,710000,0.0,0.0
neutral/rep0388,720000,0.0,0.0
neutral/rep0388,730000,0.0,0.0
neutral/rep0388,740000,0.0,0.0
neutral/rep0388,750000,0.0,0.0
neutral/rep0388,760000,0.0,0.0
neutral/rep0388,770000,0.0,0.0
neutral/rep0388,780000,0.0,0.0
neutral/rep0388,790000,0.0,0.0
neutral/rep0388,800000,0.0,0.0
neutral/rep0388,810000,0.0,0.0
neutral/rep0388,820000,0.0,0.0
neutral/rep0388,830000,0.0,0.0
neutral/rep0388,840000,0.0,0.0
neutral/rep0388,850000,0.0,0.0
neutral/rep0388,860000,0.0,0.0
neutral/rep0388,870000,0.0,0.0
neutral/rep0388,880000,0.0,0.0
neutral/rep0388,890000,0.0,0.0
neutral/rep0388,900000,0.0,0.0
neutral/rep0388,910000,0.0,0.0
neutral/rep0388,920000,0.0,0.0
neutral/rep0388,930000,0.0,0.0
neutral/rep0388,940000,0.0,0.0
neutral/rep0388,950000,0.0,0.0
neutral/rep0388,960000,0.0,0.0
neutral/rep0388,970000,0.0,0.0
neutral/rep0388,980000,0.0,0.0
neutral/rep0388,990000,0.0,0.0
neutral/rep0388,1000000,0.0,0.0
neutral/rep0388,1010000,0.0,0.0
neutral/rep0388,1020000,0.0,0.0
neutral/rep0388,1030000,0.0,0.0
neutral/rep0388,1040000,0.0,0.0
neutral/rep0388,1050000,0.0,0.0
neutral/rep0388,1060000,0.0,0.0
neutral/rep0388,1070000,0.0,0.0
neutral/rep0388,1080000,0.0,0.0
neutral/rep0388,1090000,0.0,0.0
neutral/rep0388,1100000,0.0,0.0
neutral/rep0388,1110000,0.0,0.0
neutral/rep0388,1120000,0.0,0.0
neutral/rep0388,1130000,0.0225,0.0002
neutral/rep0388,1140000,0.0225,0.0002
neutral/rep0388,1150000,0.025,0.0002
neutral/rep0388,1160000,0.025,0.0002
neutral/rep0388,1170000,0.0225,0.0001
neutral/rep0388,1180000,0.0225,0.0001
neutral/rep0388,1190000,0.0225,0.0001
neutral/rep0388,1200000,0.0225,0.0001
neutral/rep0388,1210000,0.0225,0.0001
neutral/rep0388,1220000,0.0225,0.0001
neutral/rep0388,1230000,0.0225,0.0001
neutral/rep0388,1240000,0.0225,0.0001
neutral/rep0388,1250000,0.0225,0.0001
neutral/rep0388,1260000,0.02,0.0001
neutral/rep0388,1270000,0.02,0.0001
neutral/rep0388,1280000,0.02,0.0002
neutral/rep0388,1290000,0.02,0.0002
neutral/rep0388,1300000,0.02,0.0002
neutral/rep0388,1310000,0.02,0.0002
neutral/rep0388,1320000,0.025,0.0002
neutral/rep0388,1330000,0.025,0.0002
neutral/rep0388,1340000,0.025,0.0002
neutral/rep0388,1350000,0.0,0.0
neutral/rep0388,1360000,0.0,0.0
neutral/rep0388,1370000,0.0,0.0
neutral/rep0388,1380000,0.0,0.0
neutral/rep0388,1390000,0.0,0.0
neutral/rep0388,1400000,0.0,0.0
neutral/rep0388,1410000,0.0,0.0
neutral/rep0388,1420000,0.0,0.0
neutral/rep0388,1430000,0.0,0.0
neutral/rep0388,1440000,0.0,0.0
neutral/rep0388,1450000,0.0,0.0
neutral/rep0388,1460000,0.0,0.0
neutral/rep0388,1470000,0.0,0.0
neutral/rep0388,1480000,0.0,0.0
neutral/rep0388,1490000,0.0,0.0
neutral/rep0388,1500000,0.0,0.0
neutral/rep0388,1510000,0.0,0.0
neutral/rep0388,1520000,0.0,0.0
neutral/rep0388,1530000,0.0,0.0
neutral/rep0388,1540000,0.0,0.0
neutral/rep0388,1550000,0.0,0.0
neutral/rep0388,1560000,0.0,0.0
neutral/rep0388,1570000,0.0,0.0
neutral/rep0388,1580000,0.0,0.0
neutral/rep0388,1590000,0.0,0.0
neutral/rep0388,1600000,0.0,0.0
neutral/rep0388,1610000,0.0,0.0
neutral/rep0388,1620000,0.0,0.0
neutral/rep0388,1630000,0.0,0.0
neutral/rep0388,1640000,0.0,0.0
neutral/rep0388,1650000,0.0,0.0
neutral/rep0388,1660000,0.0,0.0
neutral/rep0388,1670000,0.0,0.0
neutral/rep0388,1680000,0.0,0.0
neutral/rep0388,1690000,0.0,0.0
neutral/rep0388,1700000,0.0,0.0
neutral/rep0388,1710000,0.0,0.0
neutral/rep0388,1720000,0.0,0.0
neutral/rep0388,1730000,0.0,0.0
neutral/rep0388,1740000,0.0,0.0
neutral/rep0388,1750000,0.0,0.0
neutral/rep0388,1760000,0.0,0.0
neutral/rep0388,1770000,0.0,0.0
neutral/rep0388,1780000,0.0,0.0
neutral/rep0388,1790000,0.0,0.0
neutral/rep0388,1800000,0.0,0.0
neutral/rep0388,1810000,0.0,0.0
neutral/rep0388,1820000,0.0,0.0
neutral/rep0388,1830000,0.0,0.0
neutral/rep0388,1840000,0.0,0.0
neutral/rep0388,1850000,0.0,0.0
neutral/rep0388,1860000,0.0,0.0
neutral/rep0388,1870000,0.0,0.0
neutral/rep0388,1880000,0.0,0.0
neutral/rep0388,1890000,0.0,0.0
neutral/rep0388,1900000,0.0,0.0
neutral/rep0388,1910000,0.0,0.0
neutral/rep0388,1920000,0.0,0.0
neutral/rep0388,1930000,0.0,0.0
neutral/rep0388,1940000,0.0,0.0
neutral/rep0388,1950000,0.0,0.0
neutral/rep0388,1960000,0.0,0.0
neutral/rep0388,1970000,0.0,0.0
neutral/rep0388,1980000,0.0,0.0
neutral/rep0388,1990000,0.0,0.0
neutral/rep0388,2000000,0.0,0.0
neutral/rep0388,2010000,0.0,0.0
neutral/rep0388,2020000,0.0,0.0
neutral/rep0388,2030000,0.0,0.0
neutral/rep0388,2040000,0.0,0.0
neutral/rep0388,2050000,0.0,0.0
neutral/rep0388,2060000,0.0,0.0
neutral/rep0388,2070000,0.0,0.0
neutral/rep0388,2080000,0.0,0.0
neutral/rep0388,2090000,0.0,0.0
neutral/rep0388,2100000,0.0,0.0
neutral/rep0388,2110000,0.0,0.0
neutral/rep0388,2120000,0.0,0.0
neutral/rep0388,2130000,0.0,0.0
neutral/rep0388,2140000,0.0,0.0
neutral/rep0388,2150000,0.0,0.0
neutral/rep0388,2160000,0.0,0.0
neutral/rep0388,2170000,0.0,0.0
neutral/rep0388,2180000,0.0,0.0
neutral/rep0388,2190000,0.0,0.0
neutral/rep0388,2200000,0.0,0.0
neutral/rep0388,2210000,0.0,0.0
neutral/rep0388,2220000,0.0,0.0
neutral/rep0388,2230000,0.0,0.0
neutral/rep0388,2240000,0.0,0.0
neutral/rep0388,2250000,0.0,0.0
neutral/rep0388,2260000,0.0,0.0
neutral/rep0388,2270000,0.0,0.0
neutral/rep0388,2280000,0.0,0.0
neutral/rep0388,2290000,0.0,0.0
neutral/rep0388,2300000,0.0,0.0
neutral/rep0388,2310000,0.0,0.0
neutral/rep0388,2320000,0.0,0.0
neutral/rep0388,2330000,0.0,0.0
neutral/rep0388,2340000,0.0,0.0
neutral/rep0388,2350000,0.0,0.0
neutral/rep0388,2360000,0.0,0.0
neutral/rep0388,2370000,0.0,0.0
neutral/rep0388,2380000,0.0,0.0
neutral/rep0388,2390000,0.0,0.0
neutral/rep0388,2400000,0.0,0.0
neutral/rep0388,2410000,0.0,0.0
neutral/rep0388,2420000,0.0,0.0
neutral/rep0388,2430000,0.0,0.0
neutral/rep0388,2440000,0.0,0.0
neutral/rep0388,2450000,0.0,0.0
neutral/rep0388,2460000,0.0,0.0
neutral/rep0388,2470000,0.0,0.0
neutral/rep0388,2480000,0.0,0.0
neutral/rep0388,2490000,0.0,0.0
neutral/rep0388,2500000,0.0,0.0
neutral/rep0388,2510000,0.0,0.0
neutral/rep0388,2520000,0.0,0.0
neutral/rep0388,2530000,0.0,0.0
neutral/rep0388,2540000,0.0,0.0
neutral/rep0388,2550000,0.0,0.0
neutral/rep0388,2560000,0.0,0.0
neutral/rep0388,2570000,0.0,0.0
neutral/rep0388,2580000,0.0,0.0
neutral/rep0388,2590000,0.0,0.0
neutral/rep0388,2600000,0.0,0.0
neutral/rep0388,2610000,0.0,0.0
neutral/rep0388,2620000,0.0,0.0
neutral/rep0388,2630000,0.0,0.0
neutral/rep0388,2640000,0.0,0.0
neutral/rep0388,2650000,0.0,0.0
neutral/rep0388,2660000,0.0,0.0
neutral/rep0388,2670000,0.0,0.0
neutral/rep0388,2680000,0.0,0.0
neutral/rep0388,2690000,0.0,0.0
neutral/rep0388,2700000,0.0,0.0
neutral/rep0388,2710000,0.0,0.0
neutral/rep0388,2720000,0.0,0.0
neutral/rep0388,2730000,0.0,0.0
neutral/rep0388,2740000,0.0,0.0
neutral/rep0388,2750000,0.0,0.0
neutral/rep0388,2760000,0.0,0.0
neutral/rep0388,2770000,0.0,0.0
neutral/rep0388,2780000,0.0,0.0
neutral/rep0388,2790000,0.0,0.0
neutral/rep0388,2800000,0.0,0.0
neutral/rep0388,2810000,0.0,0.0
neutral/rep0388,2820000,0.0,0.0
neutral/rep0388,2830000,0.0,0.0
neutral/rep0388,2840000,0.0,0.0
neutral/rep0388,2850000,0.0,0.0
neutral/rep0388,2860000,0.0,0.0
neutral/rep0388,2870000,0.0,0.0
neutral/rep0388,2880000,0.0,0.0
